Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-23.194.109.177-55621-443-6,10.42.0.211,55621,23.194.109.177,443,6,07/07/2017 06:15:49,24136,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1284.3884653629432,124.29565793834935,12068.0,17007.332301098842,24094.0,42.0,0,0,0,0,0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,32,64,41.43188597944978,82.86377195889956,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1595,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.194.109.177-34113-443-6,10.42.0.211,34113,23.194.109.177,443,6,07/07/2017 06:15:49,24152,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1283.5375952302086,124.21331566743955,12076.0,17034.20235878393,24121.0,31.0,0,0,0,0,0,31.0,31.0,0.0,31.0,31.0,0,0,0,0,32,64,41.404438555813186,82.80887711162637,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1595,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.84.26.241-52129-443-6,10.42.0.211,52129,52.84.26.241,443,6,07/07/2017 06:15:49,30012,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6400106624017,30012.0,0.0,30012.0,30012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,33.32000533120085,33.32000533120085,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,8157,139,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.84.26.241-43942-443-6,10.42.0.211,43942,52.84.26.241,443,6,07/07/2017 06:15:49,30378,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.83711896767397,30378.0,0.0,30378.0,30378.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32.91855948383699,32.91855948383699,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,8111,135,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.84.26.241-58110-443-6,10.42.0.211,58110,52.84.26.241,443,6,07/07/2017 06:15:49,31583,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.32520659848653,31583.0,0.0,31583.0,31583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,31.662603299243266,31.662603299243266,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,8170,143,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.84.26.241-47624-443-6,10.42.0.211,47624,52.84.26.241,443,6,07/07/2017 06:15:49,31596,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.299151791366,31596.0,0.0,31596.0,31596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,31.649575895683,31.649575895683,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,8157,139,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.180-46247-443-6,10.42.0.211,46247,98.139.180.180,443,6,07/07/2017 06:15:54,5733061,7,9,336.0,5024.0,210.0,0.0,48.0,85.48684109265004,1460.0,0.0,558.2222222222222,642.8290553828789,934.9281300164083,2.79083023885495,382204.06666666665,1436737.761336,5575407.0,6.0,157593.0,26265.5,19720.47075249473,54049.0,300.0,5707894.0,713486.75,1967337.5856008872,5581813.0,6.0,0,0,0,0,160,192,1.2209882294990406,1.5698420093559096,0.0,1460.0,315.2941176470589,529.1704315135487,280021.3455882353,0,0,0,1,0,0,0,0,1.0,335.0,48.0,558.2222222222222,160,0,0,0,0,0,0,7,336,9,5024,65535,62,2,20,157593.0,0.0,157593.0,157593.0,5575407.0,0.0,5575407.0,5575407.0,BENIGN
10.42.0.211-31.13.71.1-33034-443-6,10.42.0.211,33034,31.13.71.1,443,6,07/07/2017 06:15:46,14731092,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13576726015966772,1.4731092E7,0.0,1.4731092E7,1.4731092E7,1.4731092E7,1.4731092E7,0.0,1.4731092E7,1.4731092E7,0,0,0,0,0,0,0,0,0,64,0,0.13576726015966772,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.225-10.42.0.211-443-38192-6,172.217.10.225,443,10.42.0.211,38192,6,07/07/2017 06:15:55,9738487,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30805606661486534,4869243.5,6828532.307238833,9697745.0,40742.0,0,0,0,0,0,9697745.0,9697745.0,0.0,9697745.0,9697745.0,0,0,0,0,32,64,0.10268535553828845,0.2053707110765769,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,350,1594,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.217.164-10.42.0.211-443-56517-6,216.58.217.164,443,10.42.0.211,56517,6,07/07/2017 06:15:56,8802573,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3408094428753956,4401286.5,5892348.3847919665,8567806.0,234767.0,0,0,0,0,0,8567806.0,8567806.0,0.0,8567806.0,8567806.0,0,0,0,0,32,64,0.11360314762513186,0.22720629525026373,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,349,1593,0,32,0,0,0,0,0,0,0,0,BENIGN
