Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-31.13.71.1-47220-443-6,31.13.71.1,443,10.42.0.211,47220,6,07/07/2017 10:41:10,42,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1000000.0,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,1,0,0,0,64,0,47619.04761904762,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,154,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.1-47220-443-6,10.42.0.211,47220,31.13.71.1,443,6,07/07/2017 10:41:10,4058,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,10349.926071956628,739.2804337111878,2029.0,1376.0297961890215,3002.0,1056.0,4058.0,2029.0,1376.0297961890215,3002.0,1056.0,0,0,0,0,0,0,0,0,0,96,0,739.2804337111878,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1809,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-40330-6,10.42.0.211,40330,216.58.219.202,443,6,07/07/2017 10:41:10,36602,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,846.9482541937598,81.96273427681547,18301.0,25810.811726871358,36552.0,50.0,0,0,0,0,0,50.0,50.0,0.0,50.0,50.0,1,0,0,0,32,64,27.320911425605157,54.641822851210314,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1538,426,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.36-10.42.0.211-443-48895-6,157.240.2.36,443,10.42.0.211,48895,6,07/07/2017 10:41:20,40,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1050000.0,49999.99999999999,40.0,0.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0,0,0,0,0,1,0,0,0,64,0,49999.99999999999,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,121,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.36-10.42.0.211-443-48895-6,157.240.2.36,443,10.42.0.211,48895,6,07/07/2017 10:41:20,31205,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,1345.9381509373497,160.2307322544464,7801.25,14126.75953347641,28944.0,77.0,0,0,0,0,0,2261.0,753.6666666666667,1156.467610153148,2089.0,77.0,0,0,0,0,32,140,32.04614645088928,128.18458580355713,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,121,7923,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-37398-6,10.42.0.211,37398,216.58.219.202,443,6,07/07/2017 10:41:21,37186,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.78368203087184,37186.0,0.0,37186.0,37186.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.89184101543592,26.89184101543592,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,498,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.211-443-41889-6,10.42.0.211,41889,172.217.10.46,443,6,07/07/2017 10:41:21,37206,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.75477073590281,37206.0,0.0,37206.0,37206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.877385367951405,26.877385367951405,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1815,490,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-44272-6,216.58.219.202,443,10.42.0.211,44272,6,07/07/2017 10:41:09,11855282,5,3,903.0,1164.0,586.0,0.0,180.6,264.9543356882465,1164.0,0.0,388.0,672.0357133367244,174.3526640699057,0.6748046988675596,1693611.7142857146,4441489.53506635,1.1765809E7,43.0,70347.0,17586.75,34190.15425893835,68869.0,43.0,1.1852732E7,5926366.0,8258219.4873046335,1.1765809E7,86923.0,0,0,0,0,160,96,0.42175293679222475,0.25305176207533486,0.0,1164.0,229.66666666666666,406.82612993759386,165507.5,0,0,0,0,1,0,0,0,0.0,258.375,180.6,388.0,160,0,0,0,0,0,0,5,903,3,1164,869,2105,2,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-53474-6,10.42.0.211,53474,216.58.219.202,443,6,07/07/2017 10:41:21,36626,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.606017583137664,36626.0,0.0,36626.0,36626.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.303008791568832,27.303008791568832,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-56379-6,10.42.0.211,56379,172.217.12.206,443,6,07/07/2017 10:41:21,36839,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.29029018160102,36839.0,0.0,36839.0,36839.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.14514509080051,27.14514509080051,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1669,389,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-43074-6,10.42.0.211,43074,172.217.6.202,443,6,07/07/2017 10:41:21,36836,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2947116950809,36836.0,0.0,36836.0,36836.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.14735584754045,27.14735584754045,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5440,350,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-38894-6,10.42.0.211,38894,216.58.219.202,443,6,07/07/2017 10:41:21,37081,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.935977994120975,37081.0,0.0,37081.0,37081.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.967988997060488,26.967988997060488,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1504,362,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-42105-6,10.42.0.211,42105,216.58.219.202,443,6,07/07/2017 10:41:21,37641,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.13355118089317,37641.0,0.0,37641.0,37641.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.566775590446586,26.566775590446586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-51463-6,10.42.0.211,51463,216.58.219.202,443,6,07/07/2017 10:41:31,36989,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.07012895725756,36989.0,0.0,36989.0,36989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.03506447862878,27.03506447862878,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
