Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.14-10.42.0.211-443-32820-6,10.42.0.211,32820,172.217.10.14,443,6,07/07/2017 11:48:12,36732,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.44843732984863,36732.0,0.0,36732.0,36732.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.224218664924315,27.224218664924315,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.211-443-52955-6,10.42.0.211,52955,172.217.10.14,443,6,07/07/2017 11:48:12,36722,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.46326452807582,36722.0,0.0,36722.0,36722.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.23163226403791,27.23163226403791,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.215.149-55041-443-6,54.225.215.149,443,10.42.0.211,55041,6,07/07/2017 11:48:09,5018424,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.177238113001213,0.5977972367420529,2509212.0,3349280.565554639,4877511.0,140913.0,5018424.0,5018424.0,0.0,5018424.0,5018424.0,0,0,0,0,0,1,0,0,0,64,32,0.39853149116136855,0.19926574558068427,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,116,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.235.129.139-40753-443-6,54.235.129.139,443,10.42.0.211,40753,6,07/07/2017 11:48:10,5006444,3,2,62.0,0.0,31.0,0.0,20.666666666666664,17.8978583448784,0.0,0.0,0.0,0.0,12.384039449956894,0.9987128588674915,1251611.0,2386041.632641951,4828706.0,1217.0,5006444.0,2503222.0,3298132.703644291,4835354.0,171090.0,1217.0,1217.0,0.0,1217.0,1217.0,1,0,0,0,96,76,0.5992277153204949,0.3994851435469966,0.0,31.0,15.500000000000002,16.97939928266015,288.3,0,1,0,0,1,0,0,0,0.0,18.6,20.666666666666668,0.0,96,0,0,0,0,0,0,3,62,2,0,83,1641,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.235.129.139-40753-443-6,10.42.0.211,40753,54.235.129.139,443,6,07/07/2017 11:48:15,494512,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,62.688064192577734,6.066586857346232,247256.0,349572.3794151935,494441.0,71.0,494512.0,247256.0,349572.3794151935,494441.0,71.0,0,0,0,0,0,0,0,0,0,96,0,6.066586857346232,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1641,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
169.54.33.164-10.42.0.211-443-59150-6,169.54.33.164,443,10.42.0.211,59150,6,07/07/2017 11:48:16,70,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,442857.1428571429,28571.428571428572,70.0,0.0,70.0,70.0,70.0,70.0,0.0,70.0,70.0,0,0,0,0,0,1,0,0,0,40,0,28571.428571428572,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,254,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-95.213.11.181-46607-80-6,10.42.0.211,46607,95.213.11.181,80,6,07/07/2017 11:48:13,10146175,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39423723718544185,3382058.3333333335,5740390.656986451,1.0010055E7,2257.0,1.0146175E7,5073087.5,6981926.395495193,1.0010055E7,136120.0,0,0,0,0,0,0,0,0,0,104,40,0.29567792788908137,0.09855930929636046,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,27960,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.211-443-60649-6,10.42.0.211,60649,172.217.10.14,443,6,07/07/2017 11:48:27,94,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,329787.23404255323,21276.595744680853,94.0,0.0,94.0,94.0,94.0,94.0,0.0,94.0,94.0,0,0,0,0,0,1,0,0,0,64,0,21276.595744680853,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.211-443-54642-6,10.42.0.211,54642,172.217.10.14,443,6,07/07/2017 11:48:28,36670,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.2157076629397,54.540496318516496,36670.0,0.0,36670.0,36670.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.270248159258248,27.270248159258248,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.211-443-34486-6,10.42.0.211,34486,172.217.10.14,443,6,07/07/2017 11:48:28,37052,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.7492173162042,53.978192810104716,37052.0,0.0,37052.0,37052.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.989096405052358,26.989096405052358,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,490,0,32,0,0,0,0,0,0,0,0,BENIGN
