Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.42-443-39416-6,10.42.0.42,39416,172.217.12.202,443,6,07/07/2017 05:34:03,36661,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5538856005019,36661.0,0.0,36661.0,36661.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.27694280025095,27.27694280025095,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4441,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.99-10.42.0.42-443-50649-6,10.42.0.42,50649,172.217.3.99,443,6,07/07/2017 05:34:05,413188,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.840411628604897,413188.0,0.0,413188.0,413188.0,413188.0,413188.0,0.0,413188.0,413188.0,0,0,0,0,0,0,0,0,0,64,0,4.840411628604897,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.193-10.42.0.42-443-56667-6,10.42.0.42,56667,172.217.12.193,443,6,07/07/2017 05:34:05,414037,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.830486164280004,414037.0,0.0,414037.0,414037.0,414037.0,414037.0,0.0,414037.0,414037.0,0,0,0,0,0,0,0,0,0,64,0,4.830486164280004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.225-10.42.0.42-443-60912-6,10.42.0.42,60912,172.217.10.225,443,6,07/07/2017 05:34:05,414138,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.829308105027793,414138.0,0.0,414138.0,414138.0,414138.0,414138.0,0.0,414138.0,414138.0,0,0,0,0,0,0,0,0,0,64,0,4.829308105027793,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-47509-6,10.42.0.42,47509,172.217.12.138,443,6,07/07/2017 05:34:05,436003,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.58712440052018,436003.0,0.0,436003.0,436003.0,436003.0,436003.0,0.0,436003.0,436003.0,0,0,0,0,0,0,0,0,0,64,0,4.58712440052018,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.42-443-58193-6,10.42.0.42,58193,172.217.12.195,443,6,07/07/2017 05:34:05,435959,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.58758736486688,435959.0,0.0,435959.0,435959.0,435959.0,435959.0,0.0,435959.0,435959.0,0,0,0,0,0,0,0,0,0,64,0,4.58758736486688,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.226-10.42.0.42-443-50121-6,10.42.0.42,50121,172.217.10.226,443,6,07/07/2017 05:34:05,435779,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.589482283451015,435779.0,0.0,435779.0,435779.0,435779.0,435779.0,0.0,435779.0,435779.0,0,0,0,0,0,0,0,0,0,64,0,4.589482283451015,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-39018-6,10.42.0.42,39018,172.217.11.10,443,6,07/07/2017 05:34:06,36578,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.67767510525452,36578.0,0.0,36578.0,36578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.33883755262726,27.33883755262726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.99-10.42.0.42-443-50649-6,10.42.0.42,50649,172.217.3.99,443,6,07/07/2017 05:34:06,1680100,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.190405333015892,1680100.0,0.0,1680100.0,1680100.0,1680100.0,1680100.0,0.0,1680100.0,1680100.0,0,0,0,0,0,0,0,0,0,64,0,1.190405333015892,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.193-10.42.0.42-443-56667-6,10.42.0.42,56667,172.217.12.193,443,6,07/07/2017 05:34:06,1679768,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1906406122750286,1679768.0,0.0,1679768.0,1679768.0,1679768.0,1679768.0,0.0,1679768.0,1679768.0,0,0,0,0,0,0,0,0,0,64,0,1.1906406122750286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.225-10.42.0.42-443-60912-6,10.42.0.42,60912,172.217.10.225,443,6,07/07/2017 05:34:06,1679803,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1906158043532487,1679803.0,0.0,1679803.0,1679803.0,1679803.0,1679803.0,0.0,1679803.0,1679803.0,0,0,0,0,0,0,0,0,0,64,0,1.1906158043532487,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-47509-6,10.42.0.42,47509,172.217.12.138,443,6,07/07/2017 05:34:06,1800558,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1107667734113535,1800558.0,0.0,1800558.0,1800558.0,1800558.0,1800558.0,0.0,1800558.0,1800558.0,0,0,0,0,0,0,0,0,0,64,0,1.1107667734113535,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.42-443-58193-6,10.42.0.42,58193,172.217.12.195,443,6,07/07/2017 05:34:06,1800962,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1105176011487194,1800962.0,0.0,1800962.0,1800962.0,1800962.0,1800962.0,0.0,1800962.0,1800962.0,0,0,0,0,0,0,0,0,0,64,0,1.1105176011487194,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.226-10.42.0.42-443-50121-6,10.42.0.42,50121,172.217.10.226,443,6,07/07/2017 05:34:06,1800763,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1106403230186317,1800763.0,0.0,1800763.0,1800763.0,1800763.0,1800763.0,0.0,1800763.0,1800763.0,0,0,0,0,0,0,0,0,0,64,0,1.1106403230186317,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
