Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.42-443-55089-6,10.42.0.42,55089,172.217.12.202,443,6,07/07/2017 01:30:03,36760,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,843.3079434167573,81.61044613710554,18380.0,25953.64729667104,36732.0,28.0,0,0,0,0,0,28.0,28.0,0.0,28.0,28.0,1,0,0,0,32,64,27.20348204570185,54.4069640914037,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2786,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.42-443-34359-6,10.42.0.42,34359,172.217.7.14,443,6,07/07/2017 01:30:04,36811,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.8132351742685,81.49737850099154,18405.5,25411.296395500958,36374.0,437.0,0,0,0,0,0,437.0,437.0,0.0,437.0,437.0,1,0,0,0,32,64,27.165792833663847,54.331585667327694,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-47469-6,10.42.0.42,47469,172.217.12.202,443,6,07/07/2017 01:30:17,36987,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.073052694189855,36987.0,0.0,36987.0,36987.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.036526347094927,27.036526347094927,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.42-443-46378-6,10.42.0.42,46378,172.217.7.14,443,6,07/07/2017 01:30:19,37390,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,615.1377373629313,80.23535704733887,18695.0,26407.609850192803,37368.0,22.0,0,0,0,0,0,22.0,22.0,0.0,22.0,22.0,1,0,0,0,32,64,26.745119015779622,53.490238031559244,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.84.134.65-53066-443-6,10.42.0.42,53066,52.84.134.65,443,6,07/07/2017 01:30:19,4834090,94,141,5465.0,189602.0,1166.0,0.0,58.138297872340466,181.71894883848543,1448.0,0.0,1344.695035460993,317.04542133496113,40352.372421696746,48.61307919380897,20658.504273504284,135222.21781484757,1773389.0,1.0,4834090.0,51979.46236559142,211626.97767496054,1773389.0,2.0,4776098.0,34114.98571428571,181142.91999683063,1807734.0,1.0,0,0,0,0,3016,4520,19.445231677523587,29.167847516285384,0.0,1448.0,826.5550847457628,687.8411812110263,473125.49056978,0,0,0,1,0,0,0,0,1.0,830.0723404255319,58.138297872340424,1344.6950354609928,3016,0,0,0,0,0,0,94,5465,141,189602,65535,161,11,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.84.134.65-53067-443-6,10.42.0.42,53067,52.84.134.65,443,6,07/07/2017 01:30:19,4845921,65,101,2728.0,132604.0,511.0,0.0,41.96923076923078,130.3749363890987,1448.0,0.0,1312.9108910891089,370.2657990959981,27926.992619153305,34.2556141546674,29369.218181818174,287449.9873845304,3671537.0,2.0,4845921.0,75717.515625,460050.31028114463,3671537.0,2.0,4805980.0,48059.79999999999,376066.1965641989,3731739.0,2.0,0,0,0,0,2088,3240,13.413342891887838,20.842271262779565,0.0,1448.0,810.3712574850296,691.3409746755045,477952.34326527664,0,0,0,1,0,0,0,0,1.0,815.2530120481928,41.96923076923077,1312.9108910891089,2088,0,0,0,0,0,0,65,2728,101,132604,65535,139,7,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.84.134.65-53067-443-6,10.42.0.42,53067,52.84.134.65,443,6,07/07/2017 01:30:23,22322,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.390825194875,3188.857142857143,3628.16406412258,8344.0,3.0,20863.0,4172.6,3906.1012915693827,8344.0,3.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,120,64,268.7931188961562,89.59770629871875,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,6,0,2,0,0,139,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-63.251.248.136-34651-443-6,10.42.0.42,34651,63.251.248.136,443,6,07/07/2017 01:30:23,584751,10,11,901.0,4995.0,384.0,0.0,90.1,151.65783857090935,1448.0,0.0,454.0909090909092,655.2122487477558,10082.924184823967,35.91272182518713,29237.55,39811.02617759505,91902.0,4.0,491620.0,54624.444444444445,44489.802663394425,98570.0,4.0,494047.0,49404.700000000004,65150.78749596542,164041.0,5.0,0,0,0,0,328,360,17.101296107231967,18.811425717955164,0.0,1448.0,268.0,500.91668350088304,250917.52380952382,0,0,0,1,0,0,0,0,1.0,280.76190476190476,90.1,454.09090909090907,328,0,0,0,0,0,0,10,901,11,4995,65535,5281,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.36.33.86-52546-443-6,10.42.0.42,52546,23.36.33.86,443,6,07/07/2017 01:30:24,241539,8,11,831.0,5771.0,498.0,0.0,103.875,177.44571604537862,1448.0,0.0,524.6363636363636,612.6124831779504,27333.060085534842,78.66224502047288,13418.833333333334,18869.09226361833,68666.0,3.0,145385.0,20769.285714285714,14748.485783454582,33981.0,939.0,212737.0,21273.699999999997,31225.01943082751,82973.0,3.0,0,0,0,0,264,360,33.120945271778055,45.541299748694826,0.0,1448.0,330.0999999999999,508.24909972219433,258317.14736842105,0,0,0,1,0,0,0,0,1.0,347.4736842105263,103.875,524.6363636363636,264,0,0,0,0,0,0,8,831,11,5771,65535,972,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.36.33.86-52546-443-6,10.42.0.42,52546,23.36.33.86,443,6,07/07/2017 01:30:25,5787,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,345.6022118541559,5787.0,0.0,5787.0,5787.0,5787.0,5787.0,0.0,5787.0,5787.0,0,0,0,0,0,0,0,0,0,64,0,345.6022118541559,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
162.208.22.39-10.42.0.42-443-55823-6,10.42.0.42,55823,162.208.22.39,443,6,07/07/2017 01:30:24,5326488,11,10,1201.0,5107.0,486.0,0.0,109.18181818181817,176.29113317567518,1460.0,0.0,510.7,570.3122049466513,1184.2700105585518,3.9425602761143925,266324.4,1104916.4487140097,4959981.0,5.0,366488.0,36648.8,27985.16234959757,80658.0,2111.0,5286323.0,587369.2222222222,1655074.8728697877,4999718.0,5.0,0,0,0,0,240,204,2.0651506208218247,1.8774096552925679,0.0,1460.0,286.72727272727275,445.5433474521581,198508.8744588745,0,0,0,1,0,0,0,0,0.0,300.3809523809524,109.18181818181819,510.7,240,0,0,0,0,0,0,11,1201,10,5107,65535,32160,4,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.225.148.189-48373-443-6,10.42.0.42,48373,54.225.148.189,443,6,07/07/2017 01:30:24,7568854,11,11,728.0,5846.0,399.0,0.0,66.18181818181817,129.6555576763435,1448.0,0.0,531.4545454545456,635.6789069390873,868.5594939471682,2.906648747617539,360421.61904761905,1116390.3833353042,4727449.0,11.0,2841405.0,284140.5,781758.9798077509,2507182.0,154.0,7517643.0,751764.3,1571401.8408627694,4729711.0,11.0,0,0,0,0,372,360,1.4533243738087696,1.4533243738087696,0.0,1448.0,285.82608695652175,499.31886807511125,249319.33201581036,0,0,0,1,0,0,0,0,1.0,298.8181818181818,66.18181818181819,531.4545454545455,372,0,0,0,0,0,0,11,728,11,5846,65535,114,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.84.134.65-53079-443-6,10.42.0.42,53079,52.84.134.65,443,6,07/07/2017 01:30:20,12163541,6,4,568.0,156.0,517.0,0.0,94.66666666666666,207.9035032573205,156.0,0.0,39.0,78.0,59.52214079765095,0.8221290165421401,1351504.5555555555,3962970.2951626796,1.1919243E7,27.0,1.2163541E7,2432708.2,5334250.81706004,1.1974767E7,27.0,221781.0,73927.0,70953.10780367552,141960.0,376.0,0,0,0,0,200,136,0.49327740992528407,0.32885160661685603,0.0,517.0,65.81818181818183,157.02663352553807,24657.36363636364,0,0,0,1,0,0,0,0,0.0,72.4,94.66666666666667,39.0,200,0,0,0,0,0,0,6,568,4,156,65535,118,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.239.17.113-52735-443-6,10.42.0.42,52735,54.239.17.113,443,6,07/07/2017 01:30:21,10798365,10,8,345.0,5070.0,219.0,0.0,34.5,75.96380717157349,1460.0,0.0,633.75,716.400675998724,501.46480508854813,1.6669190196849244,635197.9411764706,2553431.4927351554,1.0543647E7,4.0,1.0798365E7,1199818.3333333333,3504141.815698139,1.0543647E7,7.0,152684.0,21812.0,35205.07221031273,79142.0,4.0,0,0,0,0,220,168,0.9260661220471803,0.7408528976377442,0.0,1460.0,285.0,543.9712002180507,295904.6666666667,0,0,0,1,0,0,0,0,0.0,300.8333333333333,34.5,633.75,220,0,0,0,0,0,0,10,345,8,5070,65535,440,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.225.148.189-48373-443-6,10.42.0.42,48373,54.225.148.189,443,6,07/07/2017 01:30:32,328784,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6.083021071584992,328784.0,0.0,328784.0,328784.0,328784.0,328784.0,0.0,328784.0,328784.0,0,0,0,0,0,0,0,0,0,64,0,6.083021071584992,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
162.208.22.39-10.42.0.42-443-55823-6,10.42.0.42,55823,162.208.22.39,443,6,07/07/2017 01:30:29,2618049,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1458914634523647,1309024.5,1795999.605418804,2578988.0,39061.0,2618049.0,1309024.5,1795999.605418804,2578988.0,39061.0,0,0,0,0,0,0,0,0,0,60,0,1.1458914634523647,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.55.234.152-35895-443-6,10.42.0.42,35895,52.55.234.152,443,6,07/07/2017 01:30:24,7716825,9,8,784.0,3477.0,450.0,0.0,87.11111111111111,155.4609633030463,1448.0,0.0,434.625,640.918969137285,552.170095861964,2.202978556595491,482301.56250000006,1346595.7711577232,5013077.0,10.0,7716825.0,964603.125,1832549.2919952823,5015331.0,7051.0,5259895.0,751413.5714285714,1895010.3857191966,5048187.0,10.0,0,0,0,0,296,264,1.1662827652564365,1.0366957913390547,0.0,1448.0,236.72222222222223,462.70290373433255,214093.977124183,0,0,0,1,0,0,0,0,0.0,250.64705882352942,87.11111111111111,434.625,296,0,0,0,0,0,0,9,784,8,3477,65535,123,3,32,297707.0,0.0,297707.0,297707.0,5013077.0,0.0,5013077.0,5013077.0,BENIGN
172.217.7.14-10.42.0.42-443-40281-6,10.42.0.42,40281,172.217.7.14,443,6,07/07/2017 01:30:33,36583,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.7073230735588,54.670202006396416,36583.0,0.0,36583.0,36583.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.335101003198208,27.335101003198208,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
