Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.42-10.42.0.42-443-49474-6,10.42.0.42,49474,172.217.11.42,443,6,07/07/2017 08:17:05,37552,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.259480187473365,37552.0,0.0,37552.0,37552.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.629740093736682,26.629740093736682,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.121.62.61-42283-443-6,91.121.62.61,443,10.42.0.42,42283,6,07/07/2017 08:17:06,28,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1107142.857142857,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,82,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.121.62.61-42283-443-6,10.42.0.42,42283,91.121.62.61,443,6,07/07/2017 08:17:06,49780,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.265166733627964,24890.0,21679.893911179548,40220.0,9560.0,40220.0,40220.0,0.0,40220.0,40220.0,0,0,0,0,0,0,0,0,0,64,32,40.17677782241864,20.08838891120932,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,1776,82,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-59602-6,10.42.0.42,59602,172.217.11.42,443,6,07/07/2017 08:17:12,36594,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.65376837732961,36594.0,0.0,36594.0,36594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.326884188664806,27.326884188664806,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4442,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.237-10.42.0.42-443-48072-6,10.42.0.42,48072,172.217.9.237,443,6,07/07/2017 08:17:12,396972,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.038138710034965,396972.0,0.0,396972.0,396972.0,396972.0,396972.0,0.0,396972.0,396972.0,0,0,0,0,0,0,0,0,0,64,0,5.038138710034965,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.253.61.82-10.42.0.42-443-34839-6,10.42.0.42,34839,131.253.61.82,443,6,07/07/2017 08:17:13,706934,8,11,997.0,11936.0,613.0,0.0,124.625,215.6206573061655,1448.0,0.0,1085.090909090909,589.9224448256659,18294.494252645934,26.876624974891577,39274.11111111111,53785.18532183909,174003.0,1.0,654307.0,93472.42857142858,78377.23520652567,174020.0,871.0,660497.0,66049.7,118639.13784062436,348622.0,1.0,0,0,0,0,264,360,11.316473673638558,15.560151301253018,0.0,1448.0,646.6500000000001,669.5757710355824,448331.7131578947,0,0,0,1,0,0,0,0,1.0,680.6842105263158,124.625,1085.090909090909,264,0,0,0,0,0,0,8,997,11,11936,65535,257,3,32,0,0,0,0,0,0,0,0,BENIGN
131.253.61.82-10.42.0.42-443-34839-6,10.42.0.42,34839,131.253.61.82,443,6,07/07/2017 08:17:14,9133,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,328.47914157451,4566.5,3546.1405076505357,7074.0,2059.0,9133.0,4566.5,3546.1405076505357,7074.0,2059.0,0,0,0,0,0,0,0,0,0,96,0,328.47914157451,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-39946-6,10.42.0.42,39946,172.217.11.14,443,6,07/07/2017 08:17:14,36475,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,630.5688827964359,54.83207676490747,36475.0,0.0,36475.0,36475.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.416038382453735,27.416038382453735,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1470,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.237-10.42.0.42-443-48072-6,10.42.0.42,48072,172.217.9.237,443,6,07/07/2017 08:17:13,1081154,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.849875225916012,1081154.0,0.0,1081154.0,1081154.0,1081154.0,1081154.0,0.0,1081154.0,1081154.0,0,0,0,0,0,0,0,0,0,64,0,1.849875225916012,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
174.129.40.191-10.42.0.42-443-50148-6,174.129.40.191,443,10.42.0.42,50148,6,07/07/2017 08:17:13,1096874,2,3,31.0,31.0,31.0,0.0,15.5,21.920310216782973,31.0,0.0,10.333333333333332,17.8978583448784,56.52426805631276,4.558408714218771,274218.5,476043.7003318778,987257.0,730.0,1096874.0,1096874.0,0.0,1096874.0,1096874.0,987987.0,493993.5,697579.9315236212,987257.0,730.0,1,0,0,0,64,96,1.8233634856875085,2.7350452285312628,0.0,31.0,15.500000000000002,16.97939928266015,288.30000000000007,0,1,0,0,1,0,0,0,1.0,18.6,15.5,10.333333333333334,64,0,0,0,0,0,0,2,31,3,31,137,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
