Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
8.8.8.8-10.42.0.151-53-60611-6,10.42.0.151,60611,8.8.8.8,53,6,07/07/2017 01:26:57,40746,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.16914543758897,13582.0,11879.276535210383,22393.0,72.0,40746.0,20373.0,28709.9495297362,40674.0,72.0,0,0,0,0,0,0,0,0,0,104,40,73.62685907819173,24.54228635939724,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
8.8.8.8-10.42.0.151-53-41609-6,10.42.0.151,41609,8.8.8.8,53,6,07/07/2017 01:26:59,26841,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.02574419731008,8947.0,12028.161247672064,22636.0,69.0,26841.0,13420.5,18881.872378024378,26772.0,69.0,0,0,0,0,0,0,0,0,0,104,40,111.76930814798256,37.25643604932752,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
8.8.8.8-10.42.0.151-53-48337-6,10.42.0.151,48337,8.8.8.8,53,6,07/07/2017 01:27:01,39531,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18641066504769,13177.0,10358.624570858816,22371.0,1954.0,39531.0,19765.5,6448.106737640127,24325.0,15206.0,0,0,0,0,0,0,0,0,0,104,40,75.88980799878577,25.296602666261922,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
8.8.8.8-10.42.0.151-53-34974-6,10.42.0.151,34974,8.8.8.8,53,6,07/07/2017 01:27:03,25148,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0583744234134,8382.666666666666,12454.638546876153,22720.0,240.0,25148.0,12574.0,17442.910078309753,24908.0,240.0,0,0,0,0,0,0,0,0,0,104,40,119.29378081756005,39.76459360585335,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
8.8.8.8-10.42.0.151-53-49785-6,10.42.0.151,49785,8.8.8.8,53,6,07/07/2017 01:27:05,25277,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2466273687542,8425.666666666668,12305.110212157115,22561.0,109.0,25277.0,12638.5,17719.388829753694,25168.0,109.0,0,0,0,0,0,0,0,0,0,104,40,118.68497052656565,39.56165684218855,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
8.8.8.8-10.42.0.151-53-52898-6,10.42.0.151,52898,8.8.8.8,53,6,07/07/2017 01:27:07,25097,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.3815993943499,8365.666666666666,12474.787386297745,22736.0,320.0,25097.0,12548.5,17293.710547479393,24777.0,320.0,0,0,0,0,0,0,0,0,0,104,40,119.53619954576243,39.845399848587476,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
8.8.8.8-10.42.0.151-53-40962-6,10.42.0.151,40962,8.8.8.8,53,6,07/07/2017 01:27:09,24578,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.74717226788187,8192.666666666666,12315.908912188874,22376.0,203.0,24578.0,12289.0,17092.185114841228,24375.0,203.0,0,0,0,0,0,0,0,0,0,104,40,122.06037920091138,40.686793066970466,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.101-10.42.0.151-443-45653-6,10.42.0.151,45653,172.217.3.101,443,6,07/07/2017 01:27:09,37080,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.937432578209275,37080.0,0.0,37080.0,37080.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.968716289104638,26.968716289104638,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2964,467,0,32,0,0,0,0,0,0,0,0,BENIGN
8.8.8.8-10.42.0.151-53-42324-6,10.42.0.151,42324,8.8.8.8,53,6,07/07/2017 01:27:11,27024,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.01657785671995,9008.0,11974.416520231789,22613.0,69.0,27024.0,13512.0,19011.272918981518,26955.0,69.0,0,0,0,0,0,0,0,0,0,104,40,111.01243339253996,37.00414446417999,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
8.8.8.8-10.42.0.151-53-57480-6,10.42.0.151,57480,8.8.8.8,53,6,07/07/2017 01:27:13,25178,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.86885376122012,8392.666666666668,12305.795274314185,22534.0,118.0,25178.0,12589.0,17636.657336354867,25060.0,118.0,0,0,0,0,0,0,0,0,0,104,40,119.15164032091509,39.71721344030503,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28400,0,32,0,0,0,0,0,0,0,0,BENIGN
