Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.80.5-57592-443-6,10.42.0.151,57592,31.13.80.5,443,6,07/07/2017 05:06:32,191315,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,6695.763531348822,67.95076183257977,15942.916666666668,33429.835475238506,117630.0,29.0,51334.0,10266.8,13633.616823865925,25785.0,106.0,168832.0,28138.666666666668,45542.56621081718,117630.0,29.0,0,0,0,0,200,232,31.36189007657528,36.588871756004494,0.0,537.0,91.50000000000001,183.26976753493113,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846153,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.80.5-57592-443-6,10.42.0.151,57592,31.13.80.5,443,6,07/07/2017 05:06:32,11706,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,2648.214590808133,256.278831368529,5853.0,8182.639671890728,11639.0,67.0,67.0,67.0,0.0,67.0,67.0,0,0,0,0,0,1,0,0,0,64,32,170.85255424568598,85.42627712284299,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.151-443-49280-6,10.42.0.151,49280,172.217.10.46,443,6,07/07/2017 05:06:41,36645,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.6436075863011,54.57770500750444,36645.0,0.0,36645.0,36645.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.28885250375222,27.28885250375222,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1679,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-54.175.100.199-52048-443-6,10.42.0.151,52048,54.175.100.199,443,6,07/07/2017 05:06:41,98,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,316326.5306122449,20408.163265306124,98.0,0.0,98.0,98.0,98.0,98.0,0.0,98.0,98.0,0,0,0,0,0,1,0,0,0,64,0,20408.163265306124,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1460,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-54.175.100.199-52048-443-6,54.175.100.199,443,10.42.0.151,52048,6,07/07/2017 05:06:41,46,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,673913.0434782609,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,1,0,0,0,64,0,43478.260869565216,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,114,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.99-10.42.0.151-443-50470-6,10.42.0.151,50470,172.217.3.99,443,6,07/07/2017 05:06:42,239390,9,6,451.0,4376.0,242.0,0.0,50.111111111111114,99.77780871071037,1418.0,0.0,729.3333333333333,755.710703025084,20163.74953005556,62.65925894983082,17099.285714285717,22341.22253878405,64889.0,4.0,239390.0,29923.75,45426.87413776752,102490.0,7.0,115967.0,23193.399999999998,44383.803501953276,101871.0,4.0,0,0,0,0,296,200,37.59555536989849,25.06370357993233,0.0,1418.0,301.6875,559.3481585738887,312870.36250000005,0,0,0,1,0,0,0,0,0.0,321.8,50.111111111111114,729.3333333333334,296,0,0,0,0,0,0,9,451,6,4376,65535,340,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.99-10.42.0.151-443-50470-6,172.217.3.99,443,10.42.0.151,50470,6,07/07/2017 05:06:42,27410,3,2,399.0,0.0,338.0,0.0,133.0,180.13605968822566,0.0,0.0,0.0,0.0,14556.731120029186,182.41517694272164,6852.5,10780.469887718253,22943.0,43.0,27410.0,13705.0,19320.985689141224,27367.0,43.0,2608.0,2608.0,0.0,2608.0,2608.0,1,0,0,0,96,40,109.44910616563298,72.96607077708865,0.0,338.0,122.83333333333334,168.33349834975408,28336.166666666664,0,1,0,0,1,0,0,0,0.0,147.4,133.0,0.0,96,0,0,0,0,0,0,3,399,2,0,349,0,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.151-443-34112-6,10.42.0.151,34112,172.217.10.46,443,6,07/07/2017 05:06:47,37050,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.7827260458839,80.97165991902834,18525.0,25731.615767378466,36720.0,330.0,0,0,0,0,0,330.0,330.0,0.0,330.0,330.0,1,0,0,0,32,64,26.99055330634278,53.98110661268556,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.151-443-40910-6,10.42.0.151,40910,172.217.10.46,443,6,07/07/2017 05:06:48,275,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,83636.36363636363,7272.727272727272,275.0,0.0,275.0,275.0,275.0,275.0,0.0,275.0,275.0,0,0,0,0,0,1,0,0,0,64,0,7272.727272727272,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1537,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.151-443-40910-6,172.217.10.46,443,10.42.0.151,40910,6,07/07/2017 05:06:48,290,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6896.551724137931,290.0,0.0,290.0,290.0,290.0,290.0,0.0,290.0,290.0,0,0,0,0,0,0,0,0,0,64,0,6896.551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,511,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
