Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-104.244.43.3-40977-443-6,10.42.0.151,40977,104.244.43.3,443,6,07/07/2017 05:35:24,10324633,11,9,794.0,5833.0,470.0,0.0,72.18181818181819,147.87414796496253,1448.0,0.0,648.111111111111,697.0850816873871,641.8630085931384,1.9371148591916052,543401.7368421053,2302459.262426756,1.0050783E7,7.0,273804.0,27380.4,34486.472936500766,107351.0,7.0,1.030095E7,1287618.7500000002,3542388.8239321443,1.0053415E7,18.0,0,0,0,0,360,296,1.0654131725553828,0.8717016866362223,0.0,1448.0,315.5714285714286,540.9501429363496,292627.0571428571,0,0,0,1,0,0,0,0,0.0,331.35,72.18181818181819,648.1111111111111,360,0,0,0,0,0,0,11,794,9,5833,65535,61,3,32,273804.0,0.0,273804.0,273804.0,1.0050783E7,0.0,1.0050783E7,1.0050783E7,BENIGN
10.42.0.151-104.244.43.3-40980-443-6,10.42.0.151,40980,104.244.43.3,443,6,07/07/2017 05:35:24,10329492,26,24,794.0,27827.0,470.0,0.0,30.538461538461533,100.34589409407074,1448.0,0.0,1159.4583333333333,522.1341639319606,2770.804217671111,4.840509097640039,210805.9591836735,1429820.5846505265,1.0014457E7,1.0,314992.0,12599.68,25874.328493251112,117608.0,1.0,1.0305882E7,448081.8260869566,2088499.0289865995,1.0027466E7,6.0,0,0,0,0,840,776,2.51706473077282,2.3234443668672187,0.0,1448.0,561.1960784313725,674.5159455374749,454971.7607843138,0,0,0,1,0,0,0,0,0.0,572.42,30.53846153846154,1159.4583333333333,840,0,0,0,0,0,0,26,794,24,27827,65535,61,3,32,314992.0,0.0,314992.0,314992.0,1.0014457E7,0.0,1.0014457E7,1.0014457E7,BENIGN
10.42.0.151-104.244.43.3-40978-443-6,10.42.0.151,40978,104.244.43.3,443,6,07/07/2017 05:35:24,10373457,100,98,791.0,134001.0,467.0,0.0,7.910000000000002,51.92381657074842,1448.0,0.0,1367.3571428571424,309.4717231390945,12993.932495213505,19.087176049411493,52657.1421319797,711198.3886569951,9983255.0,1.0,390137.0,3940.7777777777787,13909.857417625997,107205.0,1.0,1.0349343E7,106694.25773195877,1013806.3860197995,9987218.0,5.0,0,0,0,0,3208,3144,9.639987903743178,9.447188145668315,0.0,1448.0,677.3467336683412,715.9419488464583,512572.8741180648,0,0,0,1,0,0,0,0,0.0,680.7676767676768,7.91,1367.357142857143,3208,0,0,0,0,0,0,100,791,98,134001,65535,61,3,32,390137.0,0.0,390137.0,390137.0,9983255.0,0.0,9983255.0,9983255.0,BENIGN
10.42.0.151-104.244.43.3-40980-443-6,10.42.0.151,40980,104.244.43.3,443,6,07/07/2017 05:35:34,10870,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.99264029438822,10870.0,0.0,10870.0,10870.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,91.99632014719411,91.99632014719411,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2274,61,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.244.43.3-40979-443-6,10.42.0.151,40979,104.244.43.3,443,6,07/07/2017 05:35:24,10406823,110,108,793.0,149409.0,469.0,0.0,7.20909090909091,49.707787486274725,1448.0,0.0,1383.4166666666667,269.2167984718622,14433.031098924235,20.947795499164346,47957.709677419356,681092.7091448844,1.0034121E7,1.0,372662.0,3418.9174311926604,12445.515542294326,97469.0,1.0,1.038322E7,97039.43925233645,970085.1859673582,1.0036391E7,2.0,0,0,0,0,3528,3464,10.569988554624212,10.377806944540136,0.0,1448.0,685.8538812785391,715.837961919939,512423.987725692,0,0,0,1,0,0,0,0,0.0,689.0,7.209090909090909,1383.4166666666667,3528,0,0,0,0,0,0,110,793,108,149409,65535,61,3,32,372662.0,0.0,372662.0,372662.0,1.0034121E7,0.0,1.0034121E7,1.0034121E7,BENIGN
172.217.11.14-10.42.0.151-443-52545-6,10.42.0.151,52545,172.217.11.14,443,6,07/07/2017 05:35:35,37078,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.3139327903339,53.940341981768164,37078.0,0.0,37078.0,37078.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.970170990884082,26.970170990884082,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1679,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-58956-6,10.42.0.151,58956,172.217.11.14,443,6,07/07/2017 05:35:37,37808,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,608.3368599238256,52.89885738468049,37808.0,0.0,37808.0,37808.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.449428692340245,26.449428692340245,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1386,490,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.244.43.3-40984-443-6,10.42.0.151,40984,104.244.43.3,443,6,07/07/2017 05:35:27,10657122,7,8,1029.0,2128.0,517.0,0.0,147.0,234.928357873913,1448.0,0.0,266.0,506.95195602175727,296.233823728395,1.407509457056042,761223.0,2679143.616396421,1.0060504E7,26.0,596574.0,99429.0,203406.4279249798,513861.0,183.0,1.0632935E7,1518990.7142857143,3771083.859285847,1.0062106E7,26.0,0,0,0,0,232,264,0.6568377466261529,0.7506717104298891,0.0,1448.0,197.3125,385.10132324709906,148303.02916666667,0,0,0,1,0,0,0,0,1.0,210.46666666666667,147.0,266.0,232,0,0,0,0,0,0,7,1029,8,2128,65535,61,3,32,596574.0,0.0,596574.0,596574.0,1.0060504E7,0.0,1.0060504E7,1.0060504E7,BENIGN
10.42.0.151-104.244.43.3-40984-443-6,10.42.0.151,40984,104.244.43.3,443,6,07/07/2017 05:35:37,12769,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.62933667475917,12769.0,0.0,12769.0,12769.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,78.31466833737959,78.31466833737959,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1460,61,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.244.43.3-40981-443-6,10.42.0.151,40981,104.244.43.3,443,6,07/07/2017 05:35:24,14045279,65,108,2561.0,146921.0,465.0,0.0,39.4,122.0700106496268,1448.0,0.0,1360.3796296296296,304.27722595583066,10642.864410169424,12.317306049954578,81658.59883720928,795006.2373617956,1.0079469E7,3.0,3965772.0,61965.18749999998,342419.1544596839,2691587.0,7.0,1.4021669E7,131043.63551401871,1008539.0349616448,1.0081687E7,3.0,0,0,0,0,2088,3464,4.627889556341316,7.689416493613263,0.0,1448.0,859.0919540229886,690.1900572994394,476362.3151950035,0,0,0,1,0,0,0,0,1.0,864.0578034682081,39.4,1360.3796296296296,2088,0,0,0,0,0,0,65,2561,108,146921,65535,70,7,32,3965772.0,0.0,3965772.0,3965772.0,1.0079469E7,0.0,1.0079469E7,1.0079469E7,BENIGN
