Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.35-10.42.0.151-443-37568-6,10.42.0.151,37568,172.217.11.35,443,6,07/07/2017 08:22:41,204296,8,10,609.0,8624.0,261.0,0.0,76.125,111.43279524961606,1418.0,0.0,862.4,684.4948177711467,45194.227982926735,88.10745193249011,12017.411764705885,15730.00539994672,37709.0,21.0,166302.0,23757.428571428572,23633.420438418292,54999.0,143.0,167007.0,18556.333333333332,25435.059676556688,64680.0,21.0,0,0,0,0,264,328,39.15886752555116,48.94858440693895,0.0,1418.0,485.94736842105266,636.8614426042947,405592.49707602337,0,0,0,1,0,0,0,0,1.0,512.9444444444445,76.125,862.4,264,0,0,0,0,0,0,8,609,10,8624,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-55132-6,10.42.0.151,55132,172.217.11.35,443,6,07/07/2017 08:22:41,209789,8,14,609.0,13051.0,261.0,0.0,76.125,111.43279524961606,1418.0,0.0,932.2142857142857,664.1459731311887,65113.042151876405,104.86727140126509,9989.952380952382,14610.4443001443,37500.0,3.0,171538.0,24505.428571428572,23060.83734282823,53612.0,114.0,172947.0,13303.615384615383,22785.61846332924,59614.0,3.0,0,0,0,0,264,456,38.133553236823666,66.73371816444141,0.0,1418.0,593.9130434782609,671.5289821839735,450951.1739130435,0,0,0,1,0,0,0,0,1.0,620.9090909090909,76.125,932.2142857142857,264,0,0,0,0,0,0,8,609,14,13051,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-51561-6,10.42.0.151,51561,172.217.11.35,443,6,07/07/2017 08:22:41,482142,52,204,609.0,284203.0,261.0,0.0,11.711538461538458,49.73432812117962,1418.0,0.0,1393.151960784314,174.33604220556333,590722.235358048,530.9639068987974,1890.7529411764726,7271.184880382695,80308.0,5.0,441913.0,8664.960784313726,19362.31848613258,117244.0,9.0,445206.0,2193.133004926108,10431.037578657768,119099.0,5.0,0,0,0,0,1672,6536,107.85204358881823,423.1118633099792,0.0,1418.0,1108.217898832684,581.6439585537966,338309.69452213054,0,0,0,1,0,0,0,0,3.0,1112.546875,11.711538461538462,1393.1519607843138,1672,0,0,0,0,0,0,52,609,204,284203,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-37568-6,10.42.0.151,37568,172.217.11.35,443,6,07/07/2017 08:22:42,192651,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,160.91273857908863,20.762934010204983,64217.0,84148.45186335873,159666.0,742.0,192651.0,64217.0,84148.45186335873,159666.0,742.0,0,0,0,0,0,0,0,0,0,128,0,20.762934010204983,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,1635,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-55132-6,10.42.0.151,55132,172.217.11.35,443,6,07/07/2017 08:22:42,172161,6,0,31.0,0.0,31.0,0.0,5.166666666666667,12.655697004379753,0,0,0,0,180.0640098512439,34.85109868088591,34432.2,58914.02116389611,136253.0,9.0,172161.0,34432.2,58914.02116389611,136253.0,9.0,0,0,0,0,0,0,0,0,0,192,0,34.85109868088591,0.0,0.0,31.0,4.428571428571429,11.716898663286045,137.2857142857143,0,0,0,0,1,0,0,0,0.0,5.166666666666667,5.166666666666667,0.0,192,0,0,0,0,0,0,6,31,0,0,1635,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-56041-6,10.42.0.151,56041,172.217.11.35,443,6,07/07/2017 08:22:42,388636,109,203,829.0,279510.0,517.0,0.0,7.605504587155962,55.41978159142441,1418.0,0.0,1376.8965517241375,236.27851944353048,721340.791897817,802.8077687090234,1249.633440514469,5995.494959850084,76964.0,-1.0,387041.0,3583.7129629629635,11035.781863015176,79086.0,1.0,352198.0,1743.5544554455446,7612.827594892529,82065.0,3.0,0,0,0,0,3496,6504,280.4680986836011,522.3396700254223,0.0,1418.0,895.6517571884991,682.6264582796192,465978.8815433767,0,0,0,1,0,0,0,0,1.0,898.5224358974359,7.605504587155964,1376.896551724138,3496,0,0,0,0,0,0,109,829,203,279510,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-45491-6,10.42.0.151,45491,172.217.11.35,443,6,07/07/2017 08:22:42,292480,29,53,829.0,67461.0,517.0,0.0,28.586206896551722,105.95029739100018,1418.0,0.0,1272.8490566037733,418.52283258303083,233486.05032822755,280.3610503282276,3610.864197530863,11146.948513778434,76027.0,2.0,292154.0,10434.07142857143,18367.83064456175,78541.0,2.0,255657.0,4916.480769230768,13880.843341179525,79689.0,3.0,0,0,0,0,936,1704,99.15207877461707,181.2089715536105,0.0,1418.0,822.7710843373494,690.7669354809102,477158.959153688,0,0,0,1,0,0,0,0,1.0,832.8048780487804,28.586206896551722,1272.8490566037735,936,0,0,0,0,0,0,29,829,53,67461,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-51561-6,10.42.0.151,51561,172.217.11.35,443,6,07/07/2017 08:22:42,298830,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,103.73791118696249,13.38553692735,99610.0,164849.04158957067,289913.0,746.0,298830.0,99610.0,164849.04158957067,289913.0,746.0,0,0,0,0,0,0,0,0,0,128,0,13.38553692735,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,3286,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-56041-6,10.42.0.151,56041,172.217.11.35,443,6,07/07/2017 08:22:42,274888,12,0,31.0,0.0,31.0,0.0,2.5833333333333335,8.9489291724392,0,0,0,0,112.77320217688658,43.65414277814964,24989.818181818184,77011.72302295045,256879.0,1.0,274888.0,24989.818181818184,77011.72302295045,256879.0,1.0,0,0,0,0,0,0,0,0,0,384,0,43.65414277814964,0.0,0.0,31.0,2.3846153846153846,8.597853041491051,73.92307692307693,0,0,0,0,1,0,0,0,0.0,2.5833333333333335,2.5833333333333335,0.0,384,0,0,0,0,0,0,12,31,0,0,3458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-58627-6,10.42.0.151,58627,172.217.11.35,443,6,07/07/2017 08:22:42,198269,6,10,829.0,5146.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,514.6,663.7846370958313,30135.82557031104,80.6984450418371,13217.933333333334,23101.656237677194,76788.0,13.0,160109.0,32021.8,32448.39529468291,78839.0,723.0,161026.0,17891.77777777778,28932.875335756802,79607.0,13.0,0,0,0,0,200,328,30.261916890688912,50.43652815114819,0.0,1418.0,351.47058823529414,550.6584828238664,303224.76470588235,0,0,0,1,0,0,0,0,1.0,373.4375,138.16666666666666,514.6,200,0,0,0,0,0,0,6,829,10,5146,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-45491-6,10.42.0.151,45491,172.217.11.35,443,6,07/07/2017 08:22:42,307270,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,100.88846942428484,9.763400266866274,153635.0,217142.59300745215,307178.0,92.0,307270.0,153635.0,217142.59300745215,307178.0,92.0,0,0,0,0,0,0,0,0,0,96,0,9.763400266866274,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,3496,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-58627-6,10.42.0.151,58627,172.217.11.35,443,6,07/07/2017 08:22:42,260290,5,0,31.0,0.0,31.0,0.0,6.2,13.863621460498695,0,0,0,0,119.09792923277881,19.209343424641744,65072.50000000001,103326.1615032708,217272.0,120.0,260290.0,65072.50000000001,103326.1615032708,217272.0,120.0,0,0,0,0,0,0,0,0,0,160,0,19.209343424641744,0.0,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666669,0,0,0,0,1,0,0,0,0.0,6.2,6.2,0.0,160,0,0,0,0,0,0,5,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-60335-6,10.42.0.151,60335,172.217.11.35,443,6,07/07/2017 08:22:42,463252,59,339,829.0,473412.0,517.0,0.0,14.050847457627121,75.0129698506942,1418.0,0.0,1396.4955752212384,168.3276842943253,1023721.4302366746,859.1436194555015,1166.8816120906804,5356.503499578755,77511.0,2.0,458453.0,7904.362068965518,15147.471217008959,86037.0,2.0,426567.0,1262.032544378698,6179.0801166483025,81309.0,2.0,0,0,0,0,1896,10856,127.36048630119244,731.7831331543091,0.0,1418.0,1188.573934837093,519.378846172583,269754.3858515637,0,0,0,1,0,0,0,0,5.0,1191.5603015075376,14.05084745762712,1396.495575221239,1896,0,0,0,0,0,0,59,829,339,473412,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-34490-6,10.42.0.151,34490,172.217.11.35,443,6,07/07/2017 08:22:43,358034,95,113,829.0,152935.0,517.0,0.0,8.726315789473684,59.32034240895984,1418.0,0.0,1353.407079646017,288.48374047918156,429467.5924632856,580.9504125306535,1729.6328502415474,7381.345484111202,77188.0,1.0,356007.0,3787.308510638299,11627.261569839877,79503.0,3.0,321266.0,2868.446428571429,10259.315690119722,80257.0,6.0,0,0,0,0,3048,3624,265.3379288000581,315.6124837305954,0.0,1418.0,735.712918660287,705.4598976469713,497673.66718807525,0,0,0,1,0,0,0,0,1.0,739.25,8.726315789473684,1353.4070796460178,3048,0,0,0,0,0,0,95,829,113,152935,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.151-443-54899-6,10.42.0.151,54899,172.217.11.35,443,6,07/07/2017 08:22:43,212622,6,10,829.0,4546.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,454.59999999999997,667.3505159293062,25279.604180188315,75.25091476893266,14174.800000000001,22505.79743469288,76509.0,15.0,175062.0,35012.4,31342.207098416027,78303.0,3883.0,175459.0,19495.444444444445,32412.18303011659,91546.0,15.0,0,0,0,0,200,328,28.219093038349747,47.03182173058291,0.0,1418.0,316.1764705882353,542.7582605652029,294586.5294117647,0,0,0,1,0,0,0,0,1.0,335.9375,138.16666666666666,454.6,200,0,0,0,0,0,0,6,829,10,4546,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
