Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
173.194.175.100-10.42.0.42-443-50013-6,173.194.175.100,443,10.42.0.42,50013,6,07/07/2017 04:30:43,258126,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.622231003463424,129063.0,127321.64702044975,219093.0,39033.0,258126.0,258126.0,0.0,258126.0,258126.0,0,0,0,0,0,0,0,0,0,64,32,7.748154002308949,3.8740770011544745,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,185,1682,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.42-443-32878-6,10.42.0.42,32878,172.217.0.234,443,6,07/07/2017 04:30:47,22459,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.05115989135759,22459.0,0.0,22459.0,22459.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.52557994567879,44.52557994567879,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5843,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.42-443-36600-6,10.42.0.42,36600,172.217.0.234,443,6,07/07/2017 04:30:49,22328,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.57362952346828,22328.0,0.0,22328.0,22328.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.78681476173414,44.78681476173414,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.65-10.42.0.42-443-57214-6,10.42.0.42,57214,172.217.10.65,443,6,07/07/2017 04:30:49,353902,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.651281993320185,353902.0,0.0,353902.0,353902.0,353902.0,353902.0,0.0,353902.0,353902.0,0,0,0,0,0,0,0,0,0,64,0,5.651281993320185,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.65-10.42.0.42-443-57214-6,10.42.0.42,57214,172.217.10.65,443,6,07/07/2017 04:30:50,1008956,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.9822469959046778,1008956.0,0.0,1008956.0,1008956.0,1008956.0,1008956.0,0.0,1008956.0,1008956.0,0,0,0,0,0,0,0,0,0,64,0,1.9822469959046778,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.42-443-38478-6,10.42.0.42,38478,172.217.0.234,443,6,07/07/2017 04:30:55,22422,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,1382.5706895013825,133.7971635001338,11211.0,15810.907627331202,22391.0,31.0,0,0,0,0,0,31.0,31.0,0.0,31.0,31.0,1,0,0,0,32,64,44.599054500044595,89.19810900008919,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2830,511,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-64.71.142.120-56395-443-6,10.42.0.42,56395,64.71.142.120,443,6,07/07/2017 04:30:56,222114,7,5,326.0,3059.0,200.0,0.0,46.57142857142858,82.35463383614619,1460.0,0.0,611.8,776.3737502002499,15239.921841937023,54.02631081336611,20192.18181818182,27375.88974925996,72306.0,4.0,222114.0,37019.0,43856.16881580059,98393.0,506.0,90903.0,22725.75,43660.35123064556,88190.0,4.0,0,0,0,0,160,112,31.515347974463563,22.510962838902547,0.0,1460.0,260.38461538461536,536.7335680548805,288082.92307692306,0,0,0,1,0,0,0,0,0.0,282.0833333333333,46.57142857142857,611.8,160,0,0,0,0,0,0,7,326,5,3059,65535,31,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-64.71.142.120-56395-443-6,64.71.142.120,443,10.42.0.42,56395,6,07/07/2017 04:30:56,7308,2,1,273.0,0.0,242.0,31.0,136.5,149.19953083036154,0.0,0.0,0.0,0.0,37356.32183908046,410.50903119868633,3654.0,439.8204178980326,3965.0,3343.0,7308.0,7308.0,0.0,7308.0,7308.0,0,0,0,0,0,1,0,0,0,40,20,273.6726874657909,136.83634373289544,0.0,242.0,128.75,131.38080783229591,17260.916666666668,0,1,0,0,1,0,0,0,0.0,171.66666666666666,136.5,0.0,40,0,0,0,0,0,0,2,273,1,0,31,0,1,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.65-10.42.0.42-443-57214-6,10.42.0.42,57214,172.217.10.65,443,6,07/07/2017 04:30:53,4010073,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.49874403782674276,4010073.0,0.0,4010073.0,4010073.0,4010073.0,4010073.0,0.0,4010073.0,4010073.0,0,0,0,0,0,0,0,0,0,64,0,0.49874403782674276,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.42-443-55442-6,10.42.0.42,55442,172.217.10.110,443,6,07/07/2017 04:30:57,36811,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.8132351742685,54.331585667327694,36811.0,0.0,36811.0,36811.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.165792833663847,27.165792833663847,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1682,383,0,32,0,0,0,0,0,0,0,0,BENIGN
