Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.228-10.42.0.42-443-34444-6,10.42.0.42,34444,172.217.10.228,443,6,07/07/2017 09:42:40,37604,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,611.6370598872461,53.185831294543135,37604.0,0.0,37604.0,37604.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.592915647271568,26.592915647271568,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1458,358,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.43.254.159-37686-443-6,10.42.0.42,37686,104.43.254.159,443,6,07/07/2017 09:42:40,67677,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,1255.9658377292137,29.55213735833444,67677.0,0.0,67677.0,67677.0,67677.0,67677.0,0.0,67677.0,67677.0,0,0,0,0,0,1,0,0,0,64,0,29.55213735833444,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,64,0,0,0,0,0,0,2,85,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.43.254.159-37686-443-6,104.43.254.159,443,10.42.0.42,37686,6,07/07/2017 09:42:41,41718,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,47.94093676590441,41718.0,0.0,41718.0,41718.0,41718.0,41718.0,0.0,41718.0,41718.0,0,0,0,0,0,0,0,0,0,64,0,47.94093676590441,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,514,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-49140-6,10.42.0.42,49140,172.217.11.14,443,6,07/07/2017 09:42:43,280540,16,12,15498.0,1827.0,1368.0,0.0,968.6249999999999,607.4471033212137,1418.0,0.0,152.24999999999997,406.820068558347,61755.89933699294,99.8075140799886,10390.37037037037,15539.572093772398,42944.0,7.0,200589.0,13372.6,17564.176621749168,43298.0,7.0,243840.0,22167.272727272728,33453.67258789656,96608.0,10.0,0,0,0,0,520,392,57.032865188564905,42.77464889142368,0.0,1418.0,597.4137931034483,662.6549693274656,439111.6083743843,0,0,0,1,0,0,0,0,0.0,618.75,968.625,152.25,520,0,0,0,0,0,0,16,15498,12,1827,65535,575,13,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-49140-6,10.42.0.42,49140,172.217.11.14,443,6,07/07/2017 09:42:43,52093,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,595.089551379264,76.78574856506633,17364.333333333336,19570.865829935407,38831.0,515.0,52093.0,17364.333333333336,19570.865829935407,38831.0,515.0,0,0,0,0,0,0,0,0,0,128,0,76.78574856506633,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,1476,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
173.194.66.102-10.42.0.42-443-47393-6,10.42.0.42,47393,173.194.66.102,443,6,07/07/2017 09:42:45,61,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,377049.18032786885,32786.88524590164,61.0,0.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,0,0,0,0,0,1,0,0,0,64,0,32786.88524590164,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.226-10.42.0.42-443-41952-6,10.42.0.42,41952,172.217.10.226,443,6,07/07/2017 09:42:45,66,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,348484.84848484845,30303.0303030303,66.0,0.0,66.0,66.0,66.0,66.0,0.0,66.0,66.0,0,0,0,0,0,1,0,0,0,64,0,30303.0303030303,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1549,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.20.99-10.42.0.42-443-52784-6,10.42.0.42,52784,172.217.20.99,443,6,07/07/2017 09:42:51,119402,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.750138188640058,119402.0,0.0,119402.0,119402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.375069094320029,8.375069094320029,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.42-443-45416-6,10.42.0.42,45416,172.217.9.234,443,6,07/07/2017 09:42:52,37136,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.85609651012494,37136.0,0.0,37136.0,37136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.92804825506247,26.92804825506247,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2090,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.99-10.42.0.42-443-59370-6,10.42.0.42,59370,172.217.3.99,443,6,07/07/2017 09:42:52,37226,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.725890506635146,37226.0,0.0,37226.0,37226.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.862945253317573,26.862945253317573,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.18.131-10.42.0.42-443-57947-6,10.42.0.42,57947,172.217.18.131,443,6,07/07/2017 09:42:59,141630,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121301984042928,141630.0,0.0,141630.0,141630.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.060650992021464,7.060650992021464,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-58840-6,10.42.0.42,58840,172.217.10.14,443,6,07/07/2017 09:43:00,212,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,146226.4150943396,9433.962264150943,212.0,0.0,212.0,212.0,212.0,212.0,0.0,212.0,212.0,0,0,0,0,0,1,0,0,0,64,0,9433.962264150943,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1682,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-98.139.180.180-42162-443-6,10.42.0.42,42162,98.139.180.180,443,6,07/07/2017 09:42:55,6085966,7,9,326.0,5024.0,200.0,0.0,46.57142857142858,82.35463383614619,1460.0,0.0,558.2222222222222,642.8290553828789,879.0716214977211,2.628999241862344,405731.06666666665,1526121.1057010547,5922114.0,11.0,163623.0,27270.5,25063.972707852998,69821.0,67.0,6060698.0,757587.25,2104596.492216619,5965920.0,11.0,0,0,0,0,160,192,1.1501871683147753,1.4788120735475683,0.0,1460.0,314.7058823529411,529.3003359041398,280158.8455882353,0,0,0,1,0,0,0,0,1.0,334.375,46.57142857142857,558.2222222222222,160,0,0,0,0,0,0,7,326,9,5024,65535,62,2,20,163623.0,0.0,163623.0,163623.0,5922114.0,0.0,5922114.0,5922114.0,BENIGN
10.42.0.42-98.139.180.149-42535-80-6,10.42.0.42,42535,98.139.180.149,80,6,07/07/2017 09:42:53,11496039,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347945931637845,3832013.0,6612410.005795693,1.1467356E7,3431.0,1.1496039E7,5748019.5,8088363.246075469,1.1467356E7,28683.0,0,0,0,0,0,0,0,0,0,80,32,0.2609594487283838,0.08698648290946125,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,8192,0,20,0,0,0,0,0,0,0,0,BENIGN
