Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.42-10.42.0.42-443-50855-6,10.42.0.42,50855,172.217.11.42,443,6,07/07/2017 10:55:43,37000,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.054054054054056,37000.0,0.0,37000.0,37000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.027027027027028,27.027027027027028,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2950,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-38573-6,10.42.0.42,38573,172.217.11.42,443,6,07/07/2017 10:55:43,36855,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2667209333876,36855.0,0.0,36855.0,36855.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.1333604666938,27.1333604666938,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3085,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-37147-6,10.42.0.42,37147,172.217.11.42,443,6,07/07/2017 10:55:46,36524,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75851494907458,36524.0,0.0,36524.0,36524.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.37925747453729,27.37925747453729,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-37528-6,10.42.0.42,37528,172.217.11.42,443,6,07/07/2017 10:55:47,36700,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,844.6866485013624,81.74386920980926,18350.0,25547.76800426996,36415.0,285.0,0,0,0,0,0,285.0,285.0,0.0,285.0,285.0,1,0,0,0,32,64,27.247956403269754,54.49591280653951,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2741,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-58489-6,10.42.0.42,58489,172.217.11.14,443,6,07/07/2017 10:55:47,36860,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.9826370048834,54.25935973955508,36860.0,0.0,36860.0,36860.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.12967986977754,27.12967986977754,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1486,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-36990-6,10.42.0.42,36990,172.217.11.14,443,6,07/07/2017 10:55:48,37151,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.095044547926,53.83435169981965,37151.0,0.0,37151.0,37151.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.917175849909825,26.917175849909825,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1815,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-55868-6,10.42.0.42,55868,172.217.11.14,443,6,07/07/2017 10:55:50,37021,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.2690094811054,54.02339212879177,37021.0,0.0,37021.0,37021.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.011696064395885,27.011696064395885,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,490,0,32,0,0,0,0,0,0,0,0,BENIGN
174.140.158.56-10.42.0.42-443-51289-6,10.42.0.42,51289,174.140.158.56,443,6,07/07/2017 10:55:50,380,2,0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0,0,0,0,139473.68421052632,5263.157894736842,380.0,0.0,380.0,380.0,380.0,380.0,0.0,380.0,380.0,0,0,0,0,0,1,0,0,0,40,0,5263.157894736842,0.0,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,0,1,0,0,1,0,0,0,0.0,53.0,26.5,0.0,40,0,0,0,0,0,0,2,53,0,0,1506,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-74.6.105.9-54323-443-6,10.42.0.42,54323,74.6.105.9,443,6,07/07/2017 10:55:55,698300,8,9,1783.0,5603.0,1140.0,0.0,222.875,411.5092213860028,1448.0,0.0,622.5555555555555,668.7217491436761,10577.115852785335,24.344837462408705,43643.75,134453.4014497216,546201.0,4.0,671221.0,95888.71428571428,198921.75013365957,546201.0,1281.0,673034.0,84129.24999999999,200131.93546668868,577128.0,4.0,0,0,0,0,264,296,11.456394099957038,12.888443362451667,0.0,1448.0,410.33333333333337,574.8520014137654,330454.8235294117,0,0,0,1,0,0,0,0,1.0,434.47058823529414,222.875,622.5555555555555,264,0,0,0,0,0,0,8,1783,9,5603,65535,140,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-74.6.105.9-54323-443-6,10.42.0.42,54323,74.6.105.9,443,6,07/07/2017 10:55:56,316,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,98101.26582278482,6329.113924050634,316.0,0.0,316.0,316.0,316.0,316.0,0.0,316.0,316.0,0,0,0,0,0,1,0,0,0,64,0,6329.113924050634,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
