Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.14-10.42.0.42-443-52559-6,10.42.0.42,52559,172.217.11.14,443,6,07/07/2017 11:40:29,36517,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.8436344716159,54.769011693184,36517.0,0.0,36517.0,36517.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.384505846592,27.384505846592,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-44604-6,10.42.0.42,44604,172.217.11.14,443,6,07/07/2017 11:40:30,36600,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.4153005464481,54.6448087431694,36600.0,0.0,36600.0,36600.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.3224043715847,27.3224043715847,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-60819-6,10.42.0.42,60819,172.217.11.14,443,6,07/07/2017 11:40:33,315,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,73015.87301587302,6349.206349206349,315.0,0.0,315.0,315.0,315.0,315.0,0.0,315.0,315.0,0,0,0,0,0,1,0,0,0,64,0,6349.206349206349,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1486,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-60819-6,172.217.11.14,443,10.42.0.42,60819,6,07/07/2017 11:40:33,283,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7067.137809187279,283.0,0.0,283.0,283.0,283.0,283.0,0.0,283.0,283.0,0,0,0,0,0,0,0,0,0,64,0,7067.137809187279,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,468,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.42-443-38669-6,10.42.0.42,38669,172.217.10.10,443,6,07/07/2017 11:40:38,37087,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,835.8724081214441,53.92725213686737,37087.0,0.0,37087.0,37087.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.963626068433683,26.963626068433683,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1814,1622,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.42-443-44530-6,10.42.0.42,44530,172.217.10.10,443,6,07/07/2017 11:40:41,37150,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,834.4549125168236,53.835800807537005,37150.0,0.0,37150.0,37150.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.917900403768503,26.917900403768503,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1419,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-36720-6,10.42.0.42,36720,172.217.11.14,443,6,07/07/2017 11:40:29,17628319,9,9,1195.0,1102.0,924.0,0.0,132.77777777777777,304.0373240976253,453.0,0.0,122.44444444444444,182.29585233289808,130.30170375292164,1.0210843132575487,1036959.9411764706,4189787.5248467918,1.7295532E7,221.0,1.759179E7,2198973.75,6099989.365621755,1.7295532E7,11836.0,1.7591522E7,2198940.25,6128231.762524762,1.7365329E7,221.0,0,0,0,0,296,296,0.5105421566287743,0.5105421566287743,0.0,924.0,120.89473684210526,238.19597317634677,56737.3216374269,0,0,0,1,0,0,0,0,1.0,127.61111111111111,132.77777777777777,122.44444444444444,296,0,0,0,0,0,0,9,1195,9,1102,65535,362,4,32,296258.0,0.0,296258.0,296258.0,1.7295532E7,0.0,1.7295532E7,1.7295532E7,BENIGN
172.217.7.4-10.42.0.42-443-33244-6,10.42.0.42,33244,172.217.7.4,443,6,07/07/2017 11:40:33,13284460,9,9,1067.0,864.0,517.0,0.0,118.55555555555556,217.2050362624628,455.0,0.0,96.0,159.5360460836359,145.35780904906937,1.3549666301829357,781438.8235294118,3143505.22814718,1.2979734E7,12.0,1.3247739E7,1655967.375,4575576.558486058,1.2979734E7,46.0,1.3247824E7,1655978.0,4607799.690699455,1.3059476E7,12.0,0,0,0,0,296,296,0.6774833150914679,0.6774833150914679,0.0,517.0,101.6315789473684,181.69425188924012,33012.80116959064,0,0,0,1,0,0,0,0,1.0,107.27777777777777,118.55555555555556,96.0,296,0,0,0,0,0,0,9,1067,9,864,65535,349,4,32,268005.0,0.0,268005.0,268005.0,1.2979734E7,0.0,1.2979734E7,1.2979734E7,BENIGN
157.56.52.23-10.42.0.42-40033-44172-6,10.42.0.42,44172,157.56.52.23,40033,6,07/07/2017 11:40:31,18496714,5,3,726.0,8.0,414.0,0.0,145.2,202.06731551638924,4.0,0.0,2.6666666666666665,2.309401076758503,39.682724185495864,0.4325092554277479,2642387.714285714,6159190.277253163,1.6541668E7,268.0,1.8496714E7,4624178.5,7978603.565770245,1.6541668E7,86630.0,1867768.0,933884.0,1320332.4092485195,1867500.0,268.0,1,0,0,0,160,96,0.2703182846423424,0.16219097078540545,0.0,414.0,127.55555555555559,191.6162252466575,36716.77777777778,0,1,0,0,1,0,0,0,0.0,143.5,145.2,2.6666666666666665,160,0,0,0,0,0,0,5,726,3,8,1431,37,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-40.83.21.197-54317-443-6,10.42.0.42,54317,40.83.21.197,443,6,07/07/2017 11:40:35,14273478,4,2,186.0,101.0,101.0,0.0,46.5,54.08943211632626,101.0,0.0,50.5,71.4177848998413,20.107222640480476,0.4203600552016824,2854695.6,6258172.812894575,1.404962E7,42937.0,1.4273478E7,4757826.0,8046941.602434306,1.404962E7,98060.0,93214.0,93214.0,0.0,93214.0,93214.0,1,0,0,0,128,64,0.28024003680112164,0.14012001840056082,0.0,101.0,53.14285714285715,50.137905060039394,2513.809523809524,0,1,0,0,1,0,0,0,0.0,62.0,46.5,50.5,128,0,0,0,0,0,0,4,186,2,101,1595,509,1,32,0,0,0,0,0,0,0,0,BENIGN
