Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-98.139.180.180-53131-443-6,10.42.0.211,53131,98.139.180.180,443,6,08/07/2017 07:33:03,5467293,7,9,336.0,5024.0,210.0,0.0,48.0,85.48684109265004,1460.0,0.0,558.2222222222222,642.8290553828789,980.3754801507803,2.9264939705993442,364486.2,1372367.4562348297,5324994.0,18.0,142244.0,23707.333333333336,19482.97798250223,51973.0,1216.0,5442229.0,680278.625,1877998.185667535,5327560.0,18.0,0,0,0,0,160,192,1.280341112137213,1.6461528584621312,0.0,1460.0,315.2941176470589,529.1704315135487,280021.3455882353,0,0,0,1,0,0,0,0,1.0,335.0,48.0,558.2222222222222,160,0,0,0,0,0,0,7,336,9,5024,65535,62,2,20,142244.0,0.0,142244.0,142244.0,5324994.0,0.0,5324994.0,5324994.0,BENIGN
10.42.0.211-98.139.180.180-53131-443-6,10.42.0.211,53131,98.139.180.180,443,6,08/07/2017 07:33:09,25434,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1218.8409216010066,157.26979633561376,8478.0,1161.2609525855935,9785.0,7565.0,17350.0,17350.0,0.0,17350.0,17350.0,17869.0,17869.0,0.0,17869.0,17869.0,0,0,0,0,52,40,78.63489816780688,78.63489816780688,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,0,0,0,1.0,7.75,0.0,15.5,52,0,0,0,0,0,0,2,0,2,31,1597,62,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.149-59576-80-6,10.42.0.211,59576,98.139.180.149,80,6,08/07/2017 07:33:02,12844705,4,4,368.0,704.0,368.0,0.0,92.0,184.0,704.0,0.0,176.0,352.0,83.45851461750192,0.6228247359515069,1834957.857142857,4828238.315936411,1.2784346E7,389.0,60359.0,20119.666666666668,17176.63835950834,31735.0,389.0,1.281945E7,4273150.0,7375286.218549284,1.2789383E7,1676.0,0,0,0,0,100,92,0.31141236797575345,0.31141236797575345,0.0,704.0,119.11111111111111,250.83682168117005,62919.1111111111,0,0,0,1,0,0,0,0,1.0,134.0,92.0,176.0,100,0,0,0,0,0,0,4,368,4,704,65535,62,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.180-53130-443-6,10.42.0.211,53130,98.139.180.180,443,6,08/07/2017 07:33:03,12822311,75,109,771.0,136832.0,435.0,0.0,10.279999999999998,57.1005656241214,1460.0,0.0,1255.3394495412842,464.6783080835579,10731.528817231154,14.34998729948135,70067.2732240437,777583.5273398033,1.0411644E7,2.0,2410594.0,32575.594594594593,214693.3567567409,1851283.0,10.0,1.2797303E7,118493.54629629629,1011917.0740166316,1.0417566E7,5.0,0,0,0,0,1532,2192,5.849179605766855,8.500807693714496,0.0,1460.0,743.8000000000003,710.9038093068264,505384.2260869565,0,0,0,1,0,0,0,0,1.0,747.8423913043479,10.28,1255.3394495412845,1532,0,0,0,0,0,0,75,771,109,136832,65535,66,3,20,2410594.0,0.0,2410594.0,2410594.0,1.0411644E7,0.0,1.0411644E7,1.0411644E7,BENIGN
10.42.0.211-98.139.180.180-53130-443-6,10.42.0.211,53130,98.139.180.180,443,6,08/07/2017 07:33:16,375688,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.985349545367432,187844.0,215011.37316895588,339880.0,35808.0,375688.0,187844.0,215011.37316895588,339880.0,35808.0,0,0,0,0,0,0,0,0,0,60,0,7.985349545367432,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.180-53131-443-6,10.42.0.211,53131,98.139.180.180,443,6,08/07/2017 07:33:09,7499261,3,0,431.0,0.0,431.0,0.0,143.66666666666669,248.8379660207287,0,0,0,0,57.47232960687727,0.4000394172172432,3749630.5,5302696.282601192,7499203.0,58.0,7499261.0,3749630.5,5302696.282601192,7499203.0,58.0,0,0,0,0,0,0,0,0,0,72,0,0.4000394172172432,0.0,0.0,431.0,107.75,215.5,46440.25,0,0,0,0,1,0,0,0,0.0,143.66666666666666,143.66666666666666,0.0,72,0,0,0,0,0,0,3,431,0,0,1597,-1,1,20,0,0,0,0,7499203.0,0.0,7499203.0,7499203.0,BENIGN
10.42.0.211-63.250.200.101-58784-443-6,10.42.0.211,58784,63.250.200.101,443,6,08/07/2017 07:33:19,219930,8,10,1341.0,4717.0,931.0,0.0,167.625,322.1396935226349,1448.0,0.0,471.7000000000001,629.4277912870105,27545.127995271225,81.84422316191515,12937.058823529413,13140.904289995553,38752.0,14.0,193339.0,27619.85714285714,19999.6398669957,64503.0,83.0,194335.0,21592.777777777777,32980.67340040898,87535.0,14.0,0,0,0,0,264,328,36.37521029418451,45.46901286773065,0.0,1448.0,318.84210526315786,516.9504879749547,267237.8070175438,0,0,0,1,0,0,0,0,1.0,336.55555555555554,167.625,471.7,264,0,0,0,0,0,0,8,1341,10,4717,65535,3840,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-63.250.200.101-58784-443-6,10.42.0.211,58784,63.250.200.101,443,6,08/07/2017 07:33:20,905,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2209.9447513812156,905.0,0.0,905.0,905.0,905.0,905.0,0.0,905.0,905.0,0,0,0,0,0,0,0,0,0,64,0,2209.9447513812156,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-63.250.200.101-58788-443-6,10.42.0.211,58788,63.250.200.101,443,6,08/07/2017 07:33:21,127388,7,10,1580.0,4717.0,872.0,0.0,225.71428571428572,343.3961338773411,1448.0,0.0,471.7000000000001,629.4277912870105,49431.65761296197,133.45056049235407,7961.75,9716.960550158332,25409.0,7.0,100386.0,16731.0,14053.842065428229,32576.0,285.0,101979.0,11331.0,18410.779926445266,52035.0,7.0,0,0,0,0,232,328,54.95023079096932,78.50032970138474,0.0,1448.0,349.8333333333333,523.1059109947497,273639.79411764705,0,0,0,1,0,0,0,0,1.0,370.4117647058824,225.71428571428572,471.7,232,0,0,0,0,0,0,7,1580,10,4717,65535,3840,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.149-59576-80-6,10.42.0.211,59576,98.139.180.149,80,6,08/07/2017 07:33:15,7189422,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2781864800814307,7189422.0,0.0,7189422.0,7189422.0,7189422.0,7189422.0,0.0,7189422.0,7189422.0,0,0,0,0,0,0,0,0,0,40,0,0.2781864800814307,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1391,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
