Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.234-10.42.0.211-443-59170-6,10.42.0.211,59170,172.217.10.234,443,6,08/07/2017 03:29:33,37030,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,837.159060221442,81.01539292465569,18515.0,26121.93871059344,36986.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,1,0,0,0,32,64,27.005130974885226,54.01026194977045,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2470,511,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-56812-443-6,31.13.71.37,443,10.42.0.211,56812,6,08/07/2017 03:29:34,44,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,954545.4545454546,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-56812-443-6,10.42.0.211,56812,31.13.71.37,443,6,08/07/2017 03:29:34,567,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,74074.07407407407,5291.005291005291,283.5,282.13560569343247,483.0,84.0,567.0,283.5,282.13560569343247,483.0,84.0,0,0,0,0,0,0,0,0,0,96,0,5291.005291005291,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-37903-6,10.42.0.211,37903,172.217.10.238,443,6,08/07/2017 03:29:36,36848,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.1858445505862,54.27702996092054,36848.0,0.0,36848.0,36848.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.13851498046027,27.13851498046027,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-54032-6,10.42.0.211,54032,172.217.10.238,443,6,08/07/2017 03:29:36,37194,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.3793084906168,80.65817067268915,18597.0,26203.96309721108,37126.0,68.0,0,0,0,0,0,68.0,68.0,0.0,68.0,68.0,1,0,0,0,32,64,26.886056890896384,53.77211378179277,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-57435-6,10.42.0.211,57435,172.217.10.238,443,6,08/07/2017 03:29:38,36694,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.8054722842973,81.75723551534311,18347.0,25728.78734025372,36540.0,154.0,0,0,0,0,0,154.0,154.0,0.0,154.0,154.0,1,0,0,0,32,64,27.252411838447703,54.504823676895406,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-45522-6,10.42.0.211,45522,172.217.10.238,443,6,08/07/2017 03:29:33,5149748,15,11,9241.0,750.0,1368.0,0.0,616.0666666666667,663.3528975339344,428.0,0.0,68.18181818181819,132.9261585857488,1940.0949328005954,5.048790736944798,205989.92,976121.4920491421,4890825.0,35.0,5113190.0,365227.85714285716,1302727.4319330584,4890825.0,35.0,5113043.0,511304.29999999993,1563585.8712515812,4961008.0,43.0,0,0,0,0,488,360,2.9127638866989223,2.136026850245876,0.0,1368.0,370.037037037037,567.8698714346368,322476.1908831909,0,0,0,1,0,0,0,0,0.0,384.2692307692308,616.0666666666667,68.18181818181819,488,0,0,0,0,0,0,15,9241,11,750,65535,490,10,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-39133-6,10.42.0.211,39133,172.217.10.238,443,6,08/07/2017 03:29:33,5659151,7,5,2269.0,1487.0,1368.0,0.0,324.1428571428571,511.0307976927381,407.0,0.0,297.4,173.51455270380063,663.7037958520634,2.1204594116679343,514468.27272727276,1505777.3316419723,5035826.0,39.0,5659151.0,943191.8333333334,2012559.6124591606,5035826.0,117.0,581283.0,145320.75,260985.32492124915,535463.0,39.0,0,0,0,0,224,160,1.2369346568062949,0.8835247548616392,0.0,1368.0,394.1538461538461,475.81839080224813,226403.1410256409,0,0,0,0,1,0,0,0,0.0,427.0,324.14285714285717,297.4,224,0,0,0,0,0,0,7,2269,5,1487,1453,468,3,32,623208.0,0.0,623208.0,623208.0,5035826.0,0.0,5035826.0,5035826.0,BENIGN
172.217.10.234-10.42.0.211-443-45719-6,10.42.0.211,45719,172.217.10.234,443,6,08/07/2017 03:29:36,7739489,10,8,1521.0,1292.0,1213.0,0.0,152.09999999999997,379.277514932448,553.0,0.0,161.5,205.35961489195344,363.46068842529525,2.325734941932213,455264.0588235294,1772899.7477758531,7334053.0,71.0,7739489.0,859943.2222222222,2428966.234496467,7334053.0,92.0,341122.0,48731.71428571429,38156.268094570805,91104.0,71.0,0,0,0,0,340,264,1.2920749677401182,1.0336599741920947,0.0,1213.0,148.05263157894737,299.3883530882795,89633.38596491229,0,0,0,1,0,0,0,0,0.0,156.27777777777777,152.1,161.5,340,0,0,0,0,0,0,10,1521,8,1292,65535,362,4,32,405334.0,0.0,405334.0,405334.0,7334053.0,0.0,7334053.0,7334053.0,BENIGN
172.217.10.234-10.42.0.211-443-45719-6,172.217.10.234,443,10.42.0.211,45719,6,08/07/2017 03:29:44,127,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,15748.031496062993,127.0,0.0,127.0,127.0,127.0,127.0,0.0,127.0,127.0,0,0,0,0,0,0,0,0,0,64,0,15748.031496062993,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.33-10.42.0.211-443-54763-6,10.42.0.211,54763,172.217.11.33,443,6,08/07/2017 03:29:54,36800,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34782608695652,36800.0,0.0,36800.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.17391304347826,27.17391304347826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-37780-6,10.42.0.211,37780,172.217.10.234,443,6,08/07/2017 03:29:54,36888,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.21817393190198,36888.0,0.0,36888.0,36888.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.10908696595099,27.10908696595099,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
