Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.42-10.42.0.211-443-53827-6,10.42.0.211,53827,172.217.11.42,443,6,08/07/2017 02:59:15,36947,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,839.0397055241291,54.13159390478253,36947.0,0.0,36947.0,36947.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.065796952391263,27.065796952391263,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1405,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.211-443-35842-6,10.42.0.211,35842,172.217.10.227,443,6,08/07/2017 02:59:16,36755,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.41436539246361,36755.0,0.0,36755.0,36755.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.207182696231804,27.207182696231804,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.211-443-55128-6,10.42.0.211,55128,172.217.12.142,443,6,08/07/2017 02:59:18,37128,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.4785606550312,53.867700926524456,37128.0,0.0,37128.0,37128.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.933850463262228,26.933850463262228,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
191.239.8.125-10.42.0.211-443-51733-6,10.42.0.211,51733,191.239.8.125,443,6,08/07/2017 02:59:15,3894547,12,7,1391.0,4224.0,885.0,0.0,115.91666666666667,255.45946425761542,1448.0,0.0,603.4285714285714,632.8685638010621,1441.7594652215007,4.878616177953431,216363.72222222222,439526.8893737508,1782332.0,6.0,3894547.0,354049.72727272724,525042.908311519,1782332.0,100.0,3798429.0,633071.5,718627.5780465845,1919353.0,6.0,0,0,0,0,392,232,3.081231270286377,1.7973849076670534,0.0,1448.0,280.75000000000006,473.21419151651776,223931.67105263157,0,0,0,1,0,0,0,0,0.0,295.5263157894737,115.91666666666667,603.4285714285714,392,0,0,0,0,0,0,12,1391,7,4224,65535,510,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-13.107.3.128-41029-443-6,10.42.0.211,41029,13.107.3.128,443,6,08/07/2017 02:59:16,3037122,11,9,1212.0,5415.0,709.0,0.0,110.18181818181819,215.35497123670874,1448.0,0.0,601.6666666666666,700.9103009658226,2181.9999328311474,6.5851816291871055,159848.52631578947,390124.55759943137,1647927.0,22.0,3037122.0,303712.19999999995,506211.20130497136,1647927.0,71.0,1315009.0,164376.125,234989.2322246991,555582.0,22.0,0,0,0,0,360,296,3.621849896052908,2.9633317331341975,0.0,1448.0,315.5714285714286,533.5847234908972,284712.6571428572,0,0,0,1,0,0,0,0,0.0,331.35,110.18181818181819,601.6666666666666,360,0,0,0,0,0,0,11,1212,9,5415,65535,1025,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-13.107.3.128-41029-443-6,13.107.3.128,443,10.42.0.211,41029,6,08/07/2017 02:59:19,29521,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,101.62257376105146,14760.5,20813.688104226025,29478.0,43.0,29521.0,14760.5,20813.688104226025,29478.0,43.0,0,0,0,0,0,0,0,0,0,96,0,101.62257376105146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1025,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.112.170-58536-443-6,10.42.0.211,58536,23.101.112.170,443,6,08/07/2017 02:59:16,3314721,12,6,1438.0,4026.0,917.0,0.0,119.83333333333333,264.72518626383896,1448.0,0.0,671.0,645.7268772476488,1648.4041945008344,5.430321284958825,194983.58823529413,466444.5463397899,1890981.0,11.0,3314721.0,301338.27272727276,559495.1003013505,1890981.0,108.0,1323870.0,264774.0,287142.36116341315,691736.0,11.0,0,0,0,0,392,200,3.6202141899725495,1.8101070949862748,0.0,1448.0,287.57894736842104,480.63179667663286,231006.92397660817,0,0,0,1,0,0,0,0,0.0,303.55555555555554,119.83333333333333,671.0,392,0,0,0,0,0,0,12,1438,6,4026,65535,510,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.112.170-58536-443-6,23.101.112.170,443,10.42.0.211,58536,6,08/07/2017 02:59:20,19800,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,101.010101010101,19800.0,0.0,19800.0,19800.0,19800.0,19800.0,0.0,19800.0,19800.0,0,0,0,0,0,0,0,0,0,64,0,101.010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,509,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.211-443-48000-6,10.42.0.211,48000,172.217.12.142,443,6,08/07/2017 02:59:20,37342,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.558995233249426,37342.0,0.0,37342.0,37342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.779497616624713,26.779497616624713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2631,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.211-443-41643-6,10.42.0.211,41643,172.217.9.238,443,6,08/07/2017 02:59:21,291974,13,10,6695.0,5563.0,1368.0,0.0,515.0,635.1372555072907,1418.0,0.0,556.3,664.5961263136516,41983.19028406639,78.77413742319521,13271.545454545456,19646.700364491775,69346.0,7.0,219959.0,18329.91666666667,24037.254341233558,69346.0,89.0,255211.0,28356.777777777777,39093.5014765171,110183.0,7.0,0,0,0,0,424,328,44.524512456588596,34.24962496660662,0.0,1418.0,510.75000000000006,628.9339669493203,395557.9347826087,0,0,0,1,0,0,0,0,0.0,532.9565217391304,515.0,556.3,424,0,0,0,0,0,0,13,6695,10,5563,65535,447,7,32,0,0,0,0,0,0,0,0,BENIGN
