Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.14-10.42.0.211-443-42710-6,10.42.0.211,42710,172.217.10.14,443,6,08/07/2017 04:30:36,36766,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.398085187401406,36766.0,0.0,36766.0,36766.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.199042593700703,27.199042593700703,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1815,490,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-45414-6,10.42.0.211,45414,172.217.6.202,443,6,08/07/2017 04:30:36,36663,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.55090963641818,36663.0,0.0,36663.0,36663.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.27545481820909,27.27545481820909,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,434,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-49632-6,10.42.0.211,49632,172.217.6.202,443,6,08/07/2017 04:30:37,36591,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.658249296275045,36591.0,0.0,36591.0,36591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.329124648137523,27.329124648137523,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-54915-6,10.42.0.211,54915,172.217.6.202,443,6,08/07/2017 04:30:37,36560,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70459518599562,36560.0,0.0,36560.0,36560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.35229759299781,27.35229759299781,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1770,776,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.8-10.42.0.211-443-34259-6,10.42.0.211,34259,172.217.10.8,443,6,08/07/2017 04:30:37,37102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.90544984097892,37102.0,0.0,37102.0,37102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.95272492048946,26.95272492048946,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1403,351,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.211-443-39655-6,10.42.0.211,39655,172.217.6.234,443,6,08/07/2017 04:30:37,36574,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.683655055503905,36574.0,0.0,36574.0,36574.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.341827527751953,27.341827527751953,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5524,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-38552-6,10.42.0.211,38552,172.217.6.202,443,6,08/07/2017 04:30:37,36981,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.08182580243909,36981.0,0.0,36981.0,36981.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.040912901219546,27.040912901219546,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1504,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.211-443-52760-6,10.42.0.211,52760,172.217.12.174,443,6,08/07/2017 04:30:37,37223,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.73022056255541,37223.0,0.0,37223.0,37223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.865110281277705,26.865110281277705,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1814,403,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-41005-6,10.42.0.211,41005,172.217.6.202,443,6,08/07/2017 04:30:44,36643,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.580683895969216,36643.0,0.0,36643.0,36643.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.290341947984608,27.290341947984608,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-46157-6,10.42.0.211,46157,172.217.6.202,443,6,08/07/2017 04:30:46,36786,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,842.7119012667863,81.55276463872126,18393.0,25946.576228859176,36740.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,27.18425487957375,54.3685097591475,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1538,426,0,32,0,0,0,0,0,0,0,0,BENIGN
