Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.142-10.42.0.211-443-39666-6,10.42.0.211,39666,172.217.12.142,443,6,08/07/2017 05:15:25,37423,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44306976992759,37423.0,0.0,37423.0,37423.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.721534884963795,26.721534884963795,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,6301,358,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-34664-6,10.42.0.211,34664,172.217.3.106,443,6,08/07/2017 05:15:32,36995,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.061359643195026,36995.0,0.0,36995.0,36995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.030679821597513,27.030679821597513,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1947,408,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.206-10.42.0.211-443-35269-6,10.42.0.211,35269,216.58.219.206,443,6,08/07/2017 05:15:36,36791,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.361120926313504,36791.0,0.0,36791.0,36791.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.180560463156752,27.180560463156752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3486,413,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.255.159.30-35877-443-6,10.42.0.211,35877,54.255.159.30,443,6,08/07/2017 05:15:38,821,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,37758.830694275275,2436.05359317905,821.0,0.0,821.0,821.0,821.0,821.0,0.0,821.0,821.0,0,0,0,0,0,1,0,0,0,64,0,2436.05359317905,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,2908,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.255.159.30-35877-443-6,54.255.159.30,443,10.42.0.211,35877,6,08/07/2017 05:15:38,125,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,16000.0,125.0,0.0,125.0,125.0,125.0,125.0,0.0,125.0,125.0,0,0,0,0,0,0,0,0,0,64,0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,114,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-51810-6,10.42.0.211,51810,172.217.3.106,443,6,08/07/2017 05:15:38,36329,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05243744666795,36329.0,0.0,36329.0,36329.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.526218723333976,27.526218723333976,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4575,383,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.211-80-42027-6,10.42.0.211,42027,208.80.154.224,80,6,08/07/2017 05:15:34,5062789,4,4,372.0,489.0,372.0,0.0,93.0,186.0,489.0,0.0,122.25,244.5,170.0643657083082,1.580156708091133,723255.5714285715,1881593.143690107,4990217.0,259.0,72572.0,24190.666666666668,20465.125026086047,39439.0,932.0,5033788.0,1677929.3333333333,2877756.060185146,5000823.0,259.0,0,0,0,0,136,136,0.7900783540455665,0.7900783540455665,0.0,489.0,95.66666666666667,192.07290282598427,36892.0,0,0,0,1,0,0,0,0,1.0,107.625,93.0,122.25,136,0,0,0,0,0,0,4,372,4,489,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.211-80-42027-6,10.42.0.211,42027,208.80.154.224,80,6,08/07/2017 05:15:39,8975,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84122562674094,8975.0,0.0,8975.0,8975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,111.42061281337047,111.42061281337047,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,59,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.211-80-42027-6,10.42.0.211,42027,208.80.154.224,80,6,08/07/2017 05:15:39,4785940,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.41789073828756734,4785940.0,0.0,4785940.0,4785940.0,4785940.0,4785940.0,0.0,4785940.0,4785940.0,0,0,0,0,0,0,0,0,0,76,0,0.41789073828756734,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,76,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-35408-6,10.42.0.211,35408,172.217.3.106,443,6,08/07/2017 05:15:46,37166,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,834.0956788462573,80.71893666254104,18583.0,26215.276805710062,37120.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,26.906312220847013,53.81262444169403,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1419,426,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.221.12.152-34552-443-6,52.221.12.152,443,10.42.0.211,34552,6,08/07/2017 05:15:43,5005308,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.19342505995635,0.5993637154796467,2502654.0,3254979.3910020385,4804272.0,201036.0,5005308.0,5005308.0,0.0,5005308.0,5005308.0,0,0,0,0,0,1,0,0,0,64,32,0.3995758103197645,0.19978790515988226,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,128,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.3-59745-443-6,10.42.0.211,59745,31.13.71.3,443,6,08/07/2017 05:15:49,46419,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,667.8299834119649,64.62870807212563,23209.5,32649.24140772646,46296.0,123.0,0,0,0,0,0,123.0,123.0,0.0,123.0,123.0,0,0,0,0,32,64,21.542902690708544,43.08580538141709,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.211-443-59303-6,10.42.0.211,59303,157.240.2.20,443,6,08/07/2017 05:15:49,193552,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.33314044804497,193552.0,0.0,193552.0,193552.0,193552.0,193552.0,0.0,193552.0,193552.0,0,0,0,0,0,0,0,0,0,64,0,10.33314044804497,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
