Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-34.194.31.4-57776-443-6,34.194.31.4,443,10.42.0.211,57776,6,08/07/2017 10:11:29,3147134,1,3,31.0,31.0,31.0,31.0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,19.700463977701617,1.2709976759807495,1049044.6666666667,1808245.547533944,3137021.0,804.0,0,0,0,0,0,3137825.0,1568912.5,2217640.3079725304,3137021.0,804.0,1,0,0,0,32,96,0.3177494189951874,0.9532482569855621,0.0,31.0,18.6,16.97939928266015,288.30000000000007,0,1,0,0,1,0,0,0,3.0,23.25,31.0,10.333333333333334,32,0,0,0,0,0,0,1,31,3,31,123,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-33294-6,10.42.0.211,33294,172.217.10.138,443,6,08/07/2017 10:11:32,36994,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.06282099799968,36994.0,0.0,36994.0,36994.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.03141049899984,27.03141049899984,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4486,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.243.58.1-55745-443-6,54.243.58.1,443,10.42.0.211,55745,6,08/07/2017 10:11:28,5005011,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.193792581075247,0.59939928203954,2502505.5,3472760.5014329017,4958118.0,46893.0,5005011.0,5005011.0,0.0,5005011.0,5005011.0,0,0,0,0,0,1,0,0,0,64,32,0.39959952135969334,0.19979976067984667,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,125,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.21.91.160-52748-443-6,23.21.91.160,443,10.42.0.211,52748,6,08/07/2017 10:11:29,5016463,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.17965287494396,0.5980309233816735,2508231.5,3246465.118249771,4803829.0,212634.0,5016463.0,5016463.0,0.0,5016463.0,5016463.0,0,0,0,0,0,1,0,0,0,64,32,0.398687282254449,0.1993436411272245,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.225-10.42.0.211-443-35839-6,10.42.0.211,35839,172.217.9.225,443,6,08/07/2017 10:11:34,36400,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.94505494505494,36400.0,0.0,36400.0,36400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.47252747252747,27.47252747252747,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-33646-6,10.42.0.211,33646,172.217.10.138,443,6,08/07/2017 10:11:34,36720,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.466230936819166,36720.0,0.0,36720.0,36720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.233115468409583,27.233115468409583,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.164-10.42.0.211-443-35428-6,10.42.0.211,35428,172.217.7.164,443,6,08/07/2017 10:11:34,41758,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.895014129029164,41758.0,0.0,41758.0,41758.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23.947507064514582,23.947507064514582,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,349,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-35929-6,10.42.0.211,35929,198.105.244.11,80,6,08/07/2017 10:11:35,69863,3,4,259.0,223.0,259.0,0.0,86.33333333333333,149.53371972011306,223.0,0.0,55.75,111.5,6899.217039062165,100.19609807766629,11643.833333333332,16029.61812915912,32176.0,19.0,37612.0,18806.0,26410.43827731755,37481.0,131.0,37697.0,12565.666666666668,21699.429078511104,37622.0,19.0,0,0,0,0,80,84,42.94118489042841,57.25491318723788,0.0,259.0,60.25,111.97544373656217,12538.5,0,0,0,1,0,0,0,0,1.0,68.85714285714286,86.33333333333333,55.75,80,0,0,0,0,0,0,3,259,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-35929-6,10.42.0.211,35929,198.105.244.11,80,6,08/07/2017 10:11:35,144,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,13888.888888888889,144.0,0.0,144.0,144.0,144.0,144.0,0.0,144.0,144.0,0,0,0,0,0,0,0,0,0,40,0,13888.888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-41983-80-6,10.42.0.211,41983,36.110.213.49,80,6,08/07/2017 10:11:35,531242,3,4,365.0,376.0,365.0,0.0,121.66666666666667,210.73284825421342,376.0,0.0,94.0,187.99999999999997,1394.844534129455,13.176669013368672,88540.33333333333,125769.15306968821,259134.0,15.0,289689.0,144844.5,197006.31319960282,284149.0,5540.0,272108.0,90702.66666666666,157049.66624075753,272048.0,15.0,0,0,0,0,80,92,5.647143862872288,7.529525150496384,0.0,376.0,92.625,171.53336826568594,29423.69642857143,0,0,0,1,0,0,0,0,1.0,105.85714285714286,121.66666666666667,94.0,80,0,0,0,0,0,0,3,365,4,376,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
