Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.238-10.42.0.42-443-48459-6,10.42.0.42,48459,172.217.9.238,443,6,08/07/2017 06:47:00,36696,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.50185306300414,36696.0,0.0,36696.0,36696.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.25092653150207,27.25092653150207,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.66.82.58-54595-80-6,10.42.0.42,54595,52.66.82.58,80,6,08/07/2017 06:47:03,5755530,4,4,361.0,739.0,361.0,0.0,90.25,180.5,739.0,0.0,184.75,369.5,191.12053972440418,1.3899675616320304,822218.5714285714,1826174.6559022274,4960760.0,43691.0,794770.0,264923.3333333333,116500.94373151375,352802.0,132777.0,5542327.0,1847442.3333333333,2742613.150063336,5004451.0,52376.0,0,0,0,0,136,136,0.6949837808160152,0.6949837808160152,0.0,739.0,122.22222222222224,260.2877147397557,67749.69444444444,0,0,0,1,0,0,0,0,1.0,137.5,90.25,184.75,136,0,0,0,0,0,0,4,361,4,739,65535,219,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.15.4.19-54891-80-6,10.42.0.42,54891,23.15.4.19,80,6,08/07/2017 06:47:10,15301,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.71041108424285,15301.0,0.0,15301.0,15301.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,65.35520554212142,65.35520554212142,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4491,939,0,32,0,0,0,0,0,0,0,0,BENIGN
191.239.8.125-10.42.0.42-443-57230-6,10.42.0.42,57230,191.239.8.125,443,6,08/07/2017 06:47:06,7225006,12,7,1391.0,4224.0,885.0,0.0,115.91666666666667,255.45946425761542,1448.0,0.0,603.4285714285714,632.8685638010622,777.1619843637501,2.629755601587044,401389.2222222223,888234.2186492025,3462109.0,8.0,7225006.0,656818.7272727272,1077186.8143455982,3462109.0,8.0,5155322.0,859220.3333333334,1392888.0746203074,3602903.0,11.0,0,0,0,0,392,232,1.660898274686554,0.9688573269004899,0.0,1448.0,280.75000000000006,473.2141915165179,223931.67105263163,0,0,0,1,0,0,0,0,0.0,295.5263157894737,115.91666666666667,603.4285714285714,392,0,0,0,0,0,0,12,1391,7,4224,65535,510,4,32,0,0,0,0,0,0,0,0,BENIGN
191.239.8.125-10.42.0.42-443-57230-6,191.239.8.125,443,10.42.0.42,57230,6,08/07/2017 06:47:13,42996,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,46.51595497255559,42996.0,0.0,42996.0,42996.0,42996.0,42996.0,0.0,42996.0,42996.0,0,0,0,0,0,0,0,0,0,64,0,46.51595497255559,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.99.113.163-60507-443-6,10.42.0.42,60507,23.99.113.163,443,6,08/07/2017 06:47:07,6046894,11,6,1438.0,4026.0,917.0,0.0,130.72727272727275,274.8105132301495,1448.0,0.0,671.0,645.7268772476488,903.6043959097018,2.8113606754145186,377930.875,580703.7697296703,1982774.0,10.0,6046894.0,604689.4,641427.6012602582,1982774.0,775.0,4667353.0,933470.6,982033.0896817073,2222498.0,10.0,0,0,0,0,360,200,1.8191157311505708,0.9922449442639477,0.0,1448.0,303.55555555555554,489.3470105477565,239460.49673202613,0,0,0,1,0,0,0,0,0.0,321.4117647058824,130.72727272727272,671.0,360,0,0,0,0,0,0,11,1438,6,4026,65535,510,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.99.113.163-60507-443-6,23.99.113.163,443,10.42.0.42,60507,6,08/07/2017 06:47:14,110210,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,18.14717357771527,110210.0,0.0,110210.0,110210.0,110210.0,110210.0,0.0,110210.0,110210.0,0,0,0,0,0,0,0,0,0,64,0,18.14717357771527,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,509,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
150.129.146.122-10.42.0.42-80-49024-6,10.42.0.42,49024,150.129.146.122,80,6,08/07/2017 06:47:13,1897571,3,4,440.0,654.0,440.0,0.0,146.66666666666666,254.03411844343532,654.0,0.0,163.5,327.0,576.5265173213545,3.688926527650349,316261.8333333334,542244.1488843994,1397234.0,30.0,261279.0,130639.5,175958.57275080404,255061.0,6218.0,1651068.0,550356.0,744313.153808261,1397234.0,30.0,0,0,0,0,104,136,1.5809685118501495,2.1079580158001994,0.0,654.0,136.75,259.59074933991224,67387.35714285713,0,0,0,1,0,0,0,0,1.0,156.28571428571428,146.66666666666666,163.5,104,0,0,0,0,0,0,3,440,4,654,65535,54,1,32,0,0,0,0,0,0,0,0,BENIGN
150.129.146.122-10.42.0.42-80-49024-6,10.42.0.42,49024,150.129.146.122,80,6,08/07/2017 06:47:15,880,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2272.7272727272725,880.0,0.0,880.0,880.0,880.0,880.0,0.0,880.0,880.0,0,0,0,0,0,0,0,0,0,64,0,2272.7272727272725,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1390,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-56221-443-6,10.42.0.42,56221,13.107.3.128,443,6,08/07/2017 06:47:11,5961862,17,22,1552.0,21409.0,1045.0,0.0,91.29411764705883,255.76130588545894,1448.0,0.0,973.1363636363636,637.3624442037553,3851.3135661308497,6.541580465968518,156891.1052631579,730641.0087403182,4487859.0,3.0,5961862.0,372616.375,1109909.3802229008,4487859.0,3.0,5814334.0,276873.04761904763,988392.2293335514,4529952.0,4.0,0,0,0,0,552,712,2.8514581518324307,3.690122314136087,0.0,1448.0,574.025,667.4261118233163,445457.6147435899,0,0,0,1,0,0,0,0,1.0,588.7435897435897,91.29411764705883,973.1363636363636,552,0,0,0,0,0,0,17,1552,22,21409,65535,1024,4,32,0,0,0,0,0,0,0,0,BENIGN
