Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.46-10.42.0.42-443-58240-6,10.42.0.42,58240,172.217.11.46,443,6,08/07/2017 07:33:28,36763,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.6290291869543,81.6037864156897,18381.5,25538.575616114536,36440.0,323.0,0,0,0,0,0,323.0,323.0,0.0,323.0,323.0,1,0,0,0,32,64,27.20126213856323,54.40252427712646,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.42-443-40135-6,10.42.0.42,40135,172.217.11.46,443,6,08/07/2017 07:33:30,37292,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,616.75426364904,53.630805534699135,37292.0,0.0,37292.0,37292.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.815402767349568,26.815402767349568,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,490,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-39493-6,10.42.0.42,39493,172.217.11.42,443,6,08/07/2017 07:33:32,36674,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,845.2854883568741,81.80182145389104,18337.0,25556.2532856442,36408.0,266.0,0,0,0,0,0,266.0,266.0,0.0,266.0,266.0,1,0,0,0,32,64,27.26727381796368,54.53454763592736,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.42-443-51253-6,10.42.0.42,51253,172.217.11.46,443,6,08/07/2017 07:33:33,37741,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,609.4168146048065,52.992766487374475,37741.0,0.0,37741.0,37741.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.496383243687237,26.496383243687237,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.23.227.23-54274-443-6,23.23.227.23,443,10.42.0.42,54274,6,08/07/2017 07:33:32,5006258,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.192249780175133,0.5992499787266258,2503129.0,3534166.3614179227,5002162.0,4096.0,5006258.0,5006258.0,0.0,5006258.0,5006258.0,0,0,0,0,0,1,0,0,0,64,32,0.39949998581775054,0.19974999290887527,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,126,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-107.22.226.203-49208-443-6,107.22.226.203,443,10.42.0.42,49208,6,08/07/2017 07:33:32,5013941,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.182761225152031,0.5983317314663256,2506970.5,3381692.2190838866,4898188.0,115753.0,5013941.0,5013941.0,0.0,5013941.0,5013941.0,0,0,0,0,0,1,0,0,0,64,32,0.3988878209775504,0.1994439104887752,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.97-10.42.0.42-443-39134-6,10.42.0.42,39134,172.217.3.97,443,6,08/07/2017 07:33:37,839637,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.38198173734602,839637.0,0.0,839637.0,839637.0,839637.0,839637.0,0.0,839637.0,839637.0,0,0,0,0,0,0,0,0,0,64,0,2.38198173734602,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.33-10.42.0.42-443-57163-6,10.42.0.42,57163,172.217.11.33,443,6,08/07/2017 07:33:37,839958,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.3810714345241073,839958.0,0.0,839958.0,839958.0,839958.0,839958.0,0.0,839958.0,839958.0,0,0,0,0,0,0,0,0,0,64,0,2.3810714345241073,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.161-10.42.0.42-443-48643-6,10.42.0.42,48643,172.217.12.161,443,6,08/07/2017 07:33:37,839900,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.381235861412073,839900.0,0.0,839900.0,839900.0,839900.0,839900.0,0.0,839900.0,839900.0,0,0,0,0,0,0,0,0,0,64,0,2.381235861412073,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.33-10.42.0.42-443-51971-6,10.42.0.42,51971,172.217.10.33,443,6,08/07/2017 07:33:37,839283,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.3829864300837738,839283.0,0.0,839283.0,839283.0,839283.0,839283.0,0.0,839283.0,839283.0,0,0,0,0,0,0,0,0,0,64,0,2.3829864300837738,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
