Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
169.55.67.241-10.42.0.42-80-39667-6,10.42.0.42,39667,169.55.67.241,80,6,08/07/2017 08:44:18,10088675,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956052207053949,2522168.75,4985899.466183434,1.0000967E7,3209.0,45433.0,45433.0,0.0,45433.0,45433.0,1.0046451E7,5023225.5,7039589.539287394,1.0000967E7,45484.0,0,0,0,0,72,104,0.19824208828215795,0.2973631324232369,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,3,0,65535,514,0,32,0,0,0,0,0,0,0,0,BENIGN
169.55.67.241-10.42.0.42-80-39667-6,10.42.0.42,39667,169.55.67.241,80,6,08/07/2017 08:44:28,5384,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,371.4710252600297,5384.0,0.0,5384.0,5384.0,5384.0,5384.0,0.0,5384.0,5384.0,0,0,0,0,0,0,0,0,0,64,0,371.4710252600297,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,08/07/2017 08:42:28,111547839,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.16136574371467655,6561637.588235294,8063062.743465235,2.2270139E7,14.0,1.11547839E8,6561637.588235294,8063062.743465235,2.2270139E7,14.0,0,0,0,0,0,0,0,0,0,0,0,0.16136574371467655,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,18,0,0,0,-1,-1,0,0,40422.25,73370.24758374473,207262.0,14.0,1.3879572E7,5743542.711254862,2.2270139E7,6459857.0,BENIGN
10.42.0.42-72.51.26.219-49969-80-6,10.42.0.42,49969,72.51.26.219,80,6,08/07/2017 08:44:48,497320,29,46,263.0,59988.0,263.0,0.0,9.068965517241379,48.837873940564634,1448.0,0.0,1304.0869565217395,420.10436936482853,121151.37135043835,150.80833266307408,6720.540540540541,20210.148546687025,75241.0,3.0,424415.0,15157.678571428569,31402.75802236765,84070.0,6.0,422133.0,9380.733333333337,26310.90047299788,92704.0,3.0,0,0,0,0,936,1484,58.312555296388645,92.49577736668543,0.0,1448.0,792.7763157894738,716.2412740352087,513001.56263157894,0,0,0,1,0,0,0,0,1.0,803.3466666666667,9.068965517241379,1304.0869565217392,936,0,0,0,0,0,0,29,263,46,59988,65535,1160,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-72.51.26.219-49969-80-6,10.42.0.42,49969,72.51.26.219,80,6,08/07/2017 08:44:48,3433,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1456.4520827264785,858.25,1517.3820382487727,3132.0,39.0,3433.0,858.25,1517.3820382487727,3132.0,39.0,0,0,0,0,0,0,0,0,0,160,0,1456.4520827264785,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,160,0,0,0,0,0,0,5,0,0,0,3105,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.1-10.42.0.42-53-21421-17,10.42.0.42,21421,10.42.0.1,53,17,08/07/2017 08:42:37,1305,1,1,40.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,0.0,61302.681992337166,1532.5670498084291,1305.0,0.0,1305.0,1305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,766.2835249042146,766.2835249042146,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,60.0,40.0,40.0,40,0,0,0,0,0,0,1,40,1,40,-1,-1,0,40,0,0,0,0,0,0,0,0,BENIGN
10.42.0.1-10.42.0.42-53-45291-17,10.42.0.42,45291,10.42.0.1,53,17,08/07/2017 08:42:40,1140,1,1,36.0,36.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,63157.89473684211,1754.3859649122808,1140.0,0.0,1140.0,1140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,877.1929824561404,877.1929824561404,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,54.0,36.0,36.0,40,0,0,0,0,0,0,1,36,1,36,-1,-1,0,40,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.3-52999-443-6,31.13.71.3,443,10.42.0.42,52999,6,08/07/2017 08:44:59,204,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,151960.78431372548,9803.921568627451,204.0,0.0,204.0,204.0,204.0,204.0,0.0,204.0,204.0,0,0,0,0,0,1,0,0,0,64,0,9803.921568627451,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,122,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-43094-443-6,10.42.0.42,43094,31.13.71.37,443,6,08/07/2017 08:44:28,65190361,10,12,1401.0,4265.0,1053.0,0.0,140.1,330.6207797462223,1398.0,0.0,355.4166666666667,535.3570530425692,86.91468973457594,0.33747320405235987,3104302.904761905,1.4127783125250295E7,6.4762714E7,11.0,427625.0,47513.88888888889,68248.79974667035,225724.0,1486.0,6.5160589E7,5923689.90909091,1.9515766356607076E7,6.476566E7,11.0,0,0,0,0,328,392,0.15339691093289085,0.18407629311946902,0.0,1398.0,246.34782608695647,449.888633562458,202399.7826086956,0,0,0,1,0,0,0,0,1.0,257.54545454545456,140.1,355.4166666666667,328,0,0,0,0,0,0,10,1401,12,4265,65535,122,4,32,427625.0,0.0,427625.0,427625.0,6.4762714E7,0.0,6.4762714E7,6.4762714E7,BENIGN
10.42.0.42-31.13.71.37-43094-443-6,10.42.0.42,43094,31.13.71.37,443,6,08/07/2017 08:45:33,646,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,65015.47987616099,4643.962848297214,323.0,4.242640687119285,326.0,320.0,646.0,323.0,4.242640687119285,326.0,320.0,0,0,0,0,0,0,0,0,0,96,0,4643.962848297214,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1591,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
