Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.110-10.42.0.42-443-53679-6,10.42.0.42,53679,172.217.10.110,443,6,08/07/2017 09:29:25,36994,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.7224414769963,54.06282099799968,36994.0,0.0,36994.0,36994.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.03141049899984,27.03141049899984,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.42-443-49495-6,10.42.0.42,49495,172.217.10.110,443,6,08/07/2017 09:29:26,37141,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.261732317385,53.848846288468266,37141.0,0.0,37141.0,37141.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.924423144234133,26.924423144234133,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-57939-6,10.42.0.42,57939,172.217.12.202,443,6,08/07/2017 09:29:31,36917,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.17558306471274,36917.0,0.0,36917.0,36917.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.08779153235637,27.08779153235637,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.73.238.193-46892-443-6,10.42.0.42,46892,52.73.238.193,443,6,08/07/2017 09:29:32,822,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,37712.89537712895,2433.0900243309,822.0,0.0,822.0,822.0,822.0,822.0,0.0,822.0,822.0,0,0,0,0,0,1,0,0,0,64,0,2433.0900243309,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.73.238.193-46892-443-6,52.73.238.193,443,10.42.0.42,46892,6,08/07/2017 09:29:32,434,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,71428.57142857143,6912.442396313364,217.0,295.57063453597686,426.0,8.0,434.0,217.0,295.57063453597686,426.0,8.0,0,0,0,0,0,0,0,0,0,96,0,6912.442396313364,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,126,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-56599-6,10.42.0.42,56599,172.217.12.202,443,6,08/07/2017 09:29:32,37060,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.96654074473826,37060.0,0.0,37060.0,37060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.98327037236913,26.98327037236913,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4487,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.42-443-33390-6,10.42.0.42,33390,172.217.10.110,443,6,08/07/2017 09:29:35,37131,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.4285098704587,80.79502302658157,18565.5,25904.856928769168,36883.0,248.0,0,0,0,0,0,248.0,248.0,0.0,248.0,248.0,1,0,0,0,32,64,26.931674342193855,53.86334868438771,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1503,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.42-443-48418-6,10.42.0.42,48418,172.217.10.110,443,6,08/07/2017 09:29:44,37201,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.2629499207011,53.761995645278354,37201.0,0.0,37201.0,37201.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.880997822639177,26.880997822639177,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,490,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.244.43.227-44789-443-6,10.42.0.42,44789,104.244.43.227,443,6,08/07/2017 09:29:35,10305464,14,24,794.0,27829.0,470.0,0.0,56.714285714285715,133.28652108633005,1448.0,0.0,1159.5416666666667,522.0704582772302,2777.458637476197,3.687364295290343,278526.054054054,1647218.2775420363,1.0027047E7,4.0,278390.0,21414.615384615383,22527.70523355061,63719.0,45.0,1.0281176E7,447007.65217391297,2091294.5097934091,1.00396E7,4.0,0,0,0,0,456,776,1.3585026351069684,2.3288616601833745,0.0,1448.0,733.9230769230769,684.539967869909,468594.9676113361,0,0,0,1,0,0,0,0,1.0,753.2368421052631,56.714285714285715,1159.5416666666667,456,0,0,0,0,0,0,14,794,24,27829,65535,61,3,32,278390.0,0.0,278390.0,278390.0,1.0027047E7,0.0,1.0027047E7,1.0027047E7,BENIGN
10.42.0.42-104.244.43.227-44790-443-6,10.42.0.42,44790,104.244.43.227,443,6,08/07/2017 09:29:35,10307541,11,9,794.0,5835.0,470.0,0.0,72.18181818181819,147.87414796496253,1448.0,0.0,648.3333333333334,696.8780381099695,643.1213807444472,1.9403269897252893,542502.157894737,2309302.3005707026,1.007842E7,5.0,229098.0,22909.8,26168.723735703188,73647.0,62.0,1.0284011E7,1285501.375,3555643.997060084,1.0084572E7,5.0,0,0,0,0,360,296,1.0671798443489091,0.8731471453763803,0.0,1448.0,315.66666666666663,540.9049207886108,292578.1333333333,0,0,0,1,0,0,0,0,0.0,331.45,72.18181818181819,648.3333333333334,360,0,0,0,0,0,0,11,794,9,5835,65535,61,3,32,229098.0,0.0,229098.0,229098.0,1.007842E7,0.0,1.007842E7,1.007842E7,BENIGN
