Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-64.94.107.12-42176-443-6,10.42.0.42,42176,64.94.107.12,443,6,08/07/2017 02:00:11,121620,7,6,1436.0,425.0,930.0,0.0,205.14285714285714,335.7660041216346,280.0,0.0,70.83333333333334,117.74619597535484,15301.759579016609,106.8903140930768,10134.999999999998,14794.480328210862,35403.0,228.0,84265.0,14044.166666666668,20103.83634450566,40794.0,228.0,86334.0,17266.8,21657.67594179948,42757.0,739.0,0,0,0,0,160,132,57.55632297319519,49.333991119881595,0.0,930.0,132.92857142857142,251.6198183113424,63312.532967032974,0,0,0,1,0,0,0,0,0.0,143.15384615384616,205.14285714285714,70.83333333333333,160,0,0,0,0,0,0,7,1436,6,425,65535,146,4,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-64.94.107.12-50180-443-6,10.42.0.42,50180,64.94.107.12,443,6,08/07/2017 02:00:11,550222,9,8,1091.0,3409.0,510.0,0.0,121.22222222222223,175.7980217307477,1460.0,0.0,426.125,645.4793207930279,8178.51703494226,30.89661990978187,34388.875,88773.78999147215,362256.0,11.0,508667.0,63583.37500000001,122299.76268980306,362256.0,287.0,514601.0,73514.42857142857,147124.11712887994,403294.0,11.0,0,0,0,0,200,172,16.35703406988452,14.53958583989735,0.0,1460.0,250.0,461.688588705825,213156.35294117645,0,0,0,1,0,0,0,0,0.0,264.70588235294116,121.22222222222223,426.125,200,0,0,0,0,0,0,9,1091,8,3409,65535,140,4,20,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-55262-6,10.42.0.42,55262,172.217.9.238,443,6,08/07/2017 02:00:15,36965,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.2101988367375,54.105234681455435,36965.0,0.0,36965.0,36965.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.052617340727718,27.052617340727718,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-64.94.107.12-42176-443-6,10.42.0.42,42176,64.94.107.12,443,6,08/07/2017 02:00:11,5400409,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,5.740305965714819,0.5555134805530471,2700204.5,3818610.6707519293,5400370.0,39.0,5400409.0,2700204.5,3818610.6707519293,5400370.0,39.0,0,0,0,0,0,0,0,0,0,60,0,0.5555134805530471,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,60,0,0,0,0,0,0,3,31,0,0,1403,-1,1,20,0,0,0,0,5400370.0,0.0,5400370.0,5400370.0,BENIGN
10.42.0.42-64.94.107.12-50180-443-6,10.42.0.42,50180,64.94.107.12,443,6,08/07/2017 02:00:12,4608531,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,6.726655413623126,0.6509666529312703,2304265.5,3258683.9234286747,4608503.0,28.0,4608531.0,2304265.5,3258683.9234286747,4608503.0,28.0,0,0,0,0,0,0,0,0,0,60,0,0.6509666529312703,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,60,0,0,0,0,0,0,3,31,0,0,1552,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-34837-6,10.42.0.42,34837,172.217.9.238,443,6,08/07/2017 02:00:17,36841,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.3044434190169,54.28734290600147,36841.0,0.0,36841.0,36841.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.143671453000735,27.143671453000735,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1487,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-36478-6,10.42.0.42,36478,172.217.9.238,443,6,08/07/2017 02:00:18,37060,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.61521856449,53.96654074473826,37060.0,0.0,37060.0,37060.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.98327037236913,26.98327037236913,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1638,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-42784-6,10.42.0.42,42784,172.217.12.170,443,6,08/07/2017 02:00:20,36625,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,846.4163822525597,81.91126279863482,18312.5,25858.187881210855,36597.0,28.0,0,0,0,0,0,28.0,28.0,0.0,28.0,28.0,1,0,0,0,32,64,27.303754266211605,54.60750853242321,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2830,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-60600-6,10.42.0.42,60600,172.217.12.170,443,6,08/07/2017 02:00:22,36596,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.65078150617554,36596.0,0.0,36596.0,36596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.32539075308777,27.32539075308777,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-43526-443-6,31.13.71.37,443,10.42.0.42,43526,6,08/07/2017 02:00:23,29,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1448275.8620689656,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
