Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.3.106-10.42.0.42-443-48215-6,10.42.0.42,48215,172.217.3.106,443,6,08/07/2017 07:06:27,36848,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27702996092054,36848.0,0.0,36848.0,36848.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.13851498046027,27.13851498046027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4442,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.246.139.143-33669-443-6,10.42.0.42,33669,54.246.139.143,443,6,08/07/2017 07:06:26,800519,11,7,1648.0,3624.0,1237.0,0.0,149.8181818181818,369.40785540695214,1448.0,0.0,517.7142857142857,654.9042459998037,6585.727509278356,22.485412588583156,47089.352941176476,56548.46839431327,185923.0,7.0,800519.0,80051.9,79922.35539495677,202153.0,33.0,622118.0,103686.33333333333,149936.0695118645,386773.0,7.0,0,0,0,0,360,232,13.741085470800819,8.744327117782339,0.0,1448.0,277.4736842105264,505.43022030972696,255459.70760233913,0,0,0,1,0,0,0,0,0.0,292.8888888888889,149.8181818181818,517.7142857142857,360,0,0,0,0,0,0,11,1648,7,3624,65535,128,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.246.139.143-33669-443-6,54.246.139.143,443,10.42.0.42,33669,6,08/07/2017 07:06:27,29,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1068965.5172413792,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,128,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-50.19.227.71-49106-443-6,50.19.227.71,443,10.42.0.42,49106,6,08/07/2017 07:06:23,5007928,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.1901848429130775,0.5990501460883624,2503964.0,3340272.025162322,4865893.0,142035.0,5007928.0,5007928.0,0.0,5007928.0,5007928.0,0,0,0,0,0,1,0,0,0,64,32,0.3993667640589082,0.1996833820294541,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.23.114.160-44176-443-6,23.23.114.160,443,10.42.0.42,44176,6,08/07/2017 07:06:23,5007787,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.190359134683643,0.599067013033901,2503893.5,3538012.3152007964,5005646.0,2141.0,5007787.0,5007787.0,0.0,5007787.0,5007787.0,0,0,0,0,0,1,0,0,0,64,32,0.3993780086892673,0.19968900434463366,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-41070-6,10.42.0.42,41070,172.217.12.142,443,6,08/07/2017 07:06:29,36614,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.1750150215764,54.6239143497023,36614.0,0.0,36614.0,36614.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.31195717485115,27.31195717485115,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.22.64.112-45676-80-6,23.22.64.112,80,10.42.0.42,45676,6,08/07/2017 07:06:27,4849692,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6185959850646185,2424846.0,3365623.2174814222,4804701.0,44991.0,0,0,0,0,0,4804701.0,4804701.0,0.0,4804701.0,4804701.0,0,0,0,0,32,64,0.20619866168820616,0.41239732337641233,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,75,3586,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.22.64.112-33125-80-6,23.22.64.112,80,10.42.0.42,33125,6,08/07/2017 07:06:29,2851631,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0520295227538206,1425815.5,1965962.6197719274,2815961.0,35670.0,0,0,0,0,0,2815961.0,2815961.0,0.0,2815961.0,2815961.0,0,0,0,0,32,64,0.3506765075846069,0.7013530151692138,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,75,1386,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-54572-6,10.42.0.42,54572,172.217.12.142,443,6,08/07/2017 07:06:33,36785,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.2548593176567,54.36998776675276,36785.0,0.0,36785.0,36785.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.18499388337638,27.18499388337638,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.131-10.42.0.42-80-33990-6,10.42.0.42,33990,172.217.10.131,80,6,08/07/2017 07:06:28,43799035,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0913262130090309,1.4599678333333334E7,2.5134415972905606E7,4.3622342E7,37243.0,4.3799035E7,2.18995175E7,3.072071302095055E7,4.3622342E7,176693.0,0,0,0,0,0,0,0,0,0,104,40,0.06849465975677317,0.022831553252257726,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,42408,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-98.139.180.180-35766-443-6,10.42.0.42,35766,98.139.180.180,443,6,08/07/2017 07:07:12,5515477,9,9,326.0,5024.0,200.0,0.0,36.22222222222222,74.2188954676937,1460.0,0.0,558.2222222222222,642.8290553828789,969.9976992017191,3.263543660865597,324439.82352941175,1301400.1114793268,5374383.0,5.0,141089.0,17636.125,23811.21173155621,66287.0,57.0,5490451.0,686306.375,1910703.6142674126,5414889.0,5.0,0,0,0,0,200,192,1.6317718304327986,1.6317718304327986,0.0,1460.0,281.57894736842104,508.79872857430615,258876.14619883045,0,0,0,1,0,0,0,0,1.0,297.22222222222223,36.22222222222222,558.2222222222222,200,0,0,0,0,0,0,9,326,9,5024,65535,62,2,20,141089.0,0.0,141089.0,141089.0,5374383.0,0.0,5374383.0,5374383.0,BENIGN
10.42.0.42-31.13.71.3-35425-443-6,10.42.0.42,35425,31.13.71.3,443,6,08/07/2017 07:07:20,129302,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,239.7488051228906,30.935329693276206,43100.66666666667,37520.3825851141,68694.0,30.0,0,0,0,0,0,60608.0,30304.0,42813.90138728308,60578.0,30.0,0,0,0,0,32,96,7.733832423319051,23.201497269957155,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,1,0,0,3.0,7.75,0.0,10.333333333333334,32,0,0,0,0,0,0,1,0,3,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-42450-6,10.42.0.42,42450,157.240.2.20,443,6,08/07/2017 07:07:20,241726,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.273830700876198,241726.0,0.0,241726.0,241726.0,241726.0,241726.0,0.0,241726.0,241726.0,0,0,0,0,0,0,0,0,0,64,0,8.273830700876198,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.69.197-39216-443-6,10.42.0.42,39216,31.13.69.197,443,6,08/07/2017 07:07:20,326057,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6.13389683398915,326057.0,0.0,326057.0,326057.0,326057.0,326057.0,0.0,326057.0,326057.0,0,0,0,0,0,0,0,0,0,64,0,6.13389683398915,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-42450-6,10.42.0.42,42450,157.240.2.20,443,6,08/07/2017 07:07:21,955820,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0924441840513905,955820.0,0.0,955820.0,955820.0,955820.0,955820.0,0.0,955820.0,955820.0,0,0,0,0,0,0,0,0,0,64,0,2.0924441840513905,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-98.139.180.149-43221-80-6,10.42.0.42,43221,98.139.180.149,80,6,08/07/2017 07:07:12,10108573,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3957037259363908,3369524.3333333335,5810850.808718318,1.0079306E7,4164.0,1.0108573E7,5054286.5,7106450.728089269,1.0079306E7,29267.0,0,0,0,0,0,0,0,0,0,80,32,0.29677779445229313,0.0989259314840977,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,8192,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.69.197-39216-443-6,10.42.0.42,39216,31.13.69.197,443,6,08/07/2017 07:07:21,1347568,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.4841551595169964,1347568.0,0.0,1347568.0,1347568.0,1347568.0,1347568.0,0.0,1347568.0,1347568.0,0,0,0,0,0,0,0,0,0,64,0,1.4841551595169964,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-63.250.200.101-45638-443-6,10.42.0.42,45638,63.250.200.101,443,6,08/07/2017 07:07:22,246313,9,10,1278.0,4686.0,943.0,0.0,142.0,309.70348722608855,1448.0,0.0,468.59999999999997,631.8999920873555,24213.09472094449,77.13762570388083,13684.055555555553,21505.949547460314,87215.0,5.0,220014.0,27501.75,32214.21365861438,87215.0,5.0,220877.0,24541.888888888887,40400.540870279336,115884.0,9.0,0,0,0,0,296,328,36.53887533341724,40.5987503704636,0.0,1448.0,298.20000000000005,510.9268770423127,261046.2736842105,0,0,0,1,0,0,0,0,1.0,313.89473684210526,142.0,468.6,296,0,0,0,0,0,0,9,1278,10,4686,65535,3840,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-63.250.200.41-53158-443-6,10.42.0.42,53158,63.250.200.41,443,6,08/07/2017 07:07:13,10204833,8,7,329.0,4980.0,203.0,0.0,41.125,78.88044751394352,1448.0,0.0,711.4285714285714,650.3421809947071,520.2436923759556,1.469891765989703,728916.6428571428,2683399.0537905637,1.0051916E7,10.0,1.0204833E7,1457833.285714286,3789682.651978778,1.0051916E7,697.0,124959.0,20826.5,35103.26209770254,89083.0,10.0,0,0,0,0,264,232,0.7839422751945083,0.6859494907951947,0.0,1448.0,331.8125,540.1281599460137,291738.4291666666,0,0,0,1,0,0,0,0,0.0,353.93333333333334,41.125,711.4285714285714,264,0,0,0,0,0,0,8,329,7,4980,65535,122,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-76.13.28.70-59285-443-6,10.42.0.42,59285,76.13.28.70,443,6,08/07/2017 07:07:13,10235154,10,7,335.0,4867.0,209.0,0.0,33.5,73.28369532167439,1448.0,0.0,695.2857142857143,654.6675273973588,508.2483370548211,1.6609422779569316,639697.125,2522344.5400952892,1.0098377E7,5.0,1.0235154E7,1137239.3333333333,3360460.9030681713,1.0098377E7,5.0,109381.0,18230.166666666668,28185.203440221372,70362.0,11.0,0,0,0,0,328,232,0.9770248693864304,0.6839174085705012,0.0,1448.0,289.0,515.1625671457849,265392.4705882353,0,0,0,1,0,0,0,0,0.0,306.0,33.5,695.2857142857143,328,0,0,0,0,0,0,10,335,7,4867,65535,61,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.84.135.137-55449-443-6,10.42.0.42,55449,52.84.135.137,443,6,08/07/2017 07:07:13,10207590,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5877979033248788,2041518.0,4017120.4386878298,9186919.0,1928.0,1.020759E7,3402530.0,5032940.558862284,9186919.0,24410.0,995915.0,995915.0,0.0,995915.0,995915.0,0,0,0,0,148,80,0.39186526888325257,0.19593263444162629,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,148,0,0,0,0,0,0,4,0,2,0,65535,28960,0,32,0,0,0,0,0,0,0,0,BENIGN
162.208.20.178-10.42.0.42-443-59209-6,10.42.0.42,59209,162.208.20.178,443,6,08/07/2017 07:07:13,10668414,8,6,329.0,3760.0,203.0,0.0,41.125,78.88044751394352,1460.0,0.0,626.6666666666666,680.0325482406462,383.2809637871196,1.3122850313083088,820647.2307692308,2841084.934594886,1.0275517E7,5.0,1.0668414E7,1524059.1428571427,3859319.056092772,1.0275517E7,7.0,264409.0,52881.8,75074.49057236419,164980.0,5.0,0,0,0,0,180,132,0.749877160747605,0.5624078705607037,0.0,1460.0,272.59999999999997,507.86047015184903,257922.25714285715,0,0,0,1,0,0,0,0,0.0,292.07142857142856,41.125,626.6666666666666,180,0,0,0,0,0,0,8,329,6,3760,65535,60,2,20,0,0,0,0,0,0,0,0,BENIGN
