Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.234-10.42.0.42-443-38498-6,10.42.0.42,38498,172.217.6.234,443,6,08/07/2017 08:13:08,37304,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.613553506326404,37304.0,0.0,37304.0,37304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.806776753163202,26.806776753163202,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1681,377,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-58334-443-6,31.13.71.37,443,10.42.0.42,58334,6,08/07/2017 08:13:08,29,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1448275.8620689656,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-58334-443-6,31.13.71.37,443,10.42.0.42,58334,6,08/07/2017 08:13:08,90706,2,3,42.0,42.0,42.0,0.0,21.0,29.698484809834994,42.0,0.0,14.0,24.24871130596428,926.0688377836086,55.12314510616718,22676.5,44823.672387850296,89912.0,234.0,90706.0,90706.0,0.0,90706.0,90706.0,560.0,280.0,11.313708498984761,288.0,272.0,0,0,0,0,64,108,22.04925804246687,33.07388706370031,0.0,42.0,14.0,21.688706738761535,470.4,0,0,0,0,1,1,0,0,1.0,16.8,21.0,14.0,64,0,0,0,0,0,0,2,42,3,42,133,1678,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-52665-6,10.42.0.42,52665,172.217.6.234,443,6,08/07/2017 08:13:17,37113,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.88947269150972,37113.0,0.0,37113.0,37113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.94473634575486,26.94473634575486,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4486,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-32784-6,10.42.0.42,32784,172.217.10.78,443,6,08/07/2017 08:13:32,502228,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.982255071401833,502228.0,0.0,502228.0,502228.0,502228.0,502228.0,0.0,502228.0,502228.0,0,0,0,0,0,0,0,0,0,64,0,3.982255071401833,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.42-80-57516-6,10.42.0.42,57516,180.149.134.142,80,6,08/07/2017 08:13:32,608429,3,4,398.0,470.0,398.0,0.0,132.66666666666666,229.78540713747105,470.0,0.0,117.5,235.0,1426.6249636358557,11.505040029321416,101404.83333333334,116693.71732945467,236502.0,20.0,372542.0,186271.0,262233.3782301559,371698.0,844.0,371927.0,123975.66666666666,214603.9886030391,371779.0,20.0,0,0,0,0,80,92,4.93073144113775,6.5743085881836665,0.0,470.0,108.5,201.8224113280924,40732.28571428572,0,0,0,1,0,0,0,0,1.0,124.0,132.66666666666666,117.5,80,0,0,0,0,0,0,3,398,4,470,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.42-80-57516-6,10.42.0.42,57516,180.149.134.142,80,6,08/07/2017 08:13:33,17823,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,112.21455422768334,17823.0,0.0,17823.0,17823.0,17823.0,17823.0,0.0,17823.0,17823.0,0,0,0,0,0,0,0,0,0,40,0,112.21455422768334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-43213-6,10.42.0.42,43213,172.217.11.14,443,6,08/07/2017 08:13:34,36469,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,630.6726260659739,54.841097918780335,36469.0,0.0,36469.0,36469.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.420548959390167,27.420548959390167,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-114.134.80.163-48355-80-6,10.42.0.42,48355,114.134.80.163,80,6,08/07/2017 08:13:34,487635,3,4,414.0,498.0,414.0,0.0,138.0,239.02301144450507,498.0,0.0,124.5,249.0,1870.2513150204559,14.354999128446481,81272.5,124583.446208154,242120.0,29.0,245121.0,122560.5,172833.1607779595,244772.0,349.0,245515.0,81838.33333333334,141380.20962756185,245090.0,29.0,0,0,0,0,80,92,6.1521424836199206,8.20285664482656,0.0,498.0,114.0,212.27744648387468,45061.71428571428,0,0,0,1,0,0,0,0,1.0,130.28571428571428,138.0,124.5,80,0,0,0,0,0,0,3,414,4,498,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-114.134.80.163-48355-80-6,10.42.0.42,48355,114.134.80.163,80,6,08/07/2017 08:13:34,31800,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,62.893081761006286,31800.0,0.0,31800.0,31800.0,31800.0,31800.0,0.0,31800.0,31800.0,0,0,0,0,0,0,0,0,0,40,0,62.893081761006286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
