Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.138-10.42.0.42-443-37624-6,10.42.0.42,37624,172.217.12.138,443,6,08/07/2017 10:27:09,36852,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.271138608488,36852.0,0.0,36852.0,36852.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.135569304244,27.135569304244,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-59347-6,10.42.0.42,59347,172.217.12.138,443,6,08/07/2017 10:27:14,37133,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.860447580319395,37133.0,0.0,37133.0,37133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.930223790159697,26.930223790159697,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,379,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-72.247.65.110-48469-80-6,10.42.0.42,48469,72.247.65.110,80,6,08/07/2017 10:27:28,24267,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41645032348457,24267.0,0.0,24267.0,24267.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,41.208225161742284,41.208225161742284,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1419,1177,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-60801-6,10.42.0.42,60801,172.217.12.138,443,6,08/07/2017 10:27:28,36642,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58217346214726,36642.0,0.0,36642.0,36642.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.29108673107363,27.29108673107363,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4530,383,0,32,0,0,0,0,0,0,0,0,BENIGN
131.253.61.96-10.42.0.42-443-43022-6,10.42.0.42,43022,131.253.61.96,443,6,08/07/2017 10:27:28,362528,9,12,997.0,13165.0,613.0,0.0,110.77777777777777,205.9282507196243,1448.0,0.0,1097.0833333333333,571.853518805032,39064.568805719835,57.92656015535351,18126.4,24014.83331609861,65934.0,10.0,309990.0,38748.75,25893.163017897765,65934.0,91.0,316300.0,28754.545454545456,43827.78717974166,124024.0,10.0,0,0,0,0,296,392,24.82566863800865,33.10089151734486,0.0,1448.0,643.7272727272727,668.1001622809463,446357.8268398268,0,0,0,1,0,0,0,0,1.0,674.3809523809524,110.77777777777777,1097.0833333333333,296,0,0,0,0,0,0,9,997,12,13165,65535,257,3,32,0,0,0,0,0,0,0,0,BENIGN
131.253.61.96-10.42.0.42-443-43022-6,10.42.0.42,43022,131.253.61.96,443,6,08/07/2017 10:27:29,26590,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,150.43249341857842,8863.333333333334,14833.163867945817,25989.0,63.0,26590.0,8863.333333333334,14833.163867945817,25989.0,63.0,0,0,0,0,0,0,0,0,0,128,0,150.43249341857842,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,128,0,0,0,0,0,0,4,0,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-72.247.65.110-40200-80-6,10.42.0.42,40200,72.247.65.110,80,6,08/07/2017 10:27:30,24721,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.90287609724525,24721.0,0.0,24721.0,24721.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,40.45143804862263,40.45143804862263,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1419,1177,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.201.153.133-58994-443-6,52.201.153.133,443,10.42.0.42,58994,6,08/07/2017 10:27:30,5006004,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.192563969185802,0.599280384114755,2503002.0,3411167.9652576474,4915062.0,90942.0,5006004.0,5006004.0,0.0,5006004.0,5006004.0,0,0,0,0,0,1,0,0,0,64,32,0.3995202560765033,0.19976012803825166,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,79,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.201.153.133-36879-443-6,52.201.153.133,443,10.42.0.42,36879,6,08/07/2017 10:27:30,5006481,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.191973963348707,0.5992232867756814,2503240.5,3411155.9444423676,4915292.0,91189.0,5006481.0,5006481.0,0.0,5006481.0,5006481.0,0,0,0,0,0,1,0,0,0,64,32,0.3994821911837876,0.1997410955918938,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,84,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.42-443-34915-6,10.42.0.42,34915,172.217.12.206,443,6,08/07/2017 10:27:38,36605,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.3294631880891,54.63734462505123,36605.0,0.0,36605.0,36605.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.318672312525614,27.318672312525614,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1470,383,0,32,0,0,0,0,0,0,0,0,BENIGN
