Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.234-10.42.0.151-443-57199-6,10.42.0.151,57199,216.58.219.234,443,6,17/07/2017 09:28:46,36515,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.77201150212242,36515.0,0.0,36515.0,36515.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.38600575106121,27.38600575106121,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-66.198.24.243-42352-80-6,10.42.0.151,42352,66.198.24.243,80,6,17/07/2017 09:28:47,10424854,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3836984191816979,3474951.3333333335,5986700.206325212,1.0387778E7,4397.0,1.0424854E7,5212427.0,7319051.5742411595,1.0387778E7,37076.0,0,0,0,0,0,0,0,0,0,80,32,0.2877738143862734,0.09592460479542447,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-66.198.24.243-42352-80-6,66.198.24.243,80,10.42.0.151,42352,6,17/07/2017 09:28:58,53,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,37735.84905660377,53.0,0.0,53.0,53.0,53.0,53.0,0.0,53.0,53.0,0,0,0,0,0,0,0,0,0,40,0,37735.84905660377,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,29,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-66.231.239.124-34359-80-6,10.42.0.151,34359,66.231.239.124,80,6,17/07/2017 09:28:48,10212316,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3916839236075343,3404105.3333333335,5806226.955972384,1.0108479E7,23603.0,1.0212316E7,5106158.0,7074350.201543743,1.0108479E7,103837.0,0,0,0,0,0,0,0,0,0,80,32,0.29376294270565073,0.09792098090188357,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-66.231.239.124-34359-80-6,66.231.239.124,80,10.42.0.151,34359,6,17/07/2017 09:28:58,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,40,0,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,29,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-46183-6,10.42.0.151,46183,172.217.12.174,443,6,17/07/2017 09:29:00,36920,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.9685807150596,54.17118093174431,36920.0,0.0,36920.0,36920.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.085590465872155,27.085590465872155,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-64.71.142.124-41678-80-6,10.42.0.151,41678,64.71.142.124,80,6,17/07/2017 09:28:52,10574906,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37825395327391087,3524968.6666666665,6017812.058315408,1.0473694E7,28831.0,1.0574906E7,5287453.0,7334452.359935403,1.0473694E7,101212.0,0,0,0,0,0,0,0,0,0,80,32,0.28369046495543315,0.09456348831847772,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-64.71.142.124-41679-80-6,10.42.0.151,41679,64.71.142.124,80,6,17/07/2017 09:28:52,10563664,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37865649645804716,3521221.3333333335,6021155.830840482,1.0473782E7,17689.0,1.0563664E7,5281832.0,7342526.105162991,1.0473782E7,89882.0,0,0,0,0,0,0,0,0,0,80,32,0.28399237234353536,0.09466412411451179,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-64.71.142.124-41679-80-6,64.71.142.124,80,10.42.0.151,41679,6,17/07/2017 09:29:03,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,40,0,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,29,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-54970-6,10.42.0.151,54970,172.217.12.174,443,6,17/07/2017 09:29:05,283416,8,9,1146.0,6026.0,787.0,0.0,143.25,273.95763488956777,1418.0,0.0,669.5555555555555,692.3738352781521,25305.557907810427,59.982499223755894,17713.5,20882.159198703568,58355.0,16.0,224996.0,32142.285714285714,34401.24339668692,81368.0,69.0,246282.0,30785.249999999996,46127.850254173216,101949.0,16.0,0,0,0,0,264,296,28.227058458238066,31.755440765517825,0.0,1418.0,398.44444444444446,579.1314208488252,335393.20261437906,0,0,0,1,0,0,0,0,1.0,421.88235294117646,143.25,669.5555555555555,264,0,0,0,0,0,0,8,1146,9,6026,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
