Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.138-10.42.0.211-443-42153-6,10.42.0.211,42153,172.217.12.138,443,6,21/07/2017 02:59:20,36344,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0297160466652,36344.0,0.0,36344.0,36344.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.5148580233326,27.5148580233326,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4574,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.193-10.42.0.211-443-48266-6,10.42.0.211,48266,172.217.6.193,443,6,21/07/2017 02:59:21,36855,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2667209333876,36855.0,0.0,36855.0,36855.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.1333604666938,27.1333604666938,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.132-10.42.0.211-443-39358-6,10.42.0.211,39358,172.217.10.132,443,6,21/07/2017 02:59:21,36896,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.20641803989593,36896.0,0.0,36896.0,36896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.103209019947965,27.103209019947965,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.211-443-54184-6,10.42.0.211,54184,172.217.12.138,443,6,21/07/2017 02:59:21,36781,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3759006008537,36781.0,0.0,36781.0,36781.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.18795030042685,27.18795030042685,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
131.253.61.100-10.42.0.211-443-56679-6,10.42.0.211,56679,131.253.61.100,443,6,21/07/2017 02:59:22,542274,11,12,1011.0,12230.0,581.0,0.0,91.9090909090909,183.60525839172175,1448.0,0.0,1019.1666666666669,644.6105002012432,24417.545373740948,42.41398259920261,24648.818181818184,39181.530325295294,156196.0,6.0,485640.0,48564.0,58072.86771902272,156196.0,17.0,495835.0,45075.90909090909,77766.4857434802,223391.0,6.0,0,0,0,0,360,392,20.284948199618643,22.129034399583972,0.0,1448.0,551.7083333333334,664.6351388195054,441739.8677536232,0,0,0,1,0,0,0,0,1.0,575.695652173913,91.9090909090909,1019.1666666666666,360,0,0,0,0,0,0,11,1011,12,12230,65535,257,3,32,0,0,0,0,0,0,0,0,BENIGN
131.253.61.100-10.42.0.211-443-56679-6,10.42.0.211,56679,131.253.61.100,443,6,21/07/2017 02:59:23,8728,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,229.14757103574703,8728.0,0.0,8728.0,8728.0,8728.0,8728.0,0.0,8728.0,8728.0,0,0,0,0,0,0,0,0,0,64,0,229.14757103574703,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1731,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-59309-6,10.42.0.211,59309,198.105.244.11,80,6,21/07/2017 02:59:23,71717,3,4,263.0,223.0,263.0,0.0,87.66666666666667,151.84312079687157,223.0,0.0,55.75,111.5,6776.6359440578935,97.6058675070067,11952.833333333334,15832.584077359787,32152.0,12.0,39598.0,19799.0,27352.30450985803,39140.0,458.0,39565.0,13188.333333333332,22790.908984358946,39505.0,12.0,0,0,0,0,80,84,41.83108607443145,55.77478143257526,0.0,263.0,60.75,112.99399478354086,12767.642857142857,0,0,0,1,0,0,0,0,1.0,69.42857142857143,87.66666666666667,55.75,80,0,0,0,0,0,0,3,263,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-59308-6,10.42.0.211,59308,198.105.244.11,80,6,21/07/2017 02:59:23,72012,3,4,263.0,223.0,263.0,0.0,87.66666666666667,151.84312079687157,223.0,0.0,55.75,111.5,6748.875187468755,97.20602121868576,12002.0,15934.301930112912,32392.0,11.0,39775.0,19887.5,27484.533477939916,39322.0,453.0,39620.0,13206.666666666668,22835.649417814537,39575.0,11.0,0,0,0,0,80,84,41.659723379436755,55.54629783924901,0.0,263.0,60.75,112.99399478354086,12767.642857142857,0,0,0,1,0,0,0,0,1.0,69.42857142857143,87.66666666666667,55.75,80,0,0,0,0,0,0,3,263,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-59309-6,10.42.0.211,59309,198.105.244.11,80,6,21/07/2017 02:59:23,666,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3003.003003003003,666.0,0.0,666.0,666.0,666.0,666.0,0.0,666.0,666.0,0,0,0,0,0,0,0,0,0,40,0,3003.003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-59308-6,10.42.0.211,59308,198.105.244.11,80,6,21/07/2017 02:59:23,1727,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1158.0775911986102,1727.0,0.0,1727.0,1727.0,1727.0,1727.0,0.0,1727.0,1727.0,0,0,0,0,0,0,0,0,0,40,0,1158.0775911986102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-58825-443-6,10.42.0.211,58825,74.6.105.9,443,6,21/07/2017 02:59:31,360912,8,9,1866.0,5603.0,1223.0,0.0,233.25,438.12090633913897,1448.0,0.0,622.5555555555555,668.7217491436761,20694.79540719067,47.10289488850468,22556.999999999996,50106.73962918229,206136.0,1.0,333094.0,47584.857142857145,71574.11589727247,206136.0,1250.0,335701.0,41962.625,83522.75978085682,243163.0,1.0,0,0,0,0,264,296,22.16606818282573,24.936826705678946,0.0,1448.0,414.94444444444446,581.3454447605062,337962.52614379075,0,0,0,1,0,0,0,0,1.0,439.3529411764706,233.25,622.5555555555555,264,0,0,0,0,0,0,8,1866,9,5603,65535,141,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-58825-443-6,10.42.0.211,58825,74.6.105.9,443,6,21/07/2017 02:59:32,218,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,142201.83486238532,9174.311926605504,218.0,0.0,218.0,218.0,218.0,218.0,0.0,218.0,218.0,0,0,0,0,0,1,0,0,0,64,0,9174.311926605504,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
