Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-31.13.80.37-44326-443-6,31.13.80.37,443,10.42.0.211,44326,6,21/07/2017 03:19:34,45,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,933333.3333333333,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,135,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.37-44326-443-6,31.13.80.37,443,10.42.0.211,44326,6,21/07/2017 03:19:34,14832,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,2831.715210355987,337.108953613808,3707.9999999999995,6871.825182099246,14014.0,100.0,0,0,0,0,0,818.0,272.6666666666667,154.5358642300658,398.0,100.0,0,0,0,0,32,140,67.4217907227616,269.6871628910464,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,135,1678,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.211-443-41490-6,10.42.0.211,41490,172.217.6.234,443,6,21/07/2017 03:19:37,36690,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.510765876260564,36690.0,0.0,36690.0,36690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.255382938130282,27.255382938130282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-41349-6,10.42.0.211,41349,172.217.3.110,443,6,21/07/2017 03:19:38,36521,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.763013060978615,36521.0,0.0,36521.0,36521.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.381506530489307,27.381506530489307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1824,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-53354-6,10.42.0.211,53354,172.217.3.110,443,6,21/07/2017 03:19:41,37585,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,611.946255154982,53.21271783956365,37585.0,0.0,37585.0,37585.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.606358919781826,26.606358919781826,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1682,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.211-443-35343-6,10.42.0.211,35343,172.217.6.234,443,6,21/07/2017 03:19:42,36751,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,843.514462191505,81.63043182498436,18375.5,25954.354403452227,36728.0,23.0,0,0,0,0,0,23.0,23.0,0.0,23.0,23.0,1,0,0,0,32,64,27.210143941661453,54.42028788332291,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2514,232,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.211-443-39341-6,10.42.0.211,39341,172.217.6.234,443,6,21/07/2017 03:19:44,36583,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.670202006396416,36583.0,0.0,36583.0,36583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.335101003198208,27.335101003198208,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2258,226,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-44778-6,10.42.0.211,44778,172.217.3.110,443,6,21/07/2017 03:19:44,36499,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,630.1542508013919,54.79602180881668,36499.0,0.0,36499.0,36499.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.39801090440834,27.39801090440834,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.211-443-59342-6,10.42.0.211,59342,172.217.6.234,443,6,21/07/2017 03:19:46,36912,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,839.8352839185088,81.2743823146944,18456.0,26048.399605350038,36875.0,37.0,0,0,0,0,0,37.0,37.0,0.0,37.0,37.0,1,0,0,0,32,64,27.0914607715648,54.1829215431296,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1611,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-55067-6,10.42.0.211,55067,172.217.3.110,443,6,21/07/2017 03:19:46,363441,8,9,1132.0,6024.0,773.0,0.0,141.5,269.26248478814443,1418.0,0.0,669.3333333333334,692.1425070027126,19689.578225901863,46.77512993855949,22715.062500000004,41021.353852952816,161715.0,12.0,307730.0,43961.42857142857,56309.250521434886,161715.0,2286.0,327236.0,40904.5,70136.58922620713,203841.0,12.0,0,0,0,0,264,296,22.01182585343976,24.763304085119728,0.0,1418.0,397.55555555555554,578.402487813198,334549.43790849665,0,0,0,1,0,0,0,0,1.0,420.94117647058823,141.5,669.3333333333334,264,0,0,0,0,0,0,8,1132,9,6024,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
