Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.202-10.42.0.211-443-44587-6,10.42.0.211,44587,172.217.6.202,443,6,21/07/2017 01:33:55,100,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,230000.0,20000.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0,0,0,0,0,1,0,0,0,64,0,20000.0,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2226,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-44587-6,172.217.6.202,443,10.42.0.211,44587,6,21/07/2017 01:33:55,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,64,0,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,351,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.238-10.42.0.211-443-59764-6,10.42.0.211,59764,216.58.219.238,443,6,21/07/2017 01:33:58,123,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,186991.86991869917,16260.162601626014,123.0,0.0,123.0,123.0,123.0,123.0,0.0,123.0,123.0,0,0,0,0,0,1,0,0,0,64,0,16260.162601626014,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1726,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-111.221.77.148-41093-40010-6,10.42.0.211,41093,111.221.77.148,40010,6,21/07/2017 01:33:58,3408994,4,3,14.0,22.0,14.0,0.0,3.4999999999999996,7.0,19.0,0.0,7.333333333333333,10.214368964029708,10.56030019413352,2.053391704414851,568165.6666666667,1010945.926064825,2623145.0,2537.0,3408994.0,1136331.3333333335,1287778.1248267628,2623145.0,372643.0,371088.0,185544.0,64984.52740460609,231495.0,139593.0,1,0,0,0,128,96,1.1733666882370577,0.8800250161777933,0.0,19.0,6.25,8.013381665332416,64.21428571428571,0,1,0,0,1,0,0,0,0.0,7.142857142857143,3.5,7.333333333333333,128,0,0,0,0,0,0,4,14,3,22,1419,33,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.153.195-48513-443-6,10.42.0.211,48513,52.179.153.195,443,6,21/07/2017 01:34:01,848922,9,6,1290.0,3761.0,869.0,0.0,143.33333333333334,286.9899824035675,1448.0,0.0,626.8333333333334,695.9742571867631,5949.898812847353,17.66946786630574,60637.28571428571,126041.05240169757,486371.0,19.0,848922.0,106115.25,191904.67603232453,577021.0,400.0,312105.0,62421.0,57243.812578304045,114407.0,19.0,0,0,0,0,296,200,10.601680719783444,7.067787146522296,0.0,1448.0,315.68750000000006,518.246365962496,268579.29583333334,0,0,0,1,0,0,0,0,0.0,336.73333333333335,143.33333333333334,626.8333333333334,296,0,0,0,0,0,0,9,1290,6,3761,65535,510,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-13.107.3.128-42056-443-6,10.42.0.211,42056,13.107.3.128,443,6,21/07/2017 01:34:01,35924,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5096314441599,17962.0,25335.635969913998,35877.0,47.0,0,0,0,0,0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,32,64,27.836543814719967,55.673087629439934,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-40.117.100.83-41106-443-6,10.42.0.211,41106,40.117.100.83,443,6,21/07/2017 01:34:01,48211,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.484308560287076,48211.0,0.0,48211.0,48211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.742154280143538,20.742154280143538,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,513,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.116.26-55556-443-6,10.42.0.211,55556,23.101.116.26,443,6,21/07/2017 01:34:01,49679,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.258459308762255,49679.0,0.0,49679.0,49679.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.129229654381128,20.129229654381128,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-59074-443-6,10.42.0.211,59074,65.52.108.74,443,6,21/07/2017 01:34:01,50132,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.842017074922204,25066.0,35392.10861194908,50092.0,40.0,0,0,0,0,0,40.0,40.0,0.0,40.0,40.0,0,0,0,0,32,64,19.947339024974067,39.89467804994813,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.112.170-50109-443-6,10.42.0.211,50109,23.101.112.170,443,6,21/07/2017 01:34:01,50284,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.77408320738207,50284.0,0.0,50284.0,50284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.887041603691035,19.887041603691035,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.209.188.76-55526-443-6,10.42.0.211,55526,104.209.188.76,443,6,21/07/2017 01:34:01,50338,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.73141563033891,50338.0,0.0,50338.0,50338.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.865707815169454,19.865707815169454,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.219.39-45156-12350-6,10.42.0.211,45156,91.190.219.39,12350,6,21/07/2017 01:34:01,98084,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39068553484768,98084.0,0.0,98084.0,98084.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.19534276742384,10.19534276742384,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.153.195-48513-443-6,52.179.153.195,443,10.42.0.211,48513,6,21/07/2017 01:34:02,508703,3,0,421.0,0.0,421.0,0.0,140.33333333333331,243.06446332883246,0,0,0,0,827.5948834585209,5.897350713481147,254351.5,359636.6302318216,508653.0,50.0,508703.0,254351.5,359636.6302318216,508653.0,50.0,0,0,0,0,0,0,0,0,0,96,0,5.897350713481147,0.0,0.0,421.0,105.25,210.5,44310.25,0,0,0,0,1,0,0,0,0.0,140.33333333333334,140.33333333333334,0.0,96,0,0,0,0,0,0,3,421,0,0,510,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.225-10.42.0.211-443-52140-6,10.42.0.211,52140,172.217.10.225,443,6,21/07/2017 01:34:04,36583,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.670202006396416,36583.0,0.0,36583.0,36583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.335101003198208,27.335101003198208,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2451,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.225-10.42.0.211-443-52141-6,10.42.0.211,52141,172.217.10.225,443,6,21/07/2017 01:34:04,36798,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.35077993369205,36798.0,0.0,36798.0,36798.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.175389966846026,27.175389966846026,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1728,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.131-10.42.0.211-443-38461-6,10.42.0.211,38461,172.217.10.131,443,6,21/07/2017 01:34:04,36596,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.65078150617554,36596.0,0.0,36596.0,36596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.32539075308777,27.32539075308777,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1683,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.225-10.42.0.211-443-52143-6,10.42.0.211,52143,172.217.10.225,443,6,21/07/2017 01:34:04,36807,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.33749015132991,36807.0,0.0,36807.0,36807.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.168745075664955,27.168745075664955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,7882,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.225-10.42.0.211-443-52142-6,10.42.0.211,52142,172.217.10.225,443,6,21/07/2017 01:34:04,37107,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.89818632603013,37107.0,0.0,37107.0,37107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.949093163015064,26.949093163015064,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,362,0,32,0,0,0,0,0,0,0,0,BENIGN
