Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.206-10.42.0.151-443-40361-6,10.42.0.151,40361,172.217.12.206,443,6,21/07/2017 04:17:45,97458,3,4,863.0,1879.0,737.0,0.0,287.66666666666663,394.20087941725006,1418.0,0.0,469.75,644.7130498653387,28135.196700116972,71.82581214471875,16243.000000000002,23685.34944644052,54753.0,16.0,42643.0,21321.5,25172.294303459905,39121.0,3522.0,60398.0,20132.666666666664,34817.11121465038,60336.0,16.0,1,0,0,0,96,128,30.782490919165177,41.04332122555357,0.0,1418.0,358.5,489.36810568031797,239481.14285714287,0,1,0,0,1,0,0,0,1.0,409.7142857142857,287.6666666666667,469.75,96,0,0,0,0,0,0,3,863,4,1879,1502,352,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.151-443-34088-6,10.42.0.151,34088,172.217.10.234,443,6,21/07/2017 04:17:47,37114,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.888020692999945,37114.0,0.0,37114.0,37114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.944010346499972,26.944010346499972,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,399,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-47006-6,10.42.0.151,47006,172.217.12.206,443,6,21/07/2017 04:17:48,36777,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.3908692933084,54.38181472115725,36777.0,0.0,36777.0,36777.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.190907360578624,27.190907360578624,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-44342-6,10.42.0.151,44342,172.217.12.206,443,6,21/07/2017 04:17:48,8,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,3875000.0,250000.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,0,1,0,0,0,64,0,250000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.151-443-58342-6,10.42.0.151,58342,206.126.112.142,443,6,21/07/2017 04:17:46,4222907,3487,12171,1016.0,1.7575225E7,627.0,0.0,0.2913679380556345,11.530771151784657,1448.0,0.0,1444.024730917749,61.29251064874439,4162118.891086164,3707.8723258646232,269.7136743948409,1541.2222003364911,142530.0,-3.0,4222907.0,1211.390418818126,4578.965798781453,142530.0,3.0,4186039.0,343.9637633525041,2329.719544947049,201924.0,1.0,0,0,0,0,112888,389480,825.734499954652,2882.1378259099715,0.0,1448.0,1122.4370010856421,603.1922157894722,363840.8491890133,0,0,0,1,0,0,0,0,3.0,1122.5086856558949,0.2913679380556352,1444.0247309177553,112888,0,0,0,0,0,0,3487,1016,12171,17575225,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-60686-6,10.42.0.151,60686,172.217.12.206,443,6,21/07/2017 04:17:54,36508,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.9989043497316,54.78251342171579,36508.0,0.0,36508.0,36508.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.391256710857895,27.391256710857895,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.151-443-60274-6,10.42.0.151,60274,172.217.10.234,443,6,21/07/2017 04:17:56,36968,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.10084397316598,36968.0,0.0,36968.0,36968.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.05042198658299,27.05042198658299,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1591,358,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-44556-6,10.42.0.151,44556,172.217.12.206,443,6,21/07/2017 04:17:57,36586,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.6557699666539,54.66571912753512,36586.0,0.0,36586.0,36586.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.33285956376756,27.33285956376756,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1386,490,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.151-443-43857-6,10.42.0.151,43857,172.217.10.227,443,6,21/07/2017 04:17:57,386273,9,11,609.0,9445.0,261.0,0.0,67.66666666666667,107.28000745712129,1418.0,0.0,858.6363636363636,656.2554796308024,26028.2235620921,51.7768521227215,20330.157894736843,35091.23609846379,136393.0,18.0,348499.0,43562.375,59895.58044735021,173854.0,62.0,349413.0,34941.3,61604.230583531265,176222.0,18.0,0,0,0,0,296,360,23.299583455224674,28.477268667496823,0.0,1418.0,478.76190476190476,621.9462118834639,386817.0904761905,0,0,0,1,0,0,0,0,1.0,502.7,67.66666666666667,858.6363636363636,296,0,0,0,0,0,0,9,609,11,9445,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.151-443-37254-6,10.42.0.151,37254,172.217.10.227,443,6,21/07/2017 04:17:57,582170,53,204,609.0,284205.0,261.0,0.0,11.490566037735846,49.280056288019416,1418.0,0.0,1393.1617647058818,174.33134271561187,489228.23230327916,441.45180960887717,2274.101562499999,11042.12858695374,136646.0,4.0,542820.0,10438.846153846152,27815.076308619013,173656.0,11.0,545463.0,2687.0098522167496,15445.162807763414,178528.0,6.0,0,0,0,0,1704,6536,91.03870003607194,350.41310957280524,0.0,1418.0,1103.930232558139,584.5996759371175,341756.7811057827,0,0,0,1,0,0,0,0,3.0,1108.2256809338521,11.49056603773585,1393.1617647058824,1704,0,0,0,0,0,0,53,609,204,284205,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
