Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.138-10.42.0.151-443-45612-6,10.42.0.151,45612,172.217.10.138,443,6,21/07/2017 05:44:04,652452,12,6,1072.0,1769.0,964.0,0.0,89.33333333333333,276.55094330416637,781.0,0.0,294.83333333333337,308.8905415623254,4354.343308013463,27.588236376009267,38379.529411764706,70526.24221709749,247115.0,13.0,617961.0,56178.27272727273,89494.5917271998,247115.0,13.0,649330.0,129866.0,132827.62116931853,285933.0,13.0,0,0,0,0,396,192,18.392157584006178,9.196078792003089,0.0,964.0,149.52631578947367,289.7194751289699,83937.37426900583,0,0,0,0,1,0,0,0,0.0,157.83333333333334,89.33333333333333,294.8333333333333,396,0,0,0,0,0,0,12,1072,6,1769,1414,362,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.80.5-44284-443-6,10.42.0.151,44284,31.13.80.5,443,6,21/07/2017 05:44:29,193328,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,6631.217412894149,67.24323429611852,16110.666666666666,33405.936345977716,117755.0,13.0,53262.0,10652.4,13659.759745324953,26600.0,285.0,170784.0,28463.999999999996,45562.749183955086,117755.0,13.0,0,0,0,0,200,232,31.035338905900854,36.20789539021766,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.80.5-44284-443-6,10.42.0.151,44284,31.13.80.5,443,6,21/07/2017 05:44:29,15148,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,2046.4747821494586,198.04594665962503,7574.0,10408.61181906598,14934.0,214.0,214.0,214.0,0.0,214.0,214.0,0,0,0,0,0,1,0,0,0,64,32,132.03063110641668,66.01531555320834,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.151-443-53388-6,10.42.0.151,53388,172.217.10.138,443,6,21/07/2017 05:44:38,36743,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,843.6981193696759,81.64820510029122,18371.5,25916.170637268155,36697.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,27.21606836676374,54.43213673352748,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,4205,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.151-443-52514-6,10.42.0.151,52514,172.217.10.138,443,6,21/07/2017 05:44:42,36790,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.36259853220984,36790.0,0.0,36790.0,36790.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.18129926610492,27.18129926610492,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.151-443-51745-6,10.42.0.151,51745,172.217.10.138,443,6,21/07/2017 05:44:43,37211,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.747547768133074,37211.0,0.0,37211.0,37211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.873773884066537,26.873773884066537,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1635,358,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.151-443-37757-6,10.42.0.151,37757,172.217.9.238,443,6,21/07/2017 05:44:43,573977,9,9,1096.0,6026.0,737.0,0.0,121.77777777777777,244.91466767926423,1418.0,0.0,669.5555555555555,692.3738352781521,12408.162696414665,31.360141608461664,33763.35294117646,83753.9065379499,351384.0,8.0,518252.0,64781.5,117602.35796226926,351384.0,19.0,537135.0,67141.87500000001,134033.4809755037,390973.0,8.0,0,0,0,0,296,296,15.680070804230832,15.680070804230832,0.0,1418.0,374.8421052631579,568.3065744588034,322972.36257309944,0,0,0,1,0,0,0,0,1.0,395.6666666666667,121.77777777777777,669.5555555555555,296,0,0,0,0,0,0,9,1096,9,6026,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.151-443-45415-6,10.42.0.151,45415,206.126.112.142,443,6,21/07/2017 05:44:43,4736245,5358,12117,985.0,1.7518753E7,627.0,0.0,0.18383725270623338,9.293182885521665,1448.0,0.0,1445.7995378394005,50.369760272101004,3699077.644843119,3689.6317652486305,271.0452672542052,1433.107555476434,99585.0,-2.0,4697566.0,876.902370729887,3659.8870817888765,102551.0,2.0,4720738.0,389.6284252228438,2455.3674394066943,185353.0,1.0,0,0,0,0,171464,387752,1131.2759369500523,2558.355828298578,0.0,1448.0,1002.5027466239388,667.9339319896749,446135.7375031876,0,0,0,1,0,0,0,0,2.0,1002.5601144492132,0.18383725270623366,1445.7995378393991,171464,0,0,0,0,0,0,5358,985,12117,17518753,65535,123,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.151-443-45415-6,10.42.0.151,45415,206.126.112.142,443,6,21/07/2017 05:44:48,550,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,56363.63636363636,3636.363636363636,550.0,0.0,550.0,550.0,550.0,550.0,0.0,550.0,550.0,0,0,0,0,0,1,0,0,0,64,0,3636.363636363636,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,5792,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.151-443-45231-6,10.42.0.151,45231,172.217.11.3,443,6,21/07/2017 05:45:06,240778,9,11,609.0,9444.0,261.0,0.0,67.66666666666667,107.28000745712129,1418.0,0.0,858.5454545454546,656.1867666505267,41752.15343594515,83.06406731512016,12672.526315789473,19171.34641526956,62948.0,9.0,202954.0,25369.25,26258.596234648296,62948.0,11.0,204184.0,20418.399999999998,33975.57879549499,102738.0,9.0,0,0,0,0,296,360,37.37883029180407,45.685237023316084,0.0,1418.0,478.7142857142857,621.8794210180253,386734.0142857143,0,0,0,1,0,0,0,0,1.0,502.65,67.66666666666667,858.5454545454545,296,0,0,0,0,0,0,9,609,11,9444,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.151-443-35104-6,10.42.0.151,35104,172.217.11.3,443,6,21/07/2017 05:45:06,399650,68,204,609.0,284204.0,261.0,0.0,8.955882352941176,43.67909907753087,1418.0,0.0,1393.1568627450981,174.33367841729037,712656.0740648067,680.5955210809458,1474.7232472324729,5416.686832866237,39415.0,3.0,376128.0,5613.8507462686575,12462.595901887755,56260.0,6.0,362701.0,1786.704433497537,7523.692952591918,73096.0,3.0,0,0,0,0,2184,6536,170.14888027023645,510.44664081070937,0.0,1418.0,1043.2710622710624,621.6276545979915,386420.9409609998,0,0,0,1,0,0,0,0,3.0,1047.1066176470588,8.955882352941176,1393.1568627450981,2184,0,0,0,0,0,0,68,609,204,284204,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.151-443-45231-6,10.42.0.151,45231,172.217.11.3,443,6,21/07/2017 05:45:06,149764,5,0,31.0,0.0,31.0,0.0,6.2,13.863621460498695,0,0,0,0,206.99233460644746,33.38586042039475,37441.0,54133.92692819048,114842.0,63.0,149764.0,37441.0,54133.92692819048,114842.0,63.0,0,0,0,0,0,0,0,0,0,160,0,33.38586042039475,0.0,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666669,0,0,0,0,1,0,0,0,0.0,6.2,6.2,0.0,160,0,0,0,0,0,0,5,31,0,0,1635,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.151-443-35806-6,10.42.0.151,35806,172.217.11.3,443,6,21/07/2017 05:45:06,200625,6,13,829.0,8751.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,673.1538461538461,719.0284934263553,47750.778816199374,94.70404984423676,11145.833333333334,21255.987849102108,76284.0,16.0,162548.0,32509.6,33303.22944250302,81811.0,762.0,163827.0,13652.25,25990.03211766528,78867.0,16.0,0,0,0,0,200,424,29.906542056074766,64.797507788162,0.0,1418.0,478.99999999999994,642.5272470159492,412841.26315789466,0,0,0,1,0,0,0,0,2.0,504.2105263157895,138.16666666666666,673.1538461538462,200,0,0,0,0,0,0,6,829,13,8751,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.151-443-35104-6,10.42.0.151,35104,172.217.11.3,443,6,21/07/2017 05:45:06,79619,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,389.3542998530502,50.23926449716777,26539.666666666664,21501.754680335587,44358.0,2657.0,79619.0,26539.666666666664,21501.754680335587,44358.0,2657.0,0,0,0,0,0,0,0,0,0,128,0,50.23926449716777,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,3756,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.151-443-60476-6,10.42.0.151,60476,172.217.11.3,443,6,21/07/2017 05:45:06,205516,6,9,829.0,4324.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,480.44444444444446,686.7932933407094,25073.473598162673,72.98701804239086,14679.714285714284,23447.422884233736,77483.0,13.0,167844.0,33568.8,33254.93592987362,79418.0,254.0,168604.0,21075.5,31617.338245245846,83860.0,13.0,0,0,0,0,200,296,29.19480721695634,43.792210825434516,0.0,1418.0,322.0625,549.5055315159864,301956.32916666666,0,0,0,1,0,0,0,0,1.0,343.53333333333336,138.16666666666666,480.44444444444446,200,0,0,0,0,0,0,6,829,9,4324,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.151-443-60476-6,10.42.0.151,60476,172.217.11.3,443,6,21/07/2017 05:45:06,354567,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,87.43058434654098,11.281365722134321,118189.0,177319.20364980213,322090.0,102.0,354567.0,118189.0,177319.20364980213,322090.0,102.0,0,0,0,0,0,0,0,0,0,128,0,11.281365722134321,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.151-443-35806-6,10.42.0.151,35806,172.217.11.3,443,6,21/07/2017 05:45:06,396283,6,0,31.0,0.0,31.0,0.0,5.166666666666667,12.655697004379753,0,0,0,0,78.22692368837421,15.140694907427267,79256.6,159031.17032299045,362705.0,119.0,396283.0,79256.6,159031.17032299045,362705.0,119.0,0,0,0,0,0,0,0,0,0,192,0,15.140694907427267,0.0,0.0,31.0,4.428571428571429,11.716898663286045,137.2857142857143,0,0,0,0,1,0,0,0,0.0,5.166666666666667,5.166666666666667,0.0,192,0,0,0,0,0,0,6,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
