Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
198.105.244.11-10.42.0.151-80-46817-6,10.42.0.151,46817,198.105.244.11,80,6,21/07/2017 10:49:00,233663,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.559335453195414,233663.0,0.0,233663.0,233663.0,233663.0,233663.0,0.0,233663.0,233663.0,0,0,0,0,0,0,0,0,0,40,0,8.559335453195414,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.151-80-46815-6,10.42.0.151,46815,198.105.244.11,80,6,21/07/2017 10:49:00,233678,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.55878602179067,233678.0,0.0,233678.0,233678.0,233678.0,233678.0,0.0,233678.0,233678.0,0,0,0,0,0,0,0,0,0,40,0,8.55878602179067,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.151-80-46816-6,10.42.0.151,46816,198.105.244.11,80,6,21/07/2017 10:49:00,233692,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.558273282782466,233692.0,0.0,233692.0,233692.0,233692.0,233692.0,0.0,233692.0,233692.0,0,0,0,0,0,0,0,0,0,40,0,8.558273282782466,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.151-80-46817-6,10.42.0.151,46817,198.105.244.11,80,6,21/07/2017 10:49:00,959912,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0835243230629477,959912.0,0.0,959912.0,959912.0,959912.0,959912.0,0.0,959912.0,959912.0,0,0,0,0,0,0,0,0,0,40,0,2.0835243230629477,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.151-80-46815-6,10.42.0.151,46815,198.105.244.11,80,6,21/07/2017 10:49:00,959906,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0835373463651647,959906.0,0.0,959906.0,959906.0,959906.0,959906.0,0.0,959906.0,959906.0,0,0,0,0,0,0,0,0,0,40,0,2.0835373463651647,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.151-80-46816-6,10.42.0.151,46816,198.105.244.11,80,6,21/07/2017 10:49:00,959905,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.083539516931363,959905.0,0.0,959905.0,959905.0,959905.0,959905.0,0.0,959905.0,959905.0,0,0,0,0,0,0,0,0,0,40,0,2.083539516931363,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
205.185.216.10-10.42.0.151-80-38537-6,10.42.0.151,38537,205.185.216.10,80,6,21/07/2017 10:49:00,1340060,40,37,1214.0,46484.0,638.0,0.0,30.349999999999994,134.16169922321922,1448.0,0.0,1256.3243243243244,448.74182468901336,35593.92863006134,57.46011372625106,17632.368421052633,145485.0837841316,1268878.0,1.0,1340060.0,34360.51282051282,202968.24417664736,1268878.0,3.0,31076.0,863.2222222222221,4213.262618454193,25380.0,1.0,0,0,0,0,1288,1192,29.84940972792263,27.610703998328432,0.0,1448.0,611.5128205128209,695.2450141522986,483365.6297036298,0,0,0,1,0,0,0,0,0.0,619.4545454545455,30.35,1256.3243243243244,1288,0,0,0,0,0,0,40,1214,37,46484,65535,31,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.254.66.16-46912-80-6,10.42.0.151,46912,104.254.66.16,80,6,21/07/2017 10:48:52,10288455,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3887852938074764,3429485.0,5762824.566336633,1.0083802E7,88329.0,1.0288455E7,5144227.5,6985613.2502523,1.0083802E7,204653.0,0,0,0,0,0,0,0,0,0,80,32,0.2915889703556073,0.0971963234518691,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,29200,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.233-10.42.0.151-80-34426-6,10.42.0.151,34426,175.100.207.233,80,6,21/07/2017 10:48:57,5570589,4,4,445.0,354.0,445.0,0.0,111.25,222.50000000000003,354.0,0.0,88.5,177.0,143.43187048981716,1.4361138472071804,795798.4285714286,1745355.5562067057,4744120.0,892.0,826469.0,275489.6666666666,279102.6065882104,558889.0,892.0,5308139.0,1769379.6666666667,2798391.589547348,4998079.0,42687.0,0,0,0,0,100,92,0.7180569236035902,0.7180569236035902,0.0,445.0,88.77777777777777,177.62585522508948,31550.94444444445,0,0,0,1,0,0,0,0,1.0,99.875,111.25,88.5,100,0,0,0,0,0,0,4,445,4,354,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-58.215.168.151-44175-80-6,10.42.0.151,44175,58.215.168.151,80,6,21/07/2017 10:49:01,2298175,6,5,1081.0,1688.0,633.0,0.0,180.16666666666666,285.1781314663989,935.0,0.0,337.6,466.7347212282369,1204.8690809011498,4.786406605241115,229817.5,326061.8788434865,993463.0,521.0,1304712.0,260942.4,201778.74788564825,567996.0,521.0,2057589.0,514397.25,469637.6417341175,1000423.0,797.0,0,0,0,0,140,112,2.6107672392224264,2.1756393660186886,0.0,935.0,230.74999999999997,357.2216335197876,127607.29545454543,0,0,0,1,0,0,0,0,0.0,251.72727272727272,180.16666666666666,337.6,140,0,0,0,0,0,0,6,1081,5,1688,65535,16,2,20,0,0,0,0,0,0,0,0,BENIGN
