Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.1.170-10.42.0.211-443-48367-6,10.42.0.211,48367,172.217.1.170,443,6,16/06/2017 11:09:20,112,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,276785.71428571426,17857.14285714286,112.0,0.0,112.0,112.0,112.0,112.0,0.0,112.0,112.0,0,0,0,0,0,1,0,0,0,64,0,17857.14285714286,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.211-443-48367-6,172.217.1.170,443,10.42.0.211,48367,6,16/06/2017 11:09:20,254,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7874.0157480314965,254.0,0.0,254.0,254.0,254.0,254.0,0.0,254.0,254.0,0,0,0,0,0,0,0,0,0,64,0,7874.0157480314965,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,383,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-50153-6,10.42.0.211,50153,172.217.10.78,443,6,16/06/2017 11:09:21,36583,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.7073230735588,54.670202006396416,36583.0,0.0,36583.0,36583.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.335101003198208,27.335101003198208,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-44074-6,10.42.0.211,44074,172.217.10.78,443,6,16/06/2017 11:09:21,68,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,338235.29411764705,29411.764705882353,68.0,0.0,68.0,68.0,68.0,68.0,0.0,68.0,68.0,0,0,0,0,0,1,0,0,0,64,0,29411.764705882353,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1486,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-44074-6,172.217.10.78,443,10.42.0.211,44074,6,16/06/2017 11:09:21,44,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,64,0,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-43193-6,10.42.0.211,43193,172.217.10.78,443,6,16/06/2017 11:09:26,37091,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.096519371276,53.92143646706749,37091.0,0.0,37091.0,37091.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.960718233533743,26.960718233533743,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.211-443-44793-6,10.42.0.211,44793,172.217.1.170,443,6,16/06/2017 11:09:30,22559,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.65641207500333,22559.0,0.0,22559.0,22559.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.328206037501666,44.328206037501666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4394,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-40977-80-6,10.42.0.211,40977,36.110.213.49,80,6,16/06/2017 11:09:34,589137,3,4,365.0,376.0,365.0,0.0,121.66666666666667,210.73284825421342,376.0,0.0,94.0,187.99999999999997,1257.7719613604306,11.881786409612705,98189.5,125154.56643966293,255048.0,31.0,333699.0,166849.5,235806.67649687105,333590.0,109.0,334380.0,111460.0,192716.7028853493,333990.0,31.0,0,0,0,0,80,92,5.092194175548302,6.789592234064402,0.0,376.0,92.625,171.53336826568594,29423.69642857143,0,0,0,1,0,0,0,0,1.0,105.85714285714286,121.66666666666667,94.0,80,0,0,0,0,0,0,3,365,4,376,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-40977-80-6,10.42.0.211,40977,36.110.213.49,80,6,16/06/2017 11:09:35,23835,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,125.86532410320957,11917.5,13281.586671026922,21309.0,2526.0,23835.0,11917.5,13281.586671026922,21309.0,2526.0,0,0,0,0,0,0,0,0,0,60,0,125.86532410320957,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-52510-443-6,10.42.0.211,52510,36.110.213.49,443,6,16/06/2017 11:09:35,2869349,28,61,779.0,81181.0,421.0,0.0,27.82142857142857,90.53996603564335,1460.0,0.0,1330.8360655737704,383.01323651312924,28563.970433711616,31.017488635924035,32606.23863636364,77955.94418260975,257958.0,5.0,2617279.0,96936.25925925926,161436.13734029094,451960.0,47.0,2614573.0,43576.21666666665,122755.71115149057,470116.0,5.0,0,0,0,0,580,1232,9.758311031526663,21.259177604397372,0.0,1460.0,910.6666666666669,690.5893591139009,476913.6629213483,0,0,0,1,0,0,0,0,2.0,920.8988764044943,27.821428571428573,1330.8360655737704,580,0,0,0,0,0,0,28,779,61,81181,65535,140,3,20,0,0,0,0,0,0,0,0,BENIGN
