Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.37-45016-443-6,31.13.71.37,443,10.42.0.151,45016,6,16/06/2017 05:23:37,44,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,954545.4545454546,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-45016-443-6,31.13.71.37,443,10.42.0.151,45016,6,16/06/2017 05:23:37,36980,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,1135.7490535424554,135.2082206598161,9245.0,18117.39931667898,36420.0,66.0,0,0,0,0,0,560.0,186.66666666666666,199.55032782066115,417.0,66.0,0,0,0,0,32,140,27.041644131963224,108.1665765278529,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,133,1631,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.69.197-44475-443-6,31.13.69.197,443,10.42.0.151,44475,6,16/06/2017 05:23:48,40,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1050000.0,49999.99999999999,40.0,0.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0,0,0,0,0,1,0,0,0,64,0,49999.99999999999,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.69.197-44475-443-6,31.13.69.197,443,10.42.0.151,44475,6,16/06/2017 05:23:48,63084,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,665.7789613848203,79.25940016485956,15770.999999999998,31280.759805349997,62692.0,46.0,0,0,0,0,0,392.0,130.66666666666666,93.4897498837885,231.0,46.0,0,0,0,0,32,140,15.851880032971911,63.407520131887644,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,237,1615,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.65.3-38068-443-6,10.42.0.151,38068,31.13.65.3,443,6,16/06/2017 05:24:03,353573,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,3623.0142007449663,36.76751335650629,29464.416666666668,41187.956067185754,132537.0,14.0,170522.0,34104.4,30082.34027299073,62437.0,120.0,303309.0,50551.5,60794.23345926816,132537.0,14.0,0,0,0,0,200,232,16.96962154915675,19.79789180734954,0.0,537.0,91.50000000000001,183.26976753493113,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846153,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-108.174.11.1-55675-80-6,10.42.0.151,55675,108.174.11.1,80,6,16/06/2017 05:24:03,377562,3,4,401.0,170.0,401.0,0.0,133.66666666666666,231.51745794503992,170.0,0.0,42.5,85.0,1512.3343980591267,18.540001377257244,62927.0,115061.51241835822,294565.0,36.0,336821.0,168410.5,178409.40485439662,294565.0,42256.0,337682.0,112560.66666666666,194203.43640711752,336807.0,36.0,0,0,0,0,104,136,7.945714875967391,10.594286501289854,0.0,401.0,71.37500000000001,145.86974375399836,21277.98214285714,0,0,0,1,0,0,0,0,1.0,81.57142857142857,133.66666666666666,42.5,104,0,0,0,0,0,0,3,401,4,170,65535,16,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.151-443-60752-6,10.42.0.151,60752,172.217.10.78,443,6,16/06/2017 05:24:03,37521,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,612.9900589003491,53.30348338263906,37521.0,0.0,37521.0,37521.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.65174169131953,26.65174169131953,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-108.174.11.1-55675-80-6,10.42.0.151,55675,108.174.11.1,80,6,16/06/2017 05:24:03,54795,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,54.749520941691756,27397.5,596.0910165402596,27819.0,26976.0,54795.0,27397.5,596.0910165402596,27819.0,26976.0,0,0,0,0,0,0,0,0,0,96,0,54.749520941691756,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.151-443-35604-6,10.42.0.151,35604,172.217.10.78,443,6,16/06/2017 05:24:11,36749,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.867370540695,54.42324961223435,36749.0,0.0,36749.0,36749.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.211624806117175,27.211624806117175,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.151-443-36759-6,10.42.0.151,36759,172.217.10.78,443,6,16/06/2017 05:24:12,37205,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.1964789678806,53.7562155624244,37205.0,0.0,37205.0,37205.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.8781077812122,26.8781077812122,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1386,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.151-443-47380-6,10.42.0.151,47380,172.217.10.78,443,6,16/06/2017 05:24:12,110,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,209090.9090909091,18181.81818181818,110.0,0.0,110.0,110.0,110.0,110.0,0.0,110.0,110.0,0,0,0,0,0,1,0,0,0,64,0,18181.81818181818,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1553,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
