Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-40.127.169.165-56784-443-6,40.127.169.165,443,10.42.0.151,56784,6,16/06/2017 09:56:45,58363,1,2,309.0,85.0,309.0,309.0,309.0,0.0,85.0,0.0,42.5,60.10407640085654,6750.852423624557,51.402429621506776,29181.5,16416.898138808076,40790.0,17573.0,0,0,0,0,0,17573.0,17573.0,0.0,17573.0,17573.0,1,0,0,0,32,64,17.134143207168925,34.26828641433785,0.0,309.0,175.75,157.72840581201598,24878.25,0,1,0,0,1,1,0,0,2.0,234.33333333333334,309.0,42.5,32,0,0,0,0,0,0,1,309,2,85,513,1550,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-13.107.3.128-51575-443-6,10.42.0.151,51575,13.107.3.128,443,6,16/06/2017 09:56:47,12117,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,7014.93769084757,165.05735743170752,12117.0,0.0,12117.0,12117.0,12117.0,12117.0,0.0,12117.0,12117.0,0,0,0,0,0,1,0,0,0,64,0,165.05735743170752,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-13.107.3.128-51575-443-6,13.107.3.128,443,10.42.0.151,51575,6,16/06/2017 09:56:47,12068,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,248.5913158766987,6034.0,8490.938228488063,12038.0,30.0,12068.0,6034.0,8490.938228488063,12038.0,30.0,0,0,0,0,0,0,0,0,0,96,0,248.5913158766987,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1024,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-35049-443-6,31.13.71.37,443,10.42.0.151,35049,6,16/06/2017 09:56:52,45,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,933333.3333333333,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,124,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-35049-443-6,10.42.0.151,35049,31.13.71.37,443,6,16/06/2017 09:56:52,2436,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,17241.37931034483,1231.527093596059,1218.0,816.0012254892758,1795.0,641.0,2436.0,1218.0,816.0012254892758,1795.0,641.0,0,0,0,0,0,0,0,0,0,96,0,1231.527093596059,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1588,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.208.31.113-60570-443-6,10.42.0.151,60570,104.208.31.113,443,6,16/06/2017 09:56:46,10300891,16,11,8454.0,4527.0,1428.0,0.0,528.375,592.3578732489339,1448.0,0.0,411.54545454545456,559.8789804299432,1260.1822502538857,2.6211324826172806,396188.1153846154,1799265.4052291748,9215682.0,6.0,1.0087853E7,672523.5333333333,2364232.626685329,9215682.0,31.0,1.0251216E7,1025121.6,2928595.4662550823,9356418.0,6.0,0,0,0,0,520,360,1.5532636934028328,1.0678687892144476,0.0,1448.0,463.6071428571429,567.9667008552731,322586.1732804232,0,0,0,1,0,0,0,0,0.0,480.77777777777777,528.375,411.54545454545456,520,0,0,0,0,0,0,16,8454,11,4527,65535,512,10,32,706726.0,0.0,706726.0,706726.0,9215682.0,0.0,9215682.0,9215682.0,BENIGN
10.42.0.151-104.208.31.113-60570-443-6,10.42.0.151,60570,104.208.31.113,443,6,16/06/2017 09:56:57,43551,3,0,85.0,0.0,85.0,0.0,28.333333333333336,49.074772881118186,0,0,0,0,1951.734747766986,68.88475580354067,21775.5,4715.695123733086,25110.0,18441.0,43551.0,21775.5,4715.695123733086,25110.0,18441.0,0,0,0,0,0,0,0,0,0,96,0,68.88475580354067,0.0,0.0,85.0,21.25,42.5,1806.2499999999998,0,0,0,0,1,0,0,0,0.0,28.333333333333332,28.333333333333332,0.0,96,0,0,0,0,0,0,3,85,0,0,1595,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.174-10.42.0.151-443-56398-6,10.42.0.151,56398,172.217.2.174,443,6,16/06/2017 09:57:00,22422,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.19810900008919,22422.0,0.0,22422.0,22422.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.599054500044595,44.599054500044595,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1424,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.174-10.42.0.151-443-53499-6,10.42.0.151,53499,172.217.2.174,443,6,16/06/2017 09:57:00,22480,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.96797153024912,22480.0,0.0,22480.0,22480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.48398576512456,44.48398576512456,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1679,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.170-10.42.0.151-443-44026-6,10.42.0.151,44026,172.217.2.170,443,6,16/06/2017 09:57:00,22559,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.65641207500333,22559.0,0.0,22559.0,22559.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.328206037501666,44.328206037501666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1679,541,0,32,0,0,0,0,0,0,0,0,BENIGN
