Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.3-48052-443-6,10.42.0.151,48052,31.13.71.3,443,6,16/06/2017 11:18:45,304985,7,8,1081.0,338.0,537.0,0.0,154.42857142857142,247.34648918932672,137.0,0.0,42.25,60.127839998266545,4652.687837106743,49.182746692460285,21784.64285714286,33931.87035949251,114969.0,14.0,168427.0,28071.166666666664,40193.072360379054,105896.0,416.0,275058.0,39294.00000000001,49097.396869216325,114969.0,14.0,0,0,0,0,244,264,22.951948456481468,26.230798235978817,0.0,537.0,88.68750000000001,172.7733462275552,29850.629166666662,0,0,0,1,0,0,0,0,1.0,94.6,154.42857142857142,42.25,244,0,0,0,0,0,0,7,1081,8,338,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.151-443-40999-6,10.42.0.151,40999,172.217.2.110,443,6,16/06/2017 11:18:58,22506,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1021.9497023016083,133.29778725673154,11253.0,15549.27811829218,22248.0,258.0,0,0,0,0,0,258.0,258.0,0.0,258.0,258.0,1,0,0,0,32,64,44.43259575224384,88.86519150448768,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.151-443-55635-6,10.42.0.151,55635,172.217.2.110,443,6,16/06/2017 11:19:06,22429,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1025.4581122653706,133.75540594765704,11214.5,15797.472598488659,22385.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,1,0,0,0,32,64,44.58513531588568,89.17027063177136,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.151-443-47669-6,10.42.0.151,47669,172.217.2.110,443,6,16/06/2017 11:19:06,69,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,333333.3333333334,28985.507246376812,69.0,0.0,69.0,69.0,69.0,69.0,0.0,69.0,69.0,0,0,0,0,0,1,0,0,0,64,0,28985.507246376812,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1537,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.151-443-47669-6,172.217.2.110,443,10.42.0.151,47669,6,16/06/2017 11:19:06,39,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,64,0,51282.05128205128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,511,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.151-443-41709-6,10.42.0.151,41709,172.217.2.110,443,6,16/06/2017 11:19:07,22750,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1010.989010989011,87.91208791208791,22750.0,0.0,22750.0,22750.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,43.956043956043956,43.956043956043956,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1386,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.151-443-37395-6,10.42.0.151,37395,172.217.2.110,443,6,16/06/2017 11:19:09,22468,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1023.6781199928788,133.5232330425494,11234.0,15823.63554939256,22423.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,1,0,0,0,32,64,44.50774434751647,89.01548869503294,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.106-10.42.0.151-443-39630-6,10.42.0.151,39630,172.217.2.106,443,6,16/06/2017 11:19:40,22904,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.32099196646874,22904.0,0.0,22904.0,22904.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,43.66049598323437,43.66049598323437,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4161,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.151-443-40659-6,10.42.0.151,40659,172.217.1.170,443,6,16/06/2017 11:19:47,335057,9,9,1498.0,878.0,915.0,0.0,166.44444444444446,327.4061358279313,452.0,0.0,97.55555555555556,165.95941605638944,7091.330728801368,53.72220249091946,19709.235294117647,24872.11746245535,78104.0,17.0,314724.0,39340.5,53333.031072953,140154.0,204.0,312356.0,39044.5,38003.76727942339,100577.0,17.0,0,0,0,0,296,296,26.86110124545973,26.86110124545973,0.0,915.0,125.05263157894737,248.971322240626,61986.71929824563,0,0,0,1,0,0,0,0,1.0,132.0,166.44444444444446,97.55555555555556,296,0,0,0,0,0,0,9,1498,9,878,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.98-10.42.0.151-443-44730-6,10.42.0.151,44730,172.217.2.98,443,6,16/06/2017 11:19:52,68,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,338235.29411764705,29411.764705882353,68.0,0.0,68.0,68.0,68.0,68.0,0.0,68.0,68.0,0,0,0,0,0,1,0,0,0,64,0,29411.764705882353,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1546,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.98-10.42.0.151-443-44730-6,172.217.2.98,443,10.42.0.151,44730,6,16/06/2017 11:19:52,40,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,49999.99999999999,40.0,0.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0,0,0,0,0,0,0,0,0,64,0,49999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-48061-443-6,10.42.0.151,48061,31.13.71.3,443,6,16/06/2017 11:19:54,274807,6,7,1079.0,201.0,537.0,0.0,179.83333333333331,260.0041666332804,137.0,0.0,28.714285714285715,50.07898523237828,4657.8143933742585,47.305927432707314,22900.583333333332,34394.41174339579,113578.0,12.0,131218.0,26243.6,39678.6695820311,90134.0,91.0,244831.0,40805.16666666667,50550.407912960174,113578.0,12.0,0,0,0,0,200,232,21.83350496894184,25.472422463765476,0.0,537.0,91.4285714285714,183.1017851804393,33526.26373626374,0,0,0,1,0,0,0,0,1.0,98.46153846153847,179.83333333333334,28.714285714285715,200,0,0,0,0,0,0,6,1079,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-48063-443-6,10.42.0.151,48063,31.13.71.3,443,6,16/06/2017 11:20:06,285693,7,8,1063.0,338.0,537.0,0.0,151.85714285714286,243.30051964010036,137.0,0.0,42.25,60.127839998266545,4903.865337967679,52.50391154140984,20406.64285714286,33595.30804833671,108110.0,31.0,162365.0,27060.833333333332,43340.13214293037,111829.0,262.0,255570.0,36509.99999999999,46539.55423794545,108110.0,31.0,0,0,0,0,244,264,24.501825385991257,28.00208615541858,0.0,537.0,87.5625,170.0015563654247,28900.52916666667,0,0,0,1,0,0,0,0,1.0,93.4,151.85714285714286,42.25,244,0,0,0,0,0,0,7,1063,8,338,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-48065-443-6,10.42.0.151,48065,31.13.71.3,443,6,16/06/2017 11:20:09,205951,6,6,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,33.5,53.07636008620033,6224.781622813193,58.26628664099713,18722.81818181818,32948.954762839385,109600.0,43.0,66517.0,13303.4,16900.752003978996,32044.0,116.0,176032.0,35206.4,44752.291095540575,109600.0,43.0,0,0,0,0,200,200,29.133143320498565,29.133143320498565,0.0,537.0,98.61538461538461,188.94732002224785,35701.08974358974,0,0,0,1,0,0,0,0,1.0,106.83333333333333,180.16666666666666,33.5,200,0,0,0,0,0,0,6,1081,6,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.173-10.42.0.151-443-39793-6,172.217.2.173,443,10.42.0.151,39793,6,16/06/2017 11:20:23,44,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,1250000.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,64,0,0,0,0,0,0,2,55,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
