Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.46-10.42.0.211-443-50185-6,10.42.0.211,50185,172.217.10.46,443,6,17/06/2017 12:08:27,37220,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7345513164965,37220.0,0.0,37220.0,37220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.86727565824825,26.86727565824825,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1771,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-56521-6,10.42.0.211,56521,172.217.10.10,443,6,17/06/2017 12:08:27,36789,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.36407621843485,36789.0,0.0,36789.0,36789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.182038109217427,27.182038109217427,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1709,415,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-59996-6,10.42.0.211,59996,172.217.10.42,443,6,17/06/2017 12:08:28,36977,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.08767612299537,36977.0,0.0,36977.0,36977.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.043838061497684,27.043838061497684,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4351,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.138.252.39-47131-443-6,10.42.0.211,47131,98.138.252.39,443,6,17/06/2017 12:08:36,5700165,9,9,337.0,4536.0,211.0,0.0,37.44444444444444,77.2805135708723,1460.0,0.0,504.0000000000001,657.1048242099581,854.8875339573503,3.1578033267458046,335303.82352941175,1327291.5465471987,5485281.0,12.0,214836.0,26854.5,28246.343009822907,54730.0,12.0,5651278.0,706409.75,1932831.3418278194,5488969.0,19.0,0,0,0,0,200,192,1.5789016633729023,1.5789016633729023,0.0,1460.0,256.4736842105263,502.8274906765907,252835.4853801169,0,0,0,1,0,0,0,0,1.0,270.72222222222223,37.44444444444444,504.0,200,0,0,0,0,0,0,9,337,9,4536,65535,62,2,20,214836.0,0.0,214836.0,214836.0,5485281.0,0.0,5485281.0,5485281.0,BENIGN
10.42.0.211-98.139.180.180-33061-443-6,10.42.0.211,33061,98.139.180.180,443,6,17/06/2017 12:08:36,6096699,8,9,336.0,5024.0,210.0,0.0,42.0,80.94442537939224,1460.0,0.0,558.2222222222222,642.8290553828789,879.164282179586,2.788394178554657,381043.68749999994,1473574.0170792786,5906304.0,7.0,190326.0,27189.428571428572,31918.374931780512,88981.0,150.0,6071444.0,758930.5000000001,2081240.7374038072,5908722.0,7.0,0,0,0,0,180,192,1.3121854957904269,1.4762086827642302,0.0,1460.0,297.77777777777777,518.7217950439278,269072.3006535947,0,0,0,1,0,0,0,0,1.0,315.29411764705884,42.0,558.2222222222222,180,0,0,0,0,0,0,8,336,9,5024,65535,62,2,20,190326.0,0.0,190326.0,190326.0,5906304.0,0.0,5906304.0,5906304.0,BENIGN
10.42.0.211-98.138.252.39-35145-80-6,10.42.0.211,35145,98.138.252.39,80,6,17/06/2017 12:08:36,10361721,4,4,368.0,444.0,368.0,0.0,92.0,184.0,444.0,0.0,111.0,222.0,78.36536034892274,0.7720725157529333,1480245.8571428573,3854394.8062100243,1.0221056E7,437.0,140665.0,46888.33333333333,45426.745209549554,91216.0,437.0,1.0315176E7,3438392.0,5876803.124096553,1.0224338E7,41221.0,0,0,0,0,100,92,0.38603625787646667,0.38603625787646667,0.0,444.0,90.22222222222223,180.03456458259464,32412.444444444445,0,0,0,1,0,0,0,0,1.0,101.5,92.0,111.0,100,0,0,0,0,0,0,4,368,4,444,65535,62,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.138.252.39-47132-443-6,10.42.0.211,47132,98.138.252.39,443,6,17/06/2017 12:08:36,10397117,10,11,768.0,5531.0,431.0,0.0,76.80000000000001,144.2126516256077,1460.0,0.0,502.81818181818187,595.3059412070097,605.8410230451384,2.01979067851213,519855.85,2260257.5471286513,1.0122152E7,46.0,274919.0,30546.555555555555,32165.404105619094,82371.0,99.0,1.0350591E7,1035059.1,3194791.7717612223,1.0127017E7,46.0,0,0,0,0,220,232,0.9618050850057761,1.0579855935063538,0.0,1460.0,286.31818181818176,476.47609107694524,227029.4653679654,0,0,0,1,0,0,0,0,1.0,299.95238095238096,76.8,502.8181818181818,220,0,0,0,0,0,0,10,768,11,5531,65535,66,3,20,274919.0,0.0,274919.0,274919.0,1.0122152E7,0.0,1.0122152E7,1.0122152E7,BENIGN
10.42.0.211-63.250.200.101-39933-443-6,10.42.0.211,39933,63.250.200.101,443,6,17/06/2017 12:08:46,141831,7,10,1282.0,4717.0,872.0,0.0,183.14285714285714,318.86174045157804,1448.0,0.0,471.7000000000001,629.4277912870105,42296.81804401012,119.8609612849095,8864.4375,11860.612193130391,26796.0,10.0,114913.0,19152.166666666668,14701.45990596399,32261.0,332.0,116198.0,12910.888888888889,19684.536319433868,54108.0,10.0,0,0,0,0,232,328,49.35451347025685,70.50644781465265,0.0,1448.0,333.27777777777777,522.2189990861458,272712.6830065359,0,0,0,1,0,0,0,0,1.0,352.88235294117646,183.14285714285714,471.7,232,0,0,0,0,0,0,7,1282,10,4717,65535,3840,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-63.250.200.101-39933-443-6,10.42.0.211,39933,63.250.200.101,443,6,17/06/2017 12:08:46,1012,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1976.284584980237,1012.0,0.0,1012.0,1012.0,1012.0,1012.0,0.0,1012.0,1012.0,0,0,0,0,0,0,0,0,0,64,0,1976.284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.138.252.39-47132-443-6,10.42.0.211,47132,98.138.252.39,443,6,17/06/2017 12:08:46,806229,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.4806847682234205,806229.0,0.0,806229.0,806229.0,806229.0,806229.0,0.0,806229.0,806229.0,0,0,0,0,0,0,0,0,0,40,0,2.4806847682234205,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1643,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.221.246.132-57448-443-6,54.221.246.132,443,10.42.0.211,57448,6,17/06/2017 12:08:44,5005047,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.193748030737773,0.5993949707165587,2502523.5,3496646.5685013835,4975026.0,30021.0,5005047.0,5005047.0,0.0,5005047.0,5005047.0,0,0,0,0,0,1,0,0,0,64,32,0.39959664714437243,0.19979832357218621,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
