Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.1.170-10.42.0.211-443-56212-6,10.42.0.211,56212,172.217.1.170,443,6,17/06/2017 05:25:50,22607,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.46817357455656,22607.0,0.0,22607.0,22607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.23408678727828,44.23408678727828,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.211-443-54202-6,10.42.0.211,54202,172.217.2.110,443,6,17/06/2017 05:25:52,22508,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8572951839346,22508.0,0.0,22508.0,22508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.4286475919673,44.4286475919673,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,6655,358,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.211-443-37844-6,10.42.0.211,37844,172.217.1.170,443,6,17/06/2017 05:25:55,22473,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9956837093401,22473.0,0.0,22473.0,22473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.49784185467005,44.49784185467005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,357,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.84.218.80-37496-443-6,54.84.218.80,443,10.42.0.211,37496,6,17/06/2017 05:25:55,51,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,607843.1372549019,39215.686274509804,51.0,0.0,51.0,51.0,51.0,51.0,0.0,51.0,51.0,0,0,0,0,0,1,0,0,0,64,0,39215.686274509804,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,164,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.211-443-58881-6,10.42.0.211,58881,172.217.1.170,443,6,17/06/2017 05:25:57,22668,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23010411152285,22668.0,0.0,22668.0,22668.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.115052055761424,44.115052055761424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.84.218.80-37496-443-6,10.42.0.211,37496,54.84.218.80,443,6,17/06/2017 05:25:56,1315666,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.28021397527944,657833.0,878829.077211263,1279259.0,36407.0,1315666.0,657833.0,878829.077211263,1279259.0,36407.0,0,0,0,0,0,0,0,0,0,96,0,2.28021397527944,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.211-443-47817-6,10.42.0.211,47817,172.217.1.170,443,6,17/06/2017 05:25:57,22360,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.44543828264759,22360.0,0.0,22360.0,22360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.72271914132379,44.72271914132379,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3039,362,0,32,0,0,0,0,0,0,0,0,BENIGN
156.154.200.36-10.42.0.211-443-45183-6,10.42.0.211,45183,156.154.200.36,443,6,17/06/2017 05:26:08,602595,9,10,891.0,4987.0,368.0,0.0,99.0,153.90419097607446,1448.0,0.0,498.7,672.4973440674527,9754.478546951103,31.530298127266242,33477.49999999999,69313.69535265866,300679.0,3.0,567681.0,70960.125,94254.86199575747,300679.0,2315.0,569491.0,63276.77777777778,110024.78511428433,336438.0,3.0,0,0,0,0,296,328,14.935404376073482,16.594893751192757,0.0,1448.0,293.90000000000003,518.4718334733944,268813.0421052632,0,0,0,1,0,0,0,0,1.0,309.36842105263156,99.0,498.7,296,0,0,0,0,0,0,9,891,10,4987,65535,5271,3,32,0,0,0,0,0,0,0,0,BENIGN
156.154.200.36-10.42.0.211-443-45183-6,10.42.0.211,45183,156.154.200.36,443,6,17/06/2017 05:26:08,47082,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,63.71861858034918,23541.0,22430.84131279966,39402.0,7680.0,47082.0,23541.0,22430.84131279966,39402.0,7680.0,0,0,0,0,0,0,0,0,0,96,0,63.71861858034918,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.9.100.174-47404-443-6,10.42.0.211,47404,23.9.100.174,443,6,17/06/2017 05:26:09,370398,7,11,829.0,5771.0,486.0,0.0,118.42857142857142,183.02263716350967,1448.0,0.0,524.6363636363636,612.6124831779504,17818.670727163753,48.5963747104466,21788.117647058825,29636.666917608905,92937.0,15.0,215632.0,35938.666666666664,27891.27708561705,78299.0,372.0,348093.0,34809.3,58630.090522510516,176121.0,15.0,0,0,0,0,232,360,18.898590165173676,29.69778454527292,0.0,1448.0,347.3684210526316,515.7059035413192,265952.5789473684,0,0,0,1,0,0,0,0,1.0,366.6666666666667,118.42857142857143,524.6363636363636,232,0,0,0,0,0,0,7,829,11,5771,65535,972,3,32,0,0,0,0,0,0,0,0,BENIGN
