Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.1.170-10.42.0.211-443-44929-6,10.42.0.211,44929,172.217.1.170,443,6,17/06/2017 08:06:09,22445,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1067052795723,22445.0,0.0,22445.0,22445.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.55335263978615,44.55335263978615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2994,362,0,32,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.211-80-45659-6,10.42.0.211,45659,180.149.134.142,80,6,17/06/2017 08:06:10,795079,3,4,368.0,470.0,368.0,0.0,122.66666666666667,212.4648990617823,470.0,0.0,117.5,235.0,1053.9833148655669,8.80415656808946,132513.1666666667,166200.59154457506,339977.0,23.0,455702.0,227851.0,318649.1856603434,453170.0,2532.0,455102.0,151700.6666666667,262614.70433000004,454942.0,23.0,0,0,0,0,80,84,3.773209957752626,5.0309466103368345,0.0,470.0,104.75,195.86566095887545,38363.357142857145,0,0,0,1,0,0,0,0,1.0,119.71428571428571,122.66666666666667,117.5,80,0,0,0,0,0,0,3,368,4,470,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.211-80-45659-6,10.42.0.211,45659,180.149.134.142,80,6,17/06/2017 08:06:11,13822,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,144.69686007813633,13822.0,0.0,13822.0,13822.0,13822.0,13822.0,0.0,13822.0,13822.0,0,0,0,0,0,0,0,0,0,40,0,144.69686007813633,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-114.134.80.163-39845-80-6,10.42.0.211,39845,114.134.80.163,80,6,17/06/2017 08:06:11,1254959,4,5,384.0,498.0,384.0,0.0,96.0,192.0,498.0,0.0,99.6,222.71237055897905,702.8118050071756,7.171549030685465,156869.87500000003,267571.32037081657,760048.0,16.0,1008230.0,336076.6666666666,580390.9215436897,1006254.0,373.0,1008753.0,252188.24999999997,502820.26678351976,1006417.0,16.0,0,0,0,0,120,124,3.1873551247490957,3.9841939059363694,0.0,498.0,88.2,187.87336160296914,35296.399999999994,0,0,0,1,0,0,0,0,1.0,98.0,96.0,99.6,120,0,0,0,0,0,0,4,384,5,498,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-114.134.80.163-39845-80-6,10.42.0.211,39845,114.134.80.163,80,6,17/06/2017 08:06:13,4168,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,719.7696737044146,2084.0,2828.42712474619,4084.0,84.0,4168.0,2084.0,2828.42712474619,4084.0,84.0,0,0,0,0,0,0,0,0,0,72,0,719.7696737044146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,72,0,0,0,0,0,0,3,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
205.251.253.52-10.42.0.211-443-58862-6,10.42.0.211,58862,205.251.253.52,443,6,17/06/2017 08:06:14,5515,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,5621.033544877607,362.64732547597464,5515.0,0.0,5515.0,5515.0,5515.0,5515.0,0.0,5515.0,5515.0,0,0,0,0,0,1,0,0,0,64,0,362.64732547597464,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,16384,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.211-80-45660-6,10.42.0.211,45660,180.149.134.142,80,6,17/06/2017 08:06:11,10363856,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38595673270643666,3454618.6666666665,5683824.916147341,1.0014874E7,6702.0,1.0363856E7,5181928.0,6834817.7794168005,1.0014874E7,348982.0,0,0,0,0,0,0,0,0,0,80,32,0.2894675495298275,0.09648918317660916,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-43132-443-6,10.42.0.211,43132,74.6.105.9,443,6,17/06/2017 08:06:21,496070,8,9,992.0,5603.0,644.0,0.0,124.0,225.79636843846717,1448.0,0.0,622.5555555555555,668.7217491436761,13294.494728566533,34.26935714717681,31004.375000000004,86245.03669033175,352122.0,11.0,469422.0,67060.28571428571,126550.02683749786,352122.0,1568.0,471063.0,58882.87500000001,133624.6515285447,387183.0,11.0,0,0,0,0,264,296,16.126756304553794,18.142600842623015,0.0,1448.0,366.38888888888886,549.2910017241893,301720.6045751634,0,0,0,1,0,0,0,0,1.0,387.94117647058823,124.0,622.5555555555555,264,0,0,0,0,0,0,8,992,9,5603,65535,132,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-43132-443-6,10.42.0.211,43132,74.6.105.9,443,6,17/06/2017 08:06:21,284,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,109154.92957746478,7042.2535211267605,284.0,0.0,284.0,284.0,284.0,284.0,0.0,284.0,284.0,0,0,0,0,0,1,0,0,0,64,0,7042.2535211267605,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-114.134.80.163-34388-443-6,10.42.0.211,34388,114.134.80.163,443,6,17/06/2017 08:06:13,10505282,6,8,550.0,3424.0,342.0,0.0,91.66666666666667,148.19671611296476,1460.0,0.0,428.0,644.6064136908882,378.2858946575637,1.332662940414165,808098.6153846153,2630865.296315122,9556617.0,14.0,948619.0,189723.8,187084.304920803,432131.0,118.0,1.0257869E7,1465409.857142857,3651361.5095435483,9741334.0,14.0,0,0,0,0,140,172,0.5711412601774993,0.7615216802366658,0.0,1460.0,264.93333333333334,498.67516863136854,248676.92380952384,0,0,0,1,0,0,0,0,1.0,283.85714285714283,91.66666666666667,428.0,140,0,0,0,0,0,0,6,550,8,3424,65535,131,2,20,948619.0,0.0,948619.0,948619.0,9556617.0,0.0,9556617.0,9556617.0,BENIGN
