Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.0.234-10.42.0.151-443-60400-6,10.42.0.151,60400,172.217.0.234,443,6,17/06/2017 06:07:43,22405,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.26578888640928,22405.0,0.0,22405.0,22405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.63289444320464,44.63289444320464,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1591,375,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-36827-443-6,10.42.0.151,36827,31.13.71.3,443,6,17/06/2017 06:07:43,242881,6,7,1079.0,201.0,537.0,0.0,179.83333333333331,260.0041666332804,137.0,0.0,28.714285714285715,50.07898523237828,5270.070528365743,53.524153803714576,20240.083333333336,33209.93265564422,114687.0,8.0,98480.0,19696.0,28849.556357074194,65178.0,8.0,212877.0,35479.5,46624.59596286063,114687.0,13.0,0,0,0,0,200,232,24.703455601714417,28.820698202000155,0.0,537.0,91.4285714285714,183.1017851804393,33526.26373626374,0,0,0,1,0,0,0,0,1.0,98.46153846153847,179.83333333333334,28.714285714285715,200,0,0,0,0,0,0,6,1079,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
216.58.194.195-10.42.0.151-443-41767-6,10.42.0.151,41767,216.58.194.195,443,6,17/06/2017 06:07:43,81180,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.63661000246366,81180.0,0.0,81180.0,81180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12.31830500123183,12.31830500123183,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-36827-443-6,10.42.0.151,36827,31.13.71.3,443,6,17/06/2017 06:07:44,14461,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,2143.6968397759492,207.45453288154346,7230.5,10207.086386427813,14448.0,13.0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,0,1,0,0,0,64,32,138.30302192102897,69.15151096051449,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.151-443-60877-6,10.42.0.151,60877,172.217.0.234,443,6,17/06/2017 06:08:00,22497,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.90074232119838,22497.0,0.0,22497.0,22497.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.45037116059919,44.45037116059919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2034,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-43040-6,10.42.0.151,43040,172.217.1.174,443,6,17/06/2017 06:08:03,22536,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1020.5892793752218,133.1203407880724,11268.0,15915.559430946812,22522.0,14.0,0,0,0,0,0,14.0,14.0,0.0,14.0,14.0,1,0,0,0,32,64,44.37344692935747,88.74689385871494,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-36924-443-6,31.13.71.37,443,10.42.0.151,36924,6,17/06/2017 06:08:09,43,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,976744.1860465116,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-36924-443-6,31.13.71.37,443,10.42.0.151,36924,6,17/06/2017 06:08:09,29948,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,1402.4308801923335,166.95605716575398,7487.0,9280.285807380431,19630.0,116.0,0,0,0,0,0,20093.0,6697.666666666667,11200.324742315883,19630.0,116.0,0,0,0,0,32,140,33.391211433150794,133.56484573260317,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,133,1631,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-58540-6,10.42.0.151,58540,172.217.1.174,443,6,17/06/2017 06:08:11,22423,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1025.7325068010525,133.79119653926773,11211.5,15794.644171363912,22380.0,43.0,0,0,0,0,0,43.0,43.0,0.0,43.0,43.0,1,0,0,0,32,64,44.59706551308924,89.19413102617848,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.151-443-34506-6,10.42.0.151,34506,172.217.0.234,443,6,17/06/2017 06:08:13,372,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,61827.956989247316,5376.344086021506,372.0,0.0,372.0,372.0,372.0,372.0,0.0,372.0,372.0,0,0,0,0,0,1,0,0,0,64,0,5376.344086021506,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1591,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
