Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.37-33053-443-6,31.13.71.37,443,10.42.0.151,33053,6,17/06/2017 07:29:33,45,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,933333.3333333333,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-33053-443-6,31.13.71.37,443,10.42.0.151,33053,6,17/06/2017 07:29:33,30098,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,1395.4415575785767,166.12399494983055,7524.499999999999,14869.951120744592,29829.0,13.0,0,0,0,0,0,269.0,89.66666666666666,112.64694107401823,219.0,13.0,0,0,0,0,32,140,33.22479898996611,132.89919595986444,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,133,1631,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.174-10.42.0.151-443-47107-6,10.42.0.151,47107,172.217.2.174,443,6,17/06/2017 07:29:38,123,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,252032.52032520322,16260.162601626014,123.0,0.0,123.0,123.0,123.0,123.0,0.0,123.0,123.0,0,0,0,0,0,1,0,0,0,64,0,16260.162601626014,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.174-10.42.0.151-443-47107-6,172.217.2.174,443,10.42.0.151,47107,6,17/06/2017 07:29:38,39,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,64,0,51282.05128205128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.174-10.42.0.151-443-40072-6,10.42.0.151,40072,172.217.2.174,443,6,17/06/2017 07:29:39,22453,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1024.3620006235246,133.612434863938,11226.5,15523.115167388278,22203.0,250.0,0,0,0,0,0,250.0,250.0,0.0,250.0,250.0,1,0,0,0,32,64,44.53747828797933,89.07495657595867,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.174-10.42.0.151-443-45419-6,10.42.0.151,45419,172.217.2.174,443,6,17/06/2017 07:29:41,22568,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1019.1421481744062,132.93158454448778,11284.0,15894.346227511216,22523.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,1,0,0,0,32,64,44.31052818149592,88.62105636299184,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-32830-6,10.42.0.151,32830,172.217.0.238,443,6,17/06/2017 07:29:41,160825,8,8,979.0,4574.0,724.0,0.0,122.375,250.85450393177544,1418.0,0.0,571.7499999999999,679.3757113283174,34528.21389709311,99.48702005285249,10721.666666666666,15001.28283403345,53290.0,6.0,107484.0,15354.857142857143,12356.74827005567,27370.0,111.0,138132.0,19733.14285714286,25650.132075219233,58091.0,6.0,0,0,0,0,264,264,49.74351002642624,49.74351002642624,0.0,1418.0,326.64705882352933,535.751451371864,287029.6176470588,0,0,0,1,0,0,0,0,1.0,347.0625,122.375,571.75,264,0,0,0,0,0,0,8,979,8,4574,65535,351,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-32830-6,10.42.0.151,32830,172.217.0.238,443,6,17/06/2017 07:29:42,116,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,198275.8620689655,17241.379310344826,116.0,0.0,116.0,116.0,116.0,116.0,0.0,116.0,116.0,0,0,0,0,0,1,0,0,0,64,0,17241.379310344826,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1502,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-57670-443-6,10.42.0.151,57670,31.13.71.3,443,6,17/06/2017 07:29:51,411393,8,9,1081.0,475.0,537.0,0.0,135.125,235.41722081687834,137.0,0.0,52.77777777777778,64.50538306563604,3782.2714533305134,41.32301716363671,25712.062500000007,39061.30522732824,108874.0,13.0,272719.0,38959.857142857145,88757.28043270324,238449.0,16.0,381423.0,47677.875,47143.8841282348,108874.0,13.0,0,0,0,0,288,296,19.446125724064338,21.87689143957238,0.0,537.0,86.44444444444444,164.11410027324504,26933.437908496733,0,0,0,1,0,0,0,0,1.0,91.52941176470588,135.125,52.77777777777778,288,0,0,0,0,0,0,8,1081,9,475,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-54.82.134.134-37277-443-6,54.82.134.134,443,10.42.0.151,37277,6,17/06/2017 07:29:59,45,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,688888.8888888889,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,227,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
