Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.37-43425-443-6,31.13.71.37,443,10.42.0.151,43425,6,17/06/2017 08:52:28,43,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,976744.1860465116,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-43425-443-6,31.13.71.37,443,10.42.0.151,43425,6,17/06/2017 08:52:28,32085,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,1309.0229079008882,155.83606046439144,8021.249999999999,15702.659591610589,31574.0,14.0,0,0,0,0,0,511.0,170.33333333333331,197.28743835666106,392.0,14.0,0,0,0,0,32,140,31.16721209287829,124.66884837151316,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,133,1631,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-36778-6,10.42.0.151,36778,172.217.0.238,443,6,17/06/2017 08:52:37,22611,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1017.2040157445491,132.6787846623325,11305.5,15924.751819102237,22566.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,1,0,0,0,32,64,44.226261554110835,88.45252310822167,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-40305-6,10.42.0.151,40305,172.217.0.238,443,6,17/06/2017 08:52:47,22304,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1031.2051649928264,134.50502152080344,11152.0,15728.883240713563,22274.0,30.0,0,0,0,0,0,30.0,30.0,0.0,30.0,30.0,1,0,0,0,32,64,44.83500717360115,89.6700143472023,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-54818-6,10.42.0.151,54818,172.217.0.238,443,6,17/06/2017 08:52:48,22477,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1023.2682297459626,88.97984606486631,22477.0,0.0,22477.0,22477.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,44.489923032433154,44.489923032433154,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1386,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-42133-6,10.42.0.151,42133,172.217.0.238,443,6,17/06/2017 08:52:48,22506,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1021.9497023016083,133.29778725673154,11253.0,15850.50560707765,22461.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,1,0,0,0,32,64,44.43259575224384,88.86519150448768,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-43350-443-6,10.42.0.151,43350,31.13.71.3,443,6,17/06/2017 08:52:49,207011,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,6192.9076232663965,62.79859524373101,17250.916666666664,31316.422335597577,107899.0,15.0,69234.0,13846.8,18343.09366491923,34481.0,49.0,177074.0,29512.333333333336,41936.8286243329,107899.0,15.0,0,0,0,0,200,232,28.98396703556816,33.81462820816285,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-43350-443-6,31.13.71.3,443,10.42.0.151,43350,6,17/06/2017 08:52:49,100168,2,3,64.0,31.0,64.0,0.0,32.0,45.254833995939045,31.0,0.0,10.333333333333332,17.8978583448784,948.4066767830046,49.91614088331603,25042.0,45871.184208244136,93727.0,116.0,100168.0,100168.0,0.0,100168.0,100168.0,438.0,219.0,145.6639969244288,322.0,116.0,0,0,0,0,64,108,19.966456353326414,29.949684529989618,0.0,64.0,15.833333333333332,26.65645637864618,710.5666666666666,0,0,0,0,1,1,0,0,1.0,19.0,32.0,10.333333333333334,64,0,0,0,0,0,0,2,64,3,31,122,1369,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-54618-6,10.42.0.151,54618,172.217.0.238,443,6,17/06/2017 08:52:50,115,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,200000.0,17391.304347826088,115.0,0.0,115.0,115.0,115.0,115.0,0.0,115.0,115.0,0,0,0,0,0,1,0,0,0,64,0,17391.304347826088,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1537,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-54618-6,172.217.0.238,443,10.42.0.151,54618,6,17/06/2017 08:52:50,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,64,0,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,533,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
