Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.2.106-10.42.0.151-443-47917-6,10.42.0.151,47917,172.217.2.106,443,6,17/06/2017 01:31:54,30,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,766666.6666666666,66666.66666666667,30.0,0.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,0,0,0,0,0,1,0,0,0,64,0,66666.66666666667,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1546,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.106-10.42.0.151-443-47917-6,172.217.2.106,443,10.42.0.151,47917,6,17/06/2017 01:31:54,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.17.131-10.42.0.151-443-54526-6,10.42.0.151,54526,172.217.17.131,443,6,17/06/2017 01:31:54,119360,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75603217158177,119360.0,0.0,119360.0,119360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.378016085790884,8.378016085790884,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1502,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-34716-6,10.42.0.151,34716,172.217.1.174,443,6,17/06/2017 01:31:56,22445,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1024.7271107150814,133.66005791935842,11222.5,15805.957879862897,22399.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,44.55335263978615,89.1067052795723,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1386,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-34716-6,172.217.1.174,443,10.42.0.151,34716,6,17/06/2017 01:31:56,229231,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.724823431385808,229231.0,0.0,229231.0,229231.0,229231.0,229231.0,0.0,229231.0,229231.0,0,0,0,0,0,0,0,0,0,64,0,8.724823431385808,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.106-10.42.0.151-443-39115-6,10.42.0.151,39115,172.217.2.106,443,6,17/06/2017 01:31:58,333980,11,11,1240.0,4574.0,963.0,0.0,112.72727272727272,287.03696309328905,1418.0,0.0,415.8181818181818,557.0168432250174,17408.22803760704,65.87220791664171,15903.809523809525,28930.710507381336,122970.0,5.0,312058.0,31205.800000000003,40676.09520699951,122970.0,212.0,311432.0,31143.199999999993,47371.89361448645,148880.0,5.0,0,0,0,0,360,360,32.93610395832086,32.93610395832086,0.0,1418.0,252.78260869565216,452.19846372238527,204483.45059288538,0,0,0,1,0,0,0,0,1.0,264.27272727272725,112.72727272727273,415.8181818181818,360,0,0,0,0,0,0,11,1240,11,4574,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-46035-6,10.42.0.151,46035,172.217.1.174,443,6,17/06/2017 01:31:58,97,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,319587.6288659794,20618.556701030928,97.0,0.0,97.0,97.0,97.0,97.0,0.0,97.0,97.0,0,0,0,0,0,1,0,0,0,64,0,20618.556701030928,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-46035-6,172.217.1.174,443,10.42.0.151,46035,6,17/06/2017 01:31:58,209,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9569.377990430621,209.0,0.0,209.0,209.0,209.0,209.0,0.0,209.0,209.0,0,0,0,0,0,0,0,0,0,64,0,9569.377990430621,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-46147-443-6,31.13.71.37,443,10.42.0.151,46147,6,17/06/2017 01:32:00,43,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,976744.1860465116,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-46147-443-6,10.42.0.151,46147,31.13.71.37,443,6,17/06/2017 01:32:00,4535,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,9261.30099228225,661.5214994487321,2267.5,3181.2734085582774,4517.0,18.0,4535.0,2267.5,3181.2734085582774,4517.0,18.0,0,0,0,0,0,0,0,0,0,96,0,661.5214994487321,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1631,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
