Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.234-10.42.0.151-443-34716-6,10.42.0.151,34716,172.217.10.234,443,6,17/06/2017 07:29:57,36863,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25494398177034,36863.0,0.0,36863.0,36863.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.12747199088517,27.12747199088517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2034,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-51683-6,10.42.0.151,51683,172.217.1.174,443,6,17/06/2017 07:29:58,22465,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1023.8148230580904,133.54106387714222,11232.5,15820.100015486627,22419.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,44.51368795904741,89.02737591809482,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,349,0,32,0,0,0,0,0,0,0,0,BENIGN
137.116.195.37-10.42.0.151-443-43986-6,10.42.0.151,43986,137.116.195.37,443,6,17/06/2017 07:29:59,3365887,12,6,1391.0,4224.0,885.0,0.0,115.91666666666667,255.45946425761542,1448.0,0.0,704.0,629.0186006788671,1668.2081127500717,5.34777311300112,197993.35294117648,290916.63406226475,885680.0,6.0,3365887.0,305989.72727272724,320375.9025679338,885680.0,112.0,2784648.0,556929.6,531270.8286714979,1090370.0,6.0,0,0,0,0,392,200,3.56518207533408,1.78259103766704,0.0,1448.0,295.52631578947376,481.417625170248,231762.9298245614,0,0,0,1,0,0,0,0,0.0,311.94444444444446,115.91666666666667,704.0,392,0,0,0,0,0,0,12,1391,6,4224,65535,510,4,32,0,0,0,0,0,0,0,0,BENIGN
137.116.195.37-10.42.0.151-443-43986-6,137.116.195.37,443,10.42.0.151,43986,6,17/06/2017 07:30:03,33606,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,59.51318216985063,33606.0,0.0,33606.0,33606.0,33606.0,33606.0,0.0,33606.0,33606.0,0,0,0,0,0,0,0,0,0,64,0,59.51318216985063,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.17.67-10.42.0.151-443-38529-6,10.42.0.151,38529,172.217.17.67,443,6,17/06/2017 07:30:03,119077,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.795854783039545,119077.0,0.0,119077.0,119077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.397927391519772,8.397927391519772,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1502,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.65.1-36326-443-6,31.13.65.1,443,10.42.0.151,36326,6,17/06/2017 07:30:04,47,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,893617.0212765958,42553.19148936171,47.0,0.0,47.0,47.0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,0,1,0,0,0,64,0,42553.19148936171,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,174,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.65.1-36326-443-6,10.42.0.151,36326,31.13.65.1,443,6,17/06/2017 07:30:04,109,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,385321.1009174312,18348.623853211007,109.0,0.0,109.0,109.0,109.0,109.0,0.0,109.0,109.0,0,0,0,0,0,1,0,0,0,64,0,18348.623853211007,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1576,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-52957-443-6,10.42.0.151,52957,31.13.71.3,443,6,17/06/2017 07:30:04,204842,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,6253.600335868621,63.46354751466984,17070.166666666664,31690.117432391882,108863.0,14.0,65921.0,13184.2,17294.509437969034,32431.0,116.0,174987.0,29164.5,42213.006923222136,108863.0,14.0,0,0,0,0,200,232,29.290868083693773,34.17267943097607,0.0,537.0,91.50000000000001,183.26976753493113,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846153,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-52957-443-6,10.42.0.151,52957,31.13.71.3,443,6,17/06/2017 07:30:04,18347,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1689.6495339837577,163.51447103068622,9173.5,12810.653554756682,18232.0,115.0,115.0,115.0,0.0,115.0,115.0,0,0,0,0,0,1,0,0,0,64,32,109.00964735379081,54.504823676895406,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.101.151.89-48166-443-6,10.42.0.151,48166,23.101.151.89,443,6,17/06/2017 07:30:05,727311,11,8,3091.0,3931.0,1428.0,0.0,281.0,475.94243349379974,1448.0,0.0,491.375,627.0000996810129,9654.7419192065,26.12362524422152,40406.166666666664,40137.91342249575,138960.0,21.0,572396.0,57239.600000000006,60682.625033310265,191207.0,114.0,676711.0,96673.0,76949.86927430957,193789.0,21.0,0,0,0,0,360,264,15.124204088759829,10.999421155461693,0.0,1448.0,351.1,530.7322548289197,281676.72631578945,0,0,0,1,0,0,0,0,0.0,369.57894736842104,281.0,491.375,360,0,0,0,0,0,0,11,3091,8,3931,65535,513,5,32,0,0,0,0,0,0,0,0,BENIGN
