Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.37-52599-443-6,31.13.71.37,443,10.42.0.151,52599,6,18/06/2017 12:47:33,45,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,933333.3333333333,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-52599-443-6,10.42.0.151,52599,31.13.71.37,443,6,18/06/2017 12:47:33,2213,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,18978.76186172616,1355.6258472661546,1106.5,519.7234841721124,1474.0,739.0,2213.0,1106.5,519.7234841721124,1474.0,739.0,0,0,0,0,0,0,0,0,0,96,0,1355.6258472661546,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1631,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-44731-6,10.42.0.151,44731,172.217.1.174,443,6,18/06/2017 12:47:47,14002,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,2213.9694329381514,142.836737608913,14002.0,0.0,14002.0,14002.0,14002.0,14002.0,0.0,14002.0,14002.0,0,0,0,0,0,1,0,0,0,64,0,142.836737608913,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-44731-6,172.217.1.174,443,10.42.0.151,44731,6,18/06/2017 12:47:47,46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,0,0,0,0,64,0,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.151-443-51308-6,10.42.0.151,51308,172.217.1.170,443,6,18/06/2017 12:47:48,22653,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.28852690592858,22653.0,0.0,22653.0,22653.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.14426345296429,44.14426345296429,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4205,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-64.71.142.95-37814-443-6,10.42.0.151,37814,64.71.142.95,443,6,18/06/2017 12:47:52,198952,8,5,327.0,3059.0,201.0,0.0,40.875,78.29511479013235,1460.0,0.0,611.8,776.3737502002499,17019.180505850658,65.34239414532149,16579.333333333332,26779.09755874171,72080.0,17.0,198952.0,28421.714285714286,33322.59559575297,77507.0,55.0,86809.0,21702.25,41431.062665388316,83822.0,17.0,0,0,0,0,180,112,40.21070408942861,25.13169005589288,0.0,1460.0,241.85714285714286,520.3452784365481,270759.2087912088,0,0,0,1,0,0,0,0,0.0,260.46153846153845,40.875,611.8,180,0,0,0,0,0,0,8,327,5,3059,65535,31,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-64.71.142.95-37815-443-6,10.42.0.151,37815,64.71.142.95,443,6,18/06/2017 12:47:52,198547,8,5,327.0,3059.0,201.0,0.0,40.875,78.29511479013235,1460.0,0.0,611.8,776.3737502002499,17053.896558497483,65.47568082116577,16545.583333333332,27105.46656524652,72579.0,25.0,198547.0,28363.85714285714,33513.2698515507,77572.0,198.0,87470.0,21867.5,41256.562576960605,83709.0,25.0,0,0,0,0,180,112,40.29272665917893,25.182954161986835,0.0,1460.0,241.85714285714286,520.3452784365481,270759.2087912088,0,0,0,1,0,0,0,0,0.0,260.46153846153845,40.875,611.8,180,0,0,0,0,0,0,8,327,5,3059,65535,31,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-64.71.142.95-37816-443-6,10.42.0.151,37816,64.71.142.95,443,6,18/06/2017 12:47:52,198236,8,5,327.0,3059.0,201.0,0.0,40.875,78.29511479013235,1460.0,0.0,611.8,776.3737502002499,17080.65134486168,65.57840150124095,16519.666666666668,27957.295363833142,72531.0,8.0,198236.0,28319.428571428572,35468.04269976539,79432.0,47.0,87902.0,21975.5,40742.856793144325,82996.0,8.0,0,0,0,0,180,112,40.355939385379045,25.2224621158619,0.0,1460.0,241.85714285714286,520.3452784365481,270759.2087912088,0,0,0,1,0,0,0,0,0.0,260.46153846153845,40.875,611.8,180,0,0,0,0,0,0,8,327,5,3059,65535,31,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-64.71.142.95-37814-443-6,64.71.142.95,443,10.42.0.151,37814,6,18/06/2017 12:47:52,15468,2,1,273.0,0.0,242.0,31.0,136.5,149.19953083036154,0.0,0.0,0.0,0.0,17649.34057408844,193.94879751745538,7734.0,4823.882461254627,11145.0,4323.0,15468.0,15468.0,0.0,15468.0,15468.0,0,0,0,0,0,1,0,0,0,40,20,129.29919834497025,64.64959917248513,0.0,242.0,128.75,131.38080783229591,17260.916666666668,0,1,0,0,1,0,0,0,0.0,171.66666666666666,136.5,0.0,40,0,0,0,0,0,0,2,273,1,0,31,0,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-64.71.142.95-37815-443-6,64.71.142.95,443,10.42.0.151,37815,6,18/06/2017 12:47:52,8538,2,1,273.0,0.0,242.0,31.0,136.5,149.19953083036154,0.0,0.0,0.0,0.0,31974.701335207308,351.3703443429374,4269.0,3637.3572824236003,6841.0,1697.0,8538.0,8538.0,0.0,8538.0,8538.0,0,0,0,0,0,1,0,0,0,40,20,234.24689622862496,117.12344811431248,0.0,242.0,128.75,131.38080783229591,17260.916666666668,0,1,0,0,1,0,0,0,0.0,171.66666666666666,136.5,0.0,40,0,0,0,0,0,0,2,273,1,0,31,0,1,20,0,0,0,0,0,0,0,0,BENIGN
