Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.2.174-10.42.0.151-443-39069-6,10.42.0.151,39069,172.217.2.174,443,6,18/06/2017 03:02:49,22395,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1027.0149586961375,89.30564858227282,22395.0,0.0,22395.0,22395.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,44.65282429113641,44.65282429113641,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1386,468,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-41741-443-6,10.42.0.151,41741,31.13.71.3,443,6,18/06/2017 03:02:58,234146,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,5475.216318023798,55.520914301333356,19512.166666666664,32677.113021566674,113527.0,14.0,90799.0,18159.8,25751.824900383275,57125.0,325.0,204124.0,34020.666666666664,45488.245873705295,113527.0,14.0,0,0,0,0,200,232,25.625037369846165,29.895876931487194,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-41741-443-6,10.42.0.151,41741,31.13.71.3,443,6,18/06/2017 03:02:58,7834,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,3957.1100331886646,382.9461322440643,3917.0,5379.668391267253,7721.0,113.0,113.0,113.0,0.0,113.0,113.0,0,0,0,0,0,1,0,0,0,64,32,255.29742149604286,127.64871074802143,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.98-10.42.0.151-443-46710-6,10.42.0.151,46710,172.217.2.98,443,6,18/06/2017 03:03:04,74,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,310810.8108108108,27027.027027027027,74.0,0.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,0,0,0,0,0,1,0,0,0,64,0,27027.027027027027,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1546,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.98-10.42.0.151-443-46710-6,172.217.2.98,443,10.42.0.151,46710,6,18/06/2017 03:03:04,46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,0,0,0,0,64,0,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-50.19.100.110-41727-443-6,50.19.100.110,443,10.42.0.151,41727,6,18/06/2017 03:03:01,5014617,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.181927752408608,0.5982510728137362,2507308.5,3390847.83768669,4905000.0,109617.0,5014617.0,5014617.0,0.0,5014617.0,5014617.0,0,0,0,0,0,1,0,0,0,64,32,0.3988340485424909,0.19941702427124544,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-50.16.222.66-46000-443-6,50.16.222.66,443,10.42.0.151,46000,6,18/06/2017 03:03:02,5007379,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.190863523611854,0.5991158248656632,2503689.5,3520377.072078004,4992972.0,14407.0,5007379.0,5007379.0,0.0,5007379.0,5007379.0,0,0,0,0,0,1,0,0,0,64,32,0.39941054991044217,0.19970527495522108,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,70,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-41742-443-6,10.42.0.151,41742,31.13.71.3,443,6,18/06/2017 03:03:43,417607,6,8,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,25.124999999999996,47.46257924482643,3069.8719130665913,33.52434226437775,32123.615384615383,38735.96397091998,109486.0,13.0,278359.0,55671.799999999996,70605.32638335439,170521.0,49.0,387654.0,55379.142857142855,59447.528469591205,131169.0,13.0,0,0,0,0,200,264,14.367575256161894,19.15676700821586,0.0,537.0,85.46666666666667,178.33951035141078,31804.980952380953,0,0,0,1,0,0,0,0,1.0,91.57142857142857,180.16666666666666,25.125,200,0,0,0,0,0,0,6,1081,8,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-41742-443-6,10.42.0.151,41742,31.13.71.3,443,6,18/06/2017 03:03:44,24890,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1245.480112494978,120.53033346725593,12445.0,16731.560656436086,24276.0,614.0,614.0,614.0,0.0,614.0,614.0,0,0,0,0,0,1,0,0,0,64,32,80.35355564483729,40.17677782241864,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
156.154.202.36-10.42.0.151-443-40149-6,10.42.0.151,40149,156.154.202.36,443,6,18/06/2017 03:03:49,567076,11,11,1004.0,4871.0,487.0,0.0,91.27272727272727,169.1910700415899,1448.0,0.0,442.8181818181819,655.2019258490955,10360.163364346225,38.79550536436033,27003.61904761905,45106.4534135374,182003.0,17.0,503513.0,50351.3,56193.950623512654,182003.0,44.0,504438.0,50443.8,80880.29091716006,246758.0,17.0,0,0,0,0,360,360,19.397752682180165,19.397752682180165,0.0,1448.0,255.43478260869566,492.0771212733147,242139.89328063242,0,0,0,1,0,0,0,0,1.0,267.04545454545456,91.27272727272727,442.8181818181818,360,0,0,0,0,0,0,11,1004,11,4871,65535,5384,3,32,0,0,0,0,0,0,0,0,BENIGN
