Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.206-10.42.0.151-443-46851-6,10.42.0.151,46851,172.217.12.206,443,6,18/06/2017 06:40:08,583495,11,12,1272.0,6272.0,787.0,0.0,115.63636363636363,236.28807533486437,1418.0,0.0,522.6666666666666,655.391254877342,12928.988251827352,39.417647109229726,26522.5,55391.44445004034,257916.0,5.0,536970.0,53697.0,91503.21075969594,295242.0,65.0,546317.0,49665.18181818183,87830.07630398392,269904.0,5.0,0,0,0,0,372,404,18.85191818267509,20.56572892655464,0.0,1418.0,314.33333333333326,524.9082459503439,275528.66666666674,0,0,0,1,0,0,0,0,1.0,328.0,115.63636363636364,522.6666666666666,372,0,0,0,0,0,0,11,1272,12,6272,65535,352,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-53438-6,10.42.0.151,53438,172.217.12.206,443,6,18/06/2017 06:40:09,37215,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.0303641004972,80.61265618702137,18607.5,26289.52301773465,37197.0,18.0,0,0,0,0,0,18.0,18.0,0.0,18.0,18.0,1,0,0,0,32,64,26.87088539567379,53.74177079134758,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.140-10.42.0.151-443-44051-6,10.42.0.151,44051,206.126.112.140,443,6,18/06/2017 06:40:09,1006607,213,860,1030.0,1235606.0,641.0,0.0,4.835680751173711,47.412344584421696,1448.0,0.0,1436.7511627906968,109.99452176451332,1228519.1738185806,1065.9572206432103,938.9990671641775,13389.421959513289,424128.0,-3.0,1006607.0,4748.146226415091,37976.97218054927,541125.0,5.0,940053.0,1094.3573923166477,15065.39748957771,424128.0,2.0,0,0,0,0,6824,27528,211.60194594315357,854.3552747000567,0.0,1448.0,1151.4301675977654,581.0239116356768,337588.7858924228,0,0,0,1,0,0,0,0,4.0,1152.5032618825721,4.835680751173709,1436.7511627906977,6824,0,0,0,0,0,0,213,1030,860,1235606,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.151-443-60037-6,10.42.0.151,60037,172.217.1.170,443,6,18/06/2017 06:40:13,22519,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.81389049247302,22519.0,0.0,22519.0,22519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.40694524623651,44.40694524623651,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.151-443-44671-6,10.42.0.151,44671,172.217.1.170,443,6,18/06/2017 06:40:14,22416,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.22198429693077,22416.0,0.0,22416.0,22416.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.610992148465385,44.610992148465385,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-39661-443-6,31.13.71.37,443,10.42.0.151,39661,6,18/06/2017 06:40:17,45,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,933333.3333333333,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-39661-443-6,10.42.0.151,39661,31.13.71.37,443,6,18/06/2017 06:40:17,69,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,608695.6521739131,28985.507246376812,69.0,0.0,69.0,69.0,69.0,69.0,0.0,69.0,69.0,0,0,0,0,0,1,0,0,0,64,0,28985.507246376812,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1631,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-38431-6,10.42.0.151,38431,172.217.12.206,443,6,18/06/2017 06:40:19,69,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,449275.3623188406,28985.507246376812,69.0,0.0,69.0,69.0,69.0,69.0,0.0,69.0,69.0,0,0,0,0,0,1,0,0,0,64,0,28985.507246376812,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1403,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-38431-6,172.217.12.206,443,10.42.0.151,38431,6,18/06/2017 06:40:19,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,357,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-35287-6,10.42.0.151,35287,172.217.12.206,443,6,18/06/2017 06:40:21,36704,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.6346992153443,54.48997384481255,36704.0,0.0,36704.0,36704.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.244986922406277,27.244986922406277,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
