Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.17.35-10.42.0.151-443-51337-6,10.42.0.151,51337,172.217.17.35,443,6,18/06/2017 05:17:37,119818,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.69198284064164,119818.0,0.0,119818.0,119818.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.34599142032082,8.34599142032082,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1502,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-45534-443-6,10.42.0.151,45534,31.13.71.3,443,6,18/06/2017 05:17:38,269802,7,8,1079.0,338.0,537.0,0.0,154.14285714285714,246.89095337242077,137.0,0.0,42.25,60.127839998266545,5251.999614532138,55.596326194765055,19271.57142857143,32291.736336845555,108733.0,21.0,160638.0,26773.000000000004,37111.57519157601,96269.0,283.0,239645.0,34235.0,47872.38990274038,108733.0,21.0,0,0,0,0,244,264,25.94495222422369,29.65137397054136,0.0,537.0,88.5625,172.4617711262412,29743.0625,0,0,0,1,0,0,0,0,1.0,94.46666666666667,154.14285714285714,42.25,244,0,0,0,0,0,0,7,1079,8,338,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-45534-443-6,10.42.0.151,45534,31.13.71.3,443,6,18/06/2017 05:17:38,15490,4,1,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0.0,0.0,0.0,0.0,2001.291155584248,322.78889606197544,3872.5,7251.811245015506,14750.0,182.0,740.0,246.66666666666666,56.08327142146162,282.0,182.0,0,0,0,0,0,0,0,0,0,128,32,258.23111684958036,64.55777921239509,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,7.75,0.0,128,0,0,0,0,0,0,4,31,1,0,1369,122,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.208.28.54-35885-443-6,10.42.0.151,35885,104.208.28.54,443,6,18/06/2017 05:17:42,180035,3,2,2490.0,469.0,1428.0,501.0,830.0,518.7513855403183,469.0,0.0,234.5,331.6330803764908,16435.69305968284,27.772377593245757,45008.75,32981.965904364566,79484.0,69.0,129268.0,64634.0,91308.69865461889,129199.0,69.0,130251.0,130251.0,0.0,130251.0,130251.0,1,0,0,0,96,64,16.663426555947456,11.108951037298302,0.0,1428.0,576.6666666666667,464.8873698721731,216120.2666666667,0,1,0,0,1,0,0,0,0.0,692.0,830.0,234.5,96,0,0,0,0,0,0,3,2490,2,469,1686,512,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.208.28.54-35885-443-6,10.42.0.151,35885,104.208.28.54,443,6,18/06/2017 05:17:42,14938,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,5690.186102557237,133.88673182487616,14938.0,0.0,14938.0,14938.0,14938.0,14938.0,0.0,14938.0,14938.0,0,0,0,0,0,1,0,0,0,64,0,133.88673182487616,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,64,0,0,0,0,0,0,2,85,0,0,1731,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.170-10.42.0.151-443-59714-6,10.42.0.151,59714,172.217.2.170,443,6,18/06/2017 05:17:44,22357,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.45744062262379,22357.0,0.0,22357.0,22357.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.728720311311896,44.728720311311896,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.20.67-10.42.0.151-443-49178-6,10.42.0.151,49178,172.217.20.67,443,6,18/06/2017 05:17:44,120412,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.609640235192504,120412.0,0.0,120412.0,120412.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.304820117596252,8.304820117596252,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1502,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.227-10.42.0.151-443-39963-6,10.42.0.151,39963,172.217.0.227,443,6,18/06/2017 05:17:46,22545,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.71146595697495,22545.0,0.0,22545.0,22545.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.355732978487474,44.355732978487474,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.151-443-38821-6,10.42.0.151,38821,172.217.1.170,443,6,18/06/2017 05:17:46,22421,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.20208732884349,22421.0,0.0,22421.0,22421.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.601043664421745,44.601043664421745,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.151-443-58824-6,10.42.0.151,58824,172.217.1.170,443,6,18/06/2017 05:17:47,22710,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.06693086745926,22710.0,0.0,22710.0,22710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.03346543372963,44.03346543372963,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,BENIGN
