Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.37-41869-443-6,31.13.71.37,443,10.42.0.151,41869,6,18/06/2017 07:07:38,43,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,976744.1860465116,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-41869-443-6,31.13.71.37,443,10.42.0.151,41869,6,18/06/2017 07:07:38,57577,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,729.4579432759608,86.84023134237628,14394.250000000002,28563.928935809934,57240.0,21.0,0,0,0,0,0,337.0,112.33333333333334,90.51150939705586,202.0,21.0,0,0,0,0,32,140,17.368046268475258,69.47218507390103,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,133,1631,0,32,0,0,0,0,0,0,0,0,BENIGN
5.153.21.5-10.42.0.151-80-41971-6,10.42.0.151,41971,5.153.21.5,80,6,18/06/2017 07:07:45,111076,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.00568979797616,111076.0,0.0,111076.0,111076.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9.00284489898808,9.00284489898808,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-103.235.46.39-40477-80-6,10.42.0.151,40477,103.235.46.39,80,6,18/06/2017 07:07:41,6589742,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6070040374873553,2196580.666666667,3534227.589122881,6275302.0,39794.0,314440.0,314440.0,0.0,314440.0,314440.0,6315096.0,6315096.0,0.0,6315096.0,6315096.0,0,0,0,0,60,60,0.30350201874367766,0.30350201874367766,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-103.235.46.39-40478-80-6,10.42.0.151,40478,103.235.46.39,80,6,18/06/2017 07:07:42,6565313,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092626505392812,2188437.666666667,3538987.8731742403,6272335.0,20902.0,292978.0,292978.0,0.0,292978.0,292978.0,6293237.0,6293237.0,0.0,6293237.0,6293237.0,0,0,0,0,60,60,0.3046313252696406,0.3046313252696406,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,776,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-35375-6,10.42.0.151,35375,172.217.1.174,443,6,18/06/2017 07:07:49,266,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,116541.35338345864,7518.796992481202,266.0,0.0,266.0,266.0,266.0,266.0,0.0,266.0,266.0,0,0,0,0,0,1,0,0,0,64,0,7518.796992481202,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.151-443-35375-6,172.217.1.174,443,10.42.0.151,35375,6,18/06/2017 07:07:49,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-103.235.46.39-40477-80-6,10.42.0.151,40477,103.235.46.39,80,6,18/06/2017 07:07:48,6275292,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3187102687811181,6275292.0,0.0,6275292.0,6275292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.15935513439055904,0.15935513439055904,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,1369,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-103.235.46.39-40478-80-6,10.42.0.151,40478,103.235.46.39,80,6,18/06/2017 07:07:48,6272433,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31885553819387147,6272433.0,0.0,6272433.0,6272433.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.15942776909693573,0.15942776909693573,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,1369,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-103.235.46.39-40478-80-6,103.235.46.39,80,10.42.0.151,40478,6,18/06/2017 07:07:55,402290,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.971537945263368,402290.0,0.0,402290.0,402290.0,402290.0,402290.0,0.0,402290.0,402290.0,0,0,0,0,0,0,0,0,0,40,0,4.971537945263368,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,776,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
