Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.1.170-10.42.0.211-443-39494-6,10.42.0.211,39494,172.217.1.170,443,6,19/06/2017 09:13:22,22466,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.02341315766047,22466.0,0.0,22466.0,22466.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.511706578830236,44.511706578830236,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4305,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.97-10.42.0.211-443-49924-6,10.42.0.211,49924,172.217.2.97,443,6,19/06/2017 09:13:22,22675,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.20286659316427,22675.0,0.0,22675.0,22675.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.10143329658214,44.10143329658214,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.100-10.42.0.211-443-46579-6,10.42.0.211,46579,172.217.2.100,443,6,19/06/2017 09:13:22,22483,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.95610016456878,22483.0,0.0,22483.0,22483.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.47805008228439,44.47805008228439,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.211-443-59667-6,10.42.0.211,59667,172.217.1.170,443,6,19/06/2017 09:13:22,22447,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.09876598209114,22447.0,0.0,22447.0,22447.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.54938299104557,44.54938299104557,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.0.207-10.42.0.211-443-45948-6,10.42.0.211,45948,151.101.0.207,443,6,19/06/2017 09:13:22,4772186,7,3,3758.0,615.0,1448.0,0.0,536.8571428571428,648.7106259269044,615.0,0.0,205.0,355.0704155516198,916.351542039644,2.0954757421441665,530242.8888888889,1573361.952287477,4725812.0,108.0,4772186.0,795364.3333333334,1925599.8374111552,4725812.0,108.0,25439.0,12719.5,17126.83334711937,24830.0,609.0,1,0,0,0,224,96,1.4668330195009165,0.6286427226432499,0.0,1448.0,431.90909090909093,548.777815613105,301157.090909091,0,1,0,0,1,0,0,0,0.0,475.1,536.8571428571429,205.0,224,0,0,0,0,0,0,7,3758,3,615,1595,76,4,32,0,0,0,0,0,0,0,0,BENIGN
151.101.0.207-10.42.0.211-443-45948-6,151.101.0.207,443,10.42.0.211,45948,6,19/06/2017 09:13:27,43,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,720930.2325581395,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,76,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.23.101.152-34891-443-6,23.23.101.152,443,10.42.0.211,34891,6,19/06/2017 09:13:28,5020925,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.174161135647316,0.5974994647400629,2510462.5,3541505.422699858,5014685.0,6240.0,5020925.0,5020925.0,0.0,5020925.0,5020925.0,0,0,0,0,0,1,0,0,0,64,32,0.39833297649337523,0.19916648824668762,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,126,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-45679-6,10.42.0.211,45679,205.204.101.182,443,6,19/06/2017 09:13:29,5318040,8,9,739.0,3637.0,402.0,0.0,92.37500000000001,148.19672012950508,1452.0,0.0,404.1111111111111,610.0236561897507,822.8595497589338,3.196666441019624,332377.49999999994,1244139.795565434,4996424.0,8.0,321560.0,45937.142857142855,44826.85798502415,96118.0,939.0,5230651.0,653831.3750000001,1756869.8900401522,5000301.0,8.0,0,0,0,0,180,200,1.5043136193033524,1.6923528217162715,0.0,1452.0,243.11111111111114,460.4939660956021,212054.69281045752,0,0,0,1,0,0,0,0,1.0,257.4117647058824,92.375,404.1111111111111,180,0,0,0,0,0,0,8,739,9,3637,65535,16616,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.94.27-54820-443-6,10.42.0.211,54820,106.11.94.27,443,6,19/06/2017 09:13:30,6221903,10,9,1122.0,3725.0,784.0,0.0,112.2,247.11391884895696,1452.0,0.0,413.88888888888886,610.6724663116155,779.0221094735806,3.053728095728911,345661.27777777775,1165495.57315372,4990898.0,16.0,1230959.0,136773.22222222222,155840.01601384173,360507.0,83.0,5909489.0,738686.1249999999,1728448.4864814817,4999932.0,16.0,0,0,0,0,220,200,1.6072253135415322,1.446502782187379,0.0,1452.0,242.35,460.31502656790434,211889.9236842105,0,0,0,1,0,0,0,0,0.0,255.10526315789474,112.2,413.8888888888889,220,0,0,0,0,0,0,10,1122,9,3725,65535,16464,3,20,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.211-443-35234-6,10.42.0.211,35234,172.217.1.170,443,6,19/06/2017 09:13:42,89,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,348314.6067415731,22471.91011235955,89.0,0.0,89.0,89.0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,0,1,0,0,0,64,0,22471.91011235955,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1420,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
