Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.138-10.42.0.211-443-34998-6,10.42.0.211,34998,172.217.12.138,443,6,19/06/2017 12:40:56,37122,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.87640752114649,37122.0,0.0,37122.0,37122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.938203760573245,26.938203760573245,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3039,362,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.0.207-10.42.0.211-443-41810-6,10.42.0.211,41810,151.101.0.207,443,6,19/06/2017 12:40:52,9900901,10,5,4532.0,1230.0,1448.0,0.0,453.2,578.8127311814917,615.0,0.0,246.0,336.84937286567714,581.9672371231669,1.515013633607689,707207.2142857143,1781696.9360717793,5204820.0,102.0,9900901.0,1100100.111111111,2161603.031321862,5204820.0,102.0,4668208.0,1167052.0,2302371.0544500276,4620569.0,299.0,1,0,0,0,320,160,1.0100090890717925,0.5050045445358963,0.0,1448.0,383.75000000000006,490.7293211808997,240815.2666666666,0,1,0,0,1,0,0,0,0.0,409.3333333333333,453.2,246.0,320,0,0,0,0,0,0,10,4532,5,1230,1595,86,6,32,4695232.0,0.0,4695232.0,4695232.0,5204820.0,0.0,5204820.0,5204820.0,BENIGN
151.101.0.207-10.42.0.211-443-41810-6,151.101.0.207,443,10.42.0.211,41810,6,19/06/2017 12:41:02,41,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,756097.5609756097,48780.487804878045,41.0,0.0,41.0,41.0,41.0,41.0,0.0,41.0,41.0,0,0,0,0,0,1,0,0,0,64,0,48780.487804878045,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,86,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.7.0.134-44645-443-6,52.7.0.134,443,10.42.0.211,44645,6,19/06/2017 12:40:57,5001448,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.198204999832049,0.5998262903063273,2500724.0,3401767.687708554,4906137.0,95311.0,5001448.0,5001448.0,0.0,5001448.0,5001448.0,0,0,0,0,0,1,0,0,0,64,32,0.39988419353755156,0.19994209676877578,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,120,1550,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.3-35477-443-6,10.42.0.211,35477,31.13.71.3,443,6,19/06/2017 12:41:07,37085,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,835.9174868545234,80.89524066334097,18542.5,26158.00115643395,37039.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,32,64,26.96508022111366,53.93016044222732,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.211-443-57908-6,10.42.0.211,57908,157.240.2.20,443,6,19/06/2017 12:41:07,232573,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.599450495113363,232573.0,0.0,232573.0,232573.0,232573.0,232573.0,0.0,232573.0,232573.0,0,0,0,0,0,0,0,0,0,64,0,8.599450495113363,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.211-443-57908-6,10.42.0.211,57908,157.240.2.20,443,6,19/06/2017 12:41:07,955383,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.093401285139049,955383.0,0.0,955383.0,955383.0,955383.0,955383.0,0.0,955383.0,955383.0,0,0,0,0,0,0,0,0,0,64,0,2.093401285139049,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.211-443-57908-6,10.42.0.211,57908,157.240.2.20,443,6,19/06/2017 12:41:10,3847832,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5197732125518993,3847832.0,0.0,3847832.0,3847832.0,3847832.0,3847832.0,0.0,3847832.0,3847832.0,0,0,0,0,0,0,0,0,0,64,0,0.5197732125518993,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.211-443-49508-6,10.42.0.211,49508,172.217.12.138,443,6,19/06/2017 12:41:15,36614,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,846.6706724203856,54.6239143497023,36614.0,0.0,36614.0,36614.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.31195717485115,27.31195717485115,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1548,391,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.211-443-57908-6,10.42.0.211,57908,157.240.2.20,443,6,19/06/2017 12:41:22,15401689,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12985588788346525,1.5401689E7,0.0,1.5401689E7,1.5401689E7,1.5401689E7,1.5401689E7,0.0,1.5401689E7,1.5401689E7,0,0,0,0,0,0,0,0,0,64,0,0.12985588788346525,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
