Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.0.238-10.42.0.211-443-51770-6,10.42.0.211,51770,172.217.0.238,443,6,19/06/2017 02:15:31,22193,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1036.3628171044923,90.11850583517325,22193.0,0.0,22193.0,22193.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,45.059252917586626,45.059252917586626,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.211-443-43404-6,10.42.0.211,43404,172.217.0.238,443,6,19/06/2017 02:15:32,118,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,194915.25423728814,16949.15254237288,118.0,0.0,118.0,118.0,118.0,118.0,0.0,118.0,118.0,0,0,0,0,0,1,0,0,0,64,0,16949.15254237288,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1453,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.211-443-43404-6,172.217.0.238,443,10.42.0.211,43404,6,19/06/2017 02:15:32,9,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,222222.22222222222,9.0,0.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,64,0,222222.22222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,358,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.211-80-35918-6,10.42.0.211,35918,203.205.147.229,80,6,19/06/2017 02:15:37,474260,5,3,530.0,1145.0,530.0,0.0,106.0,237.0232056149777,1145.0,0.0,381.6666666666667,661.0660582221216,3531.817990131995,16.86838443048117,67751.42857142857,106321.61102030189,223425.0,1953.0,474260.0,118565.0,134539.78184660972,236653.0,1953.0,247105.0,123552.5,158930.0272462696,235933.0,11172.0,0,0,0,0,168,104,10.542740269050732,6.325644161430438,0.0,1145.0,186.11111111111111,400.0295128001322,160023.61111111112,0,0,0,1,0,0,0,0,0.0,209.375,106.0,381.6666666666667,168,0,0,0,0,0,0,5,530,3,1145,65535,54,1,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.211-80-35916-6,10.42.0.211,35916,203.205.147.229,80,6,19/06/2017 02:15:37,481128,5,3,530.0,293.0,530.0,0.0,106.0,237.0232056149777,293.0,0.0,97.66666666666667,169.16362887256037,1710.563509086979,16.627591825875857,68732.57142857142,106072.68811033489,223969.0,800.0,481128.0,120282.0,135681.71354313006,239124.0,800.0,254441.0,127220.5,161527.93756034898,241438.0,13003.0,0,0,0,0,168,104,10.392244891172412,6.235346934703447,0.0,530.0,91.44444444444444,190.8828902174781,36436.27777777779,0,0,0,1,0,0,0,0,0.0,102.875,106.0,97.66666666666667,168,0,0,0,0,0,0,5,530,3,293,65535,54,1,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.211-80-35919-6,10.42.0.211,35919,203.205.147.229,80,6,19/06/2017 02:15:37,1365519,6,4,856.0,1760.0,856.0,0.0,142.66666666666666,349.46053663706675,1448.0,0.0,440.0,687.9069704545811,1915.7551084972088,7.323222891808903,151724.33333333334,280603.9496919992,856140.0,10.0,1365519.0,273103.8,349563.2746480957,856140.0,1595.0,1133885.0,377961.6666666666,617012.0121669702,1089975.0,10.0,0,0,0,0,200,136,4.393933735085342,2.929289156723561,0.0,1448.0,237.81818181818184,480.06787398904714,230465.16363636364,0,0,0,1,0,0,0,0,0.0,261.6,142.66666666666666,440.0,200,0,0,0,0,0,0,6,856,4,1760,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-125.39.240.46-59918-80-6,10.42.0.211,59918,125.39.240.46,80,6,19/06/2017 02:15:33,10633132,4,4,360.0,395.0,360.0,0.0,90.0,180.0,395.0,0.0,98.75,197.49999999999997,71.00447920706712,0.7523653425914397,1519018.8571428573,3740792.3315134468,9998100.0,624.0,635032.0,211677.3333333333,188702.04477517813,364117.0,624.0,1.0369173E7,3456391.0,5667842.4995848285,1.0000181E7,92041.0,0,0,0,0,100,92,0.37618267129571986,0.37618267129571986,0.0,395.0,83.88888888888889,166.69166479194786,27786.11111111111,0,0,0,1,0,0,0,0,1.0,94.375,90.0,98.75,100,0,0,0,0,0,0,4,360,4,395,65535,7,1,20,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.211-443-40965-6,172.217.0.238,443,10.42.0.211,40965,6,19/06/2017 02:15:46,231550,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.637443316778233,231550.0,0.0,231550.0,231550.0,231550.0,231550.0,0.0,231550.0,231550.0,0,0,0,0,0,0,0,0,0,64,0,8.637443316778233,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
183.57.48.84-10.42.0.211-80-56750-6,10.42.0.211,56750,183.57.48.84,80,6,19/06/2017 02:15:31,19586928,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20421783344483627,6528976.0,1.1071818341293855E7,1.9312661E7,2190.0,1.9586928E7,9793464.0,1.346217750030128E7,1.9312661E7,274267.0,0,0,0,0,0,0,0,0,0,104,40,0.1531633750836272,0.05105445836120907,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,14280,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-103.7.30.118-43182-80-6,10.42.0.211,43182,103.7.30.118,80,6,19/06/2017 02:15:34,16347071,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24469215310803996,5449023.666666667,9244202.60684351,1.6122552E7,2139.0,1.6347071E7,8173535.5,1.1241606941827511E7,1.6122552E7,224519.0,0,0,0,0,0,0,0,0,0,104,40,0.18351911483102998,0.06117303827700999,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,5712,0,32,0,0,0,0,0,0,0,0,BENIGN
