Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-31.13.71.1-33616-443-6,31.13.71.1,443,10.42.0.211,33616,6,19/06/2017 07:29:23,55,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,763636.3636363636,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,1,0,0,0,64,0,36363.63636363636,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,227,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.1-33616-443-6,31.13.71.1,443,10.42.0.211,33616,6,19/06/2017 07:29:23,90268,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,465.281162759782,22.156245845703904,90268.0,0.0,90268.0,90268.0,90268.0,90268.0,0.0,90268.0,90268.0,0,0,0,0,0,0,0,0,0,64,0,22.156245845703904,0.0,0.0,42.0,14.0,24.24871130596428,588.0,0,0,0,0,1,1,0,0,0.0,21.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,227,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.1-33616-443-6,31.13.71.1,443,10.42.0.211,33616,6,19/06/2017 07:29:23,18572,1,6,42.0,42.0,42.0,42.0,42.0,0.0,42.0,0.0,7.0,17.146428199482248,4522.937755761361,376.91147964678004,3095.3333333333335,5066.598017078784,13052.0,10.0,0,0,0,0,0,5520.0,1104.0,1532.1409856798425,3361.0,10.0,1,0,0,0,32,228,53.844497092397155,323.0669825543829,0.0,42.0,15.75,21.737065119284157,472.5,0,1,0,0,1,1,0,0,6.0,18.0,42.0,7.0,32,0,0,0,0,0,0,1,42,6,42,227,2304,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.36-10.42.0.211-443-50859-6,157.240.2.36,443,10.42.0.211,50859,6,19/06/2017 07:29:25,50,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,840000.0,40000.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0,0,0,0,0,1,0,0,0,64,0,40000.0,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,124,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.36-10.42.0.211-443-50859-6,157.240.2.36,443,10.42.0.211,50859,6,19/06/2017 07:29:25,103158,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,407.142441691386,19.38773531863743,103158.0,0.0,103158.0,103158.0,103158.0,103158.0,0.0,103158.0,103158.0,0,0,0,0,0,0,0,0,0,64,0,19.38773531863743,0.0,0.0,42.0,14.0,24.24871130596428,588.0,0,0,0,0,1,1,0,0,0.0,21.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,124,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.36-10.42.0.211-443-50859-6,10.42.0.211,50859,157.240.2.36,443,6,19/06/2017 07:29:25,70,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,600000.0,28571.428571428572,70.0,0.0,70.0,70.0,70.0,70.0,0.0,70.0,70.0,0,0,0,0,0,1,0,0,0,64,0,28571.428571428572,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1636,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.36-10.42.0.211-443-50859-6,10.42.0.211,50859,157.240.2.36,443,6,19/06/2017 07:29:25,103013,3,1,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0.0,0.0,0.0,0.0,407.71553104947924,38.83005057614088,34337.66666666667,34020.28313129292,68042.0,10.0,103013.0,51506.5,72827.0487147461,103003.0,10.0,0,0,0,0,0,0,0,0,0,120,20,29.122537932105658,9.70751264403522,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,0,0,0,0.0,10.5,14.0,0.0,120,0,0,0,0,0,0,3,42,1,0,1636,0,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.33-10.42.0.211-443-38512-6,10.42.0.211,38512,172.217.11.33,443,6,19/06/2017 07:29:27,37061,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.9650845902701,37061.0,0.0,37061.0,37061.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.98254229513505,26.98254229513505,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-56481-6,10.42.0.211,56481,172.217.12.202,443,6,19/06/2017 07:29:27,36641,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58366310963129,36641.0,0.0,36641.0,36641.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.291831554815644,27.291831554815644,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.8.4-10.42.0.211-443-32874-6,10.42.0.211,32874,172.217.8.4,443,6,19/06/2017 07:29:27,41820,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82400765184122,41820.0,0.0,41820.0,41820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23.91200382592061,23.91200382592061,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-47196-6,10.42.0.211,47196,172.217.12.202,443,6,19/06/2017 07:29:27,36668,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54347114650376,36668.0,0.0,36668.0,36668.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.27173557325188,27.27173557325188,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1770,477,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-52766-6,10.42.0.211,52766,172.217.3.110,443,6,19/06/2017 07:29:27,36674,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.53454763592736,36674.0,0.0,36674.0,36674.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.26727381796368,27.26727381796368,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1682,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-39825-6,10.42.0.211,39825,172.217.3.110,443,6,19/06/2017 07:29:27,37200,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.763440860215056,37200.0,0.0,37200.0,37200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.881720430107528,26.881720430107528,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1441,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.211-443-55085-6,10.42.0.211,55085,172.217.1.174,443,6,19/06/2017 07:29:27,22631,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.37435376253812,22631.0,0.0,22631.0,22631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.18717688126906,44.18717688126906,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1693,389,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-52390-6,10.42.0.211,52390,172.217.12.202,443,6,19/06/2017 07:29:27,36735,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.44399074452158,36735.0,0.0,36735.0,36735.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.22199537226079,27.22199537226079,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-54516-6,10.42.0.211,54516,172.217.6.202,443,6,19/06/2017 07:29:27,36791,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.361120926313504,36791.0,0.0,36791.0,36791.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.180560463156752,27.180560463156752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3040,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-37379-6,10.42.0.211,37379,172.217.3.110,443,6,19/06/2017 07:29:27,36839,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.29029018160102,36839.0,0.0,36839.0,36839.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.14514509080051,27.14514509080051,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-49534-6,10.42.0.211,49534,172.217.12.202,443,6,19/06/2017 07:29:27,37282,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.64519070865297,37282.0,0.0,37282.0,37282.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.822595354326484,26.822595354326484,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1618,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.8.4-10.42.0.211-443-32874-6,10.42.0.211,32874,172.217.8.4,443,6,19/06/2017 07:29:27,100889,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.647533427826616,33629.666666666664,7970.83216065508,41475.0,25539.0,67014.0,67014.0,0.0,67014.0,67014.0,59414.0,59414.0,0.0,59414.0,59414.0,0,0,0,0,64,76,19.823766713913308,19.823766713913308,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,2,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-33619-6,10.42.0.211,33619,198.105.244.11,80,6,19/06/2017 07:29:28,279917,3,4,267.0,223.0,267.0,0.0,89.0,154.1525218736301,223.0,0.0,55.75,111.5,1750.5189038179174,25.007412911684533,46652.833333333336,78850.63167385958,204814.0,48.0,247347.0,123673.5,114749.99555773412,204814.0,42533.0,247670.0,82556.66666666666,142869.36741419882,247528.0,48.0,0,0,0,0,80,84,10.717462676436229,14.289950235248304,0.0,267.0,61.25,114.0209880429288,13000.785714285714,0,0,0,1,0,0,0,0,1.0,70.0,89.0,55.75,80,0,0,0,0,0,0,3,267,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-33620-6,10.42.0.211,33620,198.105.244.11,80,6,19/06/2017 07:29:28,246165,3,4,265.0,223.0,265.0,0.0,88.33333333333333,152.99782133525082,223.0,0.0,55.75,111.5,1982.4101720390795,28.436211484167124,41027.5,70598.28746577357,181499.0,12.0,213540.0,106770.0,150978.6114918269,213528.0,12.0,214136.0,71378.66666666666,123471.28442003563,213951.0,19.0,0,0,0,0,80,84,12.186947778928767,16.249263705238356,0.0,265.0,60.99999999999999,113.5064504145658,12883.714285714286,0,0,0,1,0,0,0,0,1.0,69.71428571428571,88.33333333333333,55.75,80,0,0,0,0,0,0,3,265,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
