Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.2.106-10.42.0.211-443-39320-6,10.42.0.211,39320,172.217.2.106,443,6,19/06/2017 09:28:36,22561,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,1374.0525685918176,132.972829218563,11280.5,15595.240059069305,22308.0,253.0,0,0,0,0,0,253.0,253.0,0.0,253.0,253.0,1,0,0,0,32,64,44.324276406187664,88.64855281237533,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2334,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.211-443-54106-6,10.42.0.211,54106,172.217.1.174,443,6,19/06/2017 09:28:36,22515,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1021.5411947590495,133.24450366422386,11257.5,15569.78421494659,22267.0,248.0,0,0,0,0,0,248.0,248.0,0.0,248.0,248.0,1,0,0,0,32,64,44.41483455474128,88.82966910948257,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1470,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.211-443-50130-6,10.42.0.211,50130,172.217.1.174,443,6,19/06/2017 09:28:37,78,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,294871.7948717949,25641.02564102564,78.0,0.0,78.0,78.0,78.0,78.0,0.0,78.0,78.0,0,0,0,0,0,1,0,0,0,64,0,25641.02564102564,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1553,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.211-443-50130-6,172.217.1.174,443,10.42.0.211,50130,6,19/06/2017 09:28:37,243,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8230.45267489712,243.0,0.0,243.0,243.0,243.0,243.0,0.0,243.0,243.0,0,0,0,0,0,0,0,0,0,64,0,8230.45267489712,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,511,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.211-443-40927-6,10.42.0.211,40927,172.217.1.174,443,6,19/06/2017 09:28:38,22442,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1024.8640941092594,133.67792531859905,11221.0,15803.836559519337,22396.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,44.55930843953302,89.11861687906604,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.211-443-39919-6,10.42.0.211,39919,172.217.1.174,443,6,19/06/2017 09:28:41,22307,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1031.0664813735598,89.65795490204869,22307.0,0.0,22307.0,22307.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,44.82897745102434,44.82897745102434,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.106-10.42.0.211-443-60830-6,10.42.0.211,60830,172.217.2.106,443,6,19/06/2017 09:28:45,22284,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.75049362771495,22284.0,0.0,22284.0,22284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.87524681385747,44.87524681385747,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5616,404,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.144.48-55327-443-6,54.225.144.48,443,10.42.0.211,55327,6,19/06/2017 09:28:43,5012719,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.184268457896803,0.5984775926996906,2506359.5,3404544.4960382734,4913736.0,98983.0,5012719.0,5012719.0,0.0,5012719.0,5012719.0,0,0,0,0,0,1,0,0,0,64,32,0.3989850617997937,0.19949253089989685,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.144.48-55327-443-6,10.42.0.211,55327,54.225.144.48,443,6,19/06/2017 09:28:48,2052394,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,15.104312329893773,1.4617076448284296,1026197.0,1450229.3391660505,2051664.0,730.0,2052394.0,1026197.0,1450229.3391660505,2051664.0,730.0,0,0,0,0,0,0,0,0,0,96,0,1.4617076448284296,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1686,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.106-10.42.0.211-443-37996-6,10.42.0.211,37996,172.217.2.106,443,6,19/06/2017 09:28:35,25355260,12,9,2792.0,4305.0,1368.0,0.0,232.66666666666669,410.3458260658892,1418.0,0.0,478.3333333333333,612.7262847307924,279.9024738851031,0.8282305131164105,1267763.0,5597889.105300611,2.5050472E7,15.0,2.533237E7,2302942.727272727,7544550.699910978,2.5050472E7,404.0,2.5332626E7,3166578.25,8868443.746324537,2.511477E7,15.0,0,0,0,0,392,296,0.47327457892366315,0.35495593419274735,0.0,1418.0,322.5909090909092,501.1934004706414,251194.8246753247,0,0,0,1,0,0,0,0,0.0,337.95238095238096,232.66666666666666,478.3333333333333,392,0,0,0,0,0,0,12,2792,9,4305,65535,391,6,32,281898.0,0.0,281898.0,281898.0,2.5050472E7,0.0,2.5050472E7,2.5050472E7,BENIGN
