Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
209.85.234.139-10.42.0.211-443-39527-6,10.42.0.211,39527,209.85.234.139,443,6,19/06/2017 10:14:48,290,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,79310.3448275862,6896.551724137931,290.0,0.0,290.0,290.0,290.0,290.0,0.0,290.0,290.0,0,0,0,0,0,1,0,0,0,64,0,6896.551724137931,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.211-443-56994-6,10.42.0.211,56994,172.217.0.234,443,6,19/06/2017 10:14:48,22537,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.74295602786528,22537.0,0.0,22537.0,22537.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.37147801393264,44.37147801393264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2346,442,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.211-443-35953-6,10.42.0.211,35953,172.217.2.110,443,6,19/06/2017 10:14:49,22244,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1033.98669304082,89.91188635137566,22244.0,0.0,22244.0,22244.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,44.95594317568783,44.95594317568783,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.211-443-34906-6,10.42.0.211,34906,172.217.2.110,443,6,19/06/2017 10:14:52,22358,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1028.7145540746042,134.1801592271223,11179.0,15528.064914856584,22159.0,199.0,0,0,0,0,0,199.0,199.0,0.0,199.0,199.0,1,0,0,0,32,64,44.726719742374094,89.45343948474819,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.211-443-41095-6,10.42.0.211,41095,172.217.0.234,443,6,19/06/2017 10:14:53,22597,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.50732398105944,22597.0,0.0,22597.0,22597.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.25366199052972,44.25366199052972,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.211-443-44024-6,10.42.0.211,44024,172.217.2.110,443,6,19/06/2017 10:14:55,227876,9,9,1146.0,6010.0,787.0,0.0,127.33333333333333,260.6746055909551,1418.0,0.0,667.7777777777778,700.0974535337523,31403.043760641754,78.9903280731626,13404.470588235294,17620.78908249304,55882.0,16.0,171929.0,21491.124999999996,21061.045981605133,52015.0,104.0,205523.0,25690.375,32646.886169335834,79397.0,16.0,0,0,0,0,296,296,39.4951640365813,39.4951640365813,0.0,1418.0,376.63157894736844,573.9141641711392,329377.4678362573,0,0,0,1,0,0,0,0,1.0,397.55555555555554,127.33333333333333,667.7777777777778,296,0,0,0,0,0,0,9,1146,9,6010,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.211-443-56122-6,10.42.0.211,56122,206.126.112.141,443,6,19/06/2017 10:14:55,1015860,168,1005,1030.0,1440690.0,641.0,0.0,6.1309523809523805,53.344834534776005,1448.0,0.0,1433.5223880597016,126.01570107964439,1419211.308644892,1154.686669422952,866.774744027304,8883.403384091349,240678.0,2.0,1015860.0,6082.994011976048,39201.43354729025,502844.0,8.0,965164.0,961.3187250996021,10009.589263816828,240678.0,4.0,0,0,0,0,5384,32168,165.37711889433584,989.3095505286161,0.0,1448.0,1228.040885860309,515.0714714122812,265298.62066281243,0,0,0,1,0,0,0,0,5.0,1229.0878090366582,6.130952380952381,1433.5223880597016,5384,0,0,0,0,0,0,168,1030,1005,1440690,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-55921-443-6,31.13.71.37,443,10.42.0.211,55921,6,19/06/2017 10:14:57,43,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,976744.1860465116,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,136,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-55921-443-6,31.13.71.37,443,10.42.0.211,55921,6,19/06/2017 10:14:57,89073,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,471.5233572463036,56.13373300551233,22268.25,42208.36567455161,85559.0,133.0,0,0,0,0,0,3514.0,1171.3333333333335,1356.407878675634,2706.0,133.0,0,0,0,0,32,140,11.226746601102466,44.906986404409864,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,136,1678,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.52.131.77-45315-443-6,52.52.131.77,443,10.42.0.211,45315,6,19/06/2017 10:15:02,5008338,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.189678092812426,0.5990011057560412,2504169.0,3286908.0905997357,4828364.0,179974.0,5008338.0,5008338.0,0.0,5008338.0,5008338.0,0,0,0,0,0,1,0,0,0,64,32,0.39933407050402747,0.19966703525201374,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,123,1434,0,32,0,0,0,0,0,0,0,0,BENIGN
