Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.7.138-10.42.0.42-443-50295-6,10.42.0.42,50295,172.217.7.138,443,6,19/06/2017 08:02:53,42583,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.967099546767486,42583.0,0.0,42583.0,42583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23.483549773383743,23.483549773383743,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.170-10.42.0.42-443-34687-6,10.42.0.42,34687,172.217.2.170,443,6,19/06/2017 08:03:05,22182,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.16319538364439,22182.0,0.0,22182.0,22182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.081597691822196,45.081597691822196,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.138-10.42.0.42-443-35052-6,10.42.0.42,35052,172.217.7.138,443,6,19/06/2017 08:03:10,42616,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,727.4263187535198,70.39609536324384,21308.0,29500.494911102764,42168.0,448.0,0,0,0,0,0,448.0,448.0,0.0,448.0,448.0,1,0,0,0,32,64,23.465365121081284,46.93073024216257,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2333,511,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-36477-443-6,31.13.71.37,443,10.42.0.42,36477,6,19/06/2017 08:03:18,28,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1500000.0,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-36477-443-6,10.42.0.42,36477,31.13.71.37,443,6,19/06/2017 08:03:18,447,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,93959.73154362416,6711.4093959731545,223.5,229.80970388562795,386.0,61.0,447.0,223.5,229.80970388562795,386.0,61.0,0,0,0,0,0,0,0,0,0,96,0,6711.4093959731545,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-106.11.92.6-44694-443-6,10.42.0.42,44694,106.11.92.6,443,6,19/06/2017 08:03:13,5782975,9,9,937.0,4089.0,605.0,0.0,104.11111111111111,202.1091564257075,1452.0,0.0,454.33333333333326,594.5449940921209,869.1028406659202,3.112584785512647,340175.0,1204173.9848922372,4998092.0,12.0,784855.0,98106.87499999999,130692.2596521391,263084.0,57.0,5542958.0,692869.7499999999,1744721.2899039,5000829.0,12.0,0,0,0,0,200,200,1.5562923927563235,1.5562923927563235,0.0,1452.0,264.52631578947364,458.28586038035405,210025.92982456138,0,0,0,1,0,0,0,0,1.0,279.22222222222223,104.11111111111111,454.3333333333333,200,0,0,0,0,0,0,9,937,9,4089,65535,16335,3,20,0,0,0,0,0,0,0,0,BENIGN
173.222.150.38-10.42.0.42-443-44714-6,10.42.0.42,44714,173.222.150.38,443,6,19/06/2017 08:03:10,10950873,8,10,320.0,4950.0,202.0,0.0,40.0,77.39324444494031,1448.0,0.0,495.0,628.2575551121972,481.24017144569206,1.6437045704027433,644169.0,2402045.2382118814,9957182.0,4.0,993479.0,141925.57142857142,182700.51945817153,433307.0,82.0,1.0699081E7,1188786.7777777778,3307995.4565573684,1.0000202E7,4.0,0,0,0,0,264,328,0.7305353646234415,0.9131692057793018,0.0,1448.0,277.36842105263156,505.28399171228625,255311.91228070177,0,0,0,1,0,0,0,0,1.0,292.77777777777777,40.0,495.0,264,0,0,0,0,0,0,8,320,10,4950,65535,939,2,32,993479.0,0.0,993479.0,993479.0,9957182.0,0.0,9957182.0,9957182.0,BENIGN
173.222.150.38-10.42.0.42-443-44715-6,10.42.0.42,44715,173.222.150.38,443,6,19/06/2017 08:03:10,10788239,9,10,320.0,4950.0,202.0,0.0,35.55555555555556,73.61234799799404,1448.0,0.0,495.0,628.2575551121972,488.4949248899658,1.761177148559649,599346.6111111111,2339175.4100738936,9964588.0,8.0,823618.0,102952.25,135974.28387619057,287540.0,8.0,1.0535963E7,1170662.5555555555,3312869.885245914,9999613.0,8.0,0,0,0,0,296,328,0.8342418072124653,0.9269353413471837,0.0,1448.0,263.49999999999994,495.7026379425047,245721.1052631579,0,0,0,1,0,0,0,0,1.0,277.36842105263156,35.55555555555556,495.0,296,0,0,0,0,0,0,9,320,10,4950,65535,939,2,32,823618.0,0.0,823618.0,823618.0,9964588.0,0.0,9964588.0,9964588.0,BENIGN
172.217.1.174-10.42.0.42-443-49527-6,10.42.0.42,49527,172.217.1.174,443,6,19/06/2017 08:03:21,22768,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1010.1897399859452,131.76387912860156,11384.0,15482.810080860645,22332.0,436.0,0,0,0,0,0,436.0,436.0,0.0,436.0,436.0,1,0,0,0,32,64,43.921293042867184,87.84258608573437,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.42-443-41814-6,10.42.0.42,41814,172.217.1.174,443,6,19/06/2017 08:03:22,22385,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1027.473754746482,134.01831583649766,11192.5,15595.240059069305,22220.0,165.0,0,0,0,0,0,165.0,165.0,0.0,165.0,165.0,1,0,0,0,32,64,44.67277194549922,89.34554389099844,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
