Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.206-10.42.0.151-443-37023-6,10.42.0.151,37023,172.217.12.206,443,6,19/06/2017 04:46:38,136,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,227941.17647058822,14705.882352941177,136.0,0.0,136.0,136.0,136.0,136.0,0.0,136.0,136.0,0,0,0,0,0,1,0,0,0,64,0,14705.882352941177,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.170-10.42.0.151-443-59005-6,10.42.0.151,59005,172.217.2.170,443,6,19/06/2017 04:46:42,22441,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.122588119959,22441.0,0.0,22441.0,22441.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.5612940599795,44.5612940599795,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1591,358,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-443-40626-6,10.42.0.151,40626,172.217.12.142,443,6,19/06/2017 04:46:45,37059,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.6319652446099,53.96799697779217,37059.0,0.0,37059.0,37059.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.983998488896084,26.983998488896084,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-119.146.74.34-44415-80-6,10.42.0.151,44415,119.146.74.34,80,6,19/06/2017 04:46:48,869036,29,30,381.0,32783.0,381.0,0.0,13.13793103448276,70.74992384545675,1340.0,0.0,1092.7666666666664,507.74373683862467,38161.825286869585,67.89131865653437,14983.379310344824,51068.88779404017,256486.0,5.0,619427.0,22122.392857142862,66006.16311198428,258476.0,8.0,612550.0,21122.41379310345,70624.63069512405,352317.0,5.0,0,0,0,0,624,636,33.37030917016096,34.52100948637341,0.0,1340.0,552.7333333333333,652.4372784106431,425674.402259887,0,0,0,1,0,0,0,0,1.0,562.1016949152543,13.137931034482758,1092.7666666666667,624,0,0,0,0,0,0,29,381,30,32783,65535,4380,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-119.146.74.34-44415-80-6,10.42.0.151,44415,119.146.74.34,80,6,19/06/2017 04:46:49,5357,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,373.3432891543775,5357.0,0.0,5357.0,5357.0,5357.0,5357.0,0.0,5357.0,5357.0,0,0,0,0,0,0,0,0,0,40,0,373.3432891543775,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,2374,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.151-80-36836-6,10.42.0.151,36836,175.100.207.231,80,6,19/06/2017 04:46:47,5528763,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7234891421462631,1842921.0,2957895.2042868254,5255607.0,16892.0,273156.0,273156.0,0.0,273156.0,273156.0,5272499.0,5272499.0,0.0,5272499.0,5272499.0,0,0,0,0,60,52,0.36174457107313157,0.36174457107313157,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.151-80-36834-6,10.42.0.151,36834,175.100.207.231,80,6,19/06/2017 04:46:47,5567660,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7184346745311315,1855886.6666666667,2950787.450037758,5260887.0,45562.0,306773.0,306773.0,0.0,306773.0,306773.0,5306449.0,5306449.0,0.0,5306449.0,5306449.0,0,0,0,0,60,52,0.35921733726556576,0.35921733726556576,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.151-80-36834-6,10.42.0.151,36834,175.100.207.231,80,6,19/06/2017 04:46:52,39816,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,50.23106288929074,39816.0,0.0,39816.0,39816.0,39816.0,39816.0,0.0,39816.0,39816.0,0,0,0,0,0,0,0,0,0,40,0,50.23106288929074,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.151-80-36836-6,10.42.0.151,36836,175.100.207.231,80,6,19/06/2017 04:46:52,40000,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,50.0,40000.0,0.0,40000.0,40000.0,40000.0,40000.0,0.0,40000.0,40000.0,0,0,0,0,0,0,0,0,0,40,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.151-80-36835-6,10.42.0.151,36835,175.100.207.231,80,6,19/06/2017 04:46:47,5827994,17,17,430.0,18723.0,430.0,0.0,25.294117647058826,104.29031876562317,1460.0,0.0,1101.3529411764705,630.1693166499451,3286.379498674844,5.833911290917595,176605.87878787878,815577.6243428548,4699601.0,6.0,1128393.0,70524.5625,156030.06734984074,514451.0,8.0,5574404.0,348400.25,1178617.465438808,4752683.0,6.0,0,0,0,0,360,352,2.9169556454587977,2.9169556454587977,0.0,1460.0,547.2285714285714,700.383847938958,490537.53445378144,0,0,0,1,0,0,0,0,1.0,563.3235294117648,25.294117647058822,1101.3529411764705,360,0,0,0,0,0,0,17,430,17,18723,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
