Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.0.238-10.42.0.151-443-54076-6,10.42.0.151,54076,172.217.0.238,443,6,19/06/2017 05:42:31,101,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,306930.6930693069,19801.980198019803,101.0,0.0,101.0,101.0,101.0,101.0,0.0,101.0,101.0,0,0,0,0,0,1,0,0,0,64,0,19801.980198019803,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-54076-6,172.217.0.238,443,10.42.0.151,54076,6,19/06/2017 05:42:31,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.151-443-58566-6,10.42.0.151,58566,172.217.0.238,443,6,19/06/2017 05:42:31,22346,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1029.266982905218,134.25221516155017,11173.0,15782.62335608374,22333.0,13.0,0,0,0,0,0,13.0,13.0,0.0,13.0,13.0,1,0,0,0,32,64,44.75073838718339,89.50147677436678,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-53293-443-6,31.13.71.37,443,10.42.0.151,53293,6,19/06/2017 05:42:33,45,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,933333.3333333333,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-53293-443-6,10.42.0.151,53293,31.13.71.37,443,6,19/06/2017 05:42:33,4942,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,8498.583569405098,404.6944556859571,4942.0,0.0,4942.0,4942.0,4942.0,4942.0,0.0,4942.0,4942.0,0,0,0,0,0,1,0,0,0,64,0,404.6944556859571,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1631,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.170-10.42.0.151-443-47821-6,10.42.0.151,47821,172.217.2.170,443,6,19/06/2017 05:42:44,22279,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.77063602495623,22279.0,0.0,22279.0,22279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.885318012478116,44.885318012478116,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-41917-443-6,10.42.0.151,41917,31.13.71.3,443,6,19/06/2017 05:42:51,291751,7,8,1082.0,338.0,537.0,0.0,154.57142857142856,247.57480831919412,137.0,0.0,42.25,60.127839998266545,4867.164122830771,51.41370552286025,20839.35714285714,35084.22385676885,110261.0,9.0,159216.0,26536.0,46192.804937565765,117600.0,333.0,262093.0,37441.85714285714,46382.24946186695,110261.0,9.0,0,0,0,0,244,264,23.993062577334783,27.42064294552547,0.0,537.0,88.74999999999999,172.92946538979413,29904.600000000002,0,0,0,1,0,0,0,0,1.0,94.66666666666667,154.57142857142858,42.25,244,0,0,0,0,0,0,7,1082,8,338,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-41917-443-6,10.42.0.151,41917,31.13.71.3,443,6,19/06/2017 05:42:51,22081,4,1,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0.0,0.0,0.0,0.0,1403.9219238259136,226.43901997192157,5520.25,10311.418925152833,20986.0,180.0,1095.0,365.0,168.59715300087365,510.0,180.0,0,0,0,0,0,0,0,0,0,128,32,181.15121597753725,45.28780399438431,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,7.75,0.0,128,0,0,0,0,0,0,4,31,1,0,1369,122,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.170-10.42.0.151-443-45634-6,10.42.0.151,45634,172.217.2.170,443,6,19/06/2017 05:42:53,22453,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.07495657595867,22453.0,0.0,22453.0,22453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.53747828797933,44.53747828797933,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-40.122.162.208-44428-443-6,10.42.0.151,44428,40.122.162.208,443,6,19/06/2017 05:42:49,4755954,5,2,271.0,101.0,101.0,0.0,54.2,49.9069133487536,101.0,0.0,50.5,71.4177848998413,78.21774558795144,1.471839298698011,792659.0000000001,1873622.7320528538,4616895.0,17.0,4755954.0,1188988.5,2285538.439384835,4616895.0,17.0,51867.0,51867.0,0.0,51867.0,51867.0,1,0,0,0,160,76,1.0513137847842935,0.4205255139137174,0.0,101.0,57.12500000000001,47.765610761598886,2281.5535714285716,0,1,0,0,1,0,0,0,0.0,65.28571428571429,54.2,50.5,160,0,0,0,0,0,0,5,271,2,101,1595,509,2,32,0,0,0,0,0,0,0,0,BENIGN
