Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.138-10.42.0.151-443-54924-6,10.42.0.151,54924,172.217.10.138,443,6,19/06/2017 08:01:46,37229,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.72156114856698,37229.0,0.0,37229.0,37229.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.86078057428349,26.86078057428349,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2123,429,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.151-443-43551-6,10.42.0.151,43551,172.217.10.138,443,6,19/06/2017 08:01:51,37093,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.91852910252608,37093.0,0.0,37093.0,37093.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.95926455126304,26.95926455126304,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.151-443-40966-6,10.42.0.151,40966,172.217.7.14,443,6,19/06/2017 08:01:53,423131,9,10,1146.0,6011.0,787.0,0.0,127.33333333333333,260.6746055909551,1418.0,0.0,601.1,693.1343384302289,16914.38348880134,44.90335144435175,23507.277777777777,27638.89942647022,76948.0,16.0,291488.0,36435.99999999999,40556.27235970147,96012.0,123.0,386373.0,42930.333333333336,57847.14090601194,161394.0,16.0,0,0,0,0,296,328,21.27000857890346,23.63334286544829,0.0,1418.0,357.85,565.0119025294954,319238.45,0,0,0,1,0,0,0,0,1.0,376.6842105263158,127.33333333333333,601.1,296,0,0,0,0,0,0,9,1146,10,6011,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.140-10.42.0.151-443-53957-6,10.42.0.151,53957,206.126.112.140,443,6,19/06/2017 08:01:54,477740,231,859,1030.0,1235627.0,641.0,0.0,4.458874458874461,45.537817981911886,1448.0,0.0,1438.4481955762521,98.7171115732709,2588556.537028509,2281.5757525013605,438.6960514233237,2245.2468148407206,37905.0,1.0,477740.0,2077.1304347826085,6669.960492372653,74805.0,5.0,385715.0,449.5512820512821,2744.465028804928,41694.0,3.0,0,0,0,0,7400,27496,483.52660442918744,1798.0491480721732,0.0,1448.0,1133.507791017417,593.9047391286146,352722.8391594277,0,0,0,1,0,0,0,0,3.0,1134.5477064220183,4.458874458874459,1438.4481955762515,7400,0,0,0,0,0,0,231,1030,859,1235627,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.151-443-46057-6,10.42.0.151,46057,172.217.10.138,443,6,19/06/2017 08:01:55,96,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,239583.3333333333,20833.333333333332,96.0,0.0,96.0,96.0,96.0,96.0,0.0,96.0,96.0,0,0,0,0,0,1,0,0,0,64,0,20833.333333333332,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1546,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-53956-443-6,31.13.71.37,443,10.42.0.151,53956,6,19/06/2017 08:01:56,44,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,954545.4545454546,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-53956-443-6,10.42.0.151,53956,31.13.71.37,443,6,19/06/2017 08:01:56,271,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,154981.54981549818,7380.073800738008,271.0,0.0,271.0,271.0,271.0,271.0,0.0,271.0,271.0,0,0,0,0,0,1,0,0,0,64,0,7380.073800738008,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1631,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.15.4.25-54262-80-6,10.42.0.151,54262,23.15.4.25,80,6,19/06/2017 08:01:59,34863,3,4,1016.0,304.0,1016.0,0.0,338.6666666666667,586.5878734966598,304.0,0.0,76.0,152.0,37862.490319249635,200.78593351117232,5810.5,7492.13675128798,15443.0,19.0,18371.0,9185.5,12560.337754216644,18067.0,304.0,19420.0,6473.333333333334,10264.019014661524,18309.0,19.0,0,0,0,0,104,136,86.05111436193098,114.73481914924132,0.0,1016.0,165.0,359.9349147514629,129553.14285714284,0,0,0,1,0,0,0,0,1.0,188.57142857142858,338.6666666666667,76.0,104,0,0,0,0,0,0,3,1016,4,304,65535,969,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.15.4.25-54262-80-6,10.42.0.151,54262,23.15.4.25,80,6,19/06/2017 08:01:59,28059,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,71.27837770412346,28059.0,0.0,28059.0,28059.0,28059.0,28059.0,0.0,28059.0,28059.0,0,0,0,0,0,0,0,0,0,64,0,71.27837770412346,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
207.223.2.76-10.42.0.151-80-54436-6,10.42.0.151,54436,207.223.2.76,80,6,19/06/2017 08:01:59,75239,3,6,114.0,4326.0,114.0,0.0,38.0,65.81793068761733,1448.0,0.0,721.0,789.8432755933294,59011.94859049164,119.61881471045601,9404.875,15956.543319166234,35234.0,3.0,38014.0,19007.0,26686.209921980302,37877.0,137.0,40052.0,8010.4,16814.316066971027,38061.0,3.0,0,0,0,0,104,200,39.87293823681867,79.74587647363734,0.0,1448.0,444.0,689.6008507342007,475549.3333333333,0,0,0,1,0,0,0,0,2.0,493.3333333333333,38.0,721.0,104,0,0,0,0,0,0,3,114,6,4326,65535,4494,1,32,0,0,0,0,0,0,0,0,BENIGN
