Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.174-10.42.0.151-443-39248-6,10.42.0.151,39248,172.217.12.174,443,6,19/06/2017 12:13:06,3515,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,8819.345661450925,568.9900426742532,3515.0,0.0,3515.0,3515.0,3515.0,3515.0,0.0,3515.0,3515.0,0,0,0,0,0,1,0,0,0,64,0,568.9900426742532,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-39248-6,172.217.12.174,443,10.42.0.151,39248,6,19/06/2017 12:13:06,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-55116-443-6,31.13.71.37,443,10.42.0.151,55116,6,19/06/2017 12:13:07,45,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,933333.3333333333,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-55116-443-6,10.42.0.151,55116,31.13.71.37,443,6,19/06/2017 12:13:07,366,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,114754.09836065574,8196.72131147541,183.0,98.99494936611666,253.0,113.0,366.0,183.0,98.99494936611666,253.0,113.0,0,0,0,0,0,0,0,0,0,96,0,8196.72131147541,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1631,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.151-443-42795-6,10.42.0.151,42795,172.217.0.234,443,6,19/06/2017 12:13:12,23028,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.85079034219211,23028.0,0.0,23028.0,23028.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,43.425395171096056,43.425395171096056,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.21.143.164-48189-80-6,23.21.143.164,80,10.42.0.151,48189,6,19/06/2017 12:13:26,174839,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.158643094504086,87419.5,76147.62215919812,141264.0,33575.0,174839.0,174839.0,0.0,174839.0,174839.0,0,0,0,0,0,0,0,0,0,64,32,11.439095396336057,5.719547698168029,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,65,1398,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-42949-443-6,10.42.0.151,42949,31.13.71.3,443,6,19/06/2017 12:13:32,205984,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,6218.929625601989,63.11169799596085,17165.33333333333,32031.66419294659,110127.0,13.0,65843.0,13168.6,17232.4874234685,32100.0,280.0,175936.0,29322.666666666664,42657.77475990358,110127.0,13.0,0,0,0,0,200,232,29.128475998135777,33.983221997825076,0.0,537.0,91.50000000000001,183.26976753493113,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846153,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-42949-443-6,10.42.0.151,42949,31.13.71.3,443,6,19/06/2017 12:13:32,28120,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1102.4182076813656,106.68563300142247,14060.0,17423.11108843653,26380.0,1740.0,1740.0,1740.0,0.0,1740.0,1740.0,0,0,0,0,0,1,0,0,0,64,32,71.12375533428165,35.56187766714083,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-74.6.105.9-43712-443-6,10.42.0.151,43712,74.6.105.9,443,6,19/06/2017 12:13:45,357306,10,9,1248.0,5603.0,605.0,0.0,124.8,234.15085355860273,1448.0,0.0,622.5555555555555,668.7217491436761,19174.041297935102,53.17570933597533,19850.333333333336,43460.81414061069,186041.0,4.0,329396.0,36599.555555555555,60759.668759612054,186041.0,17.0,332124.0,41515.5,87917.84468143298,255953.0,4.0,0,0,0,0,328,296,27.98721543998701,25.188493895988312,0.0,1448.0,342.55,531.5354595291287,282529.94473684207,0,0,0,1,0,0,0,0,0.0,360.57894736842104,124.8,622.5555555555555,328,0,0,0,0,0,0,10,1248,9,5603,65535,131,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-74.6.105.9-43712-443-6,10.42.0.151,43712,74.6.105.9,443,6,19/06/2017 12:13:45,123,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,252032.52032520322,16260.162601626014,123.0,0.0,123.0,123.0,123.0,123.0,0.0,123.0,123.0,0,0,0,0,0,1,0,0,0,64,0,16260.162601626014,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
