Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.2.174-10.42.0.211-443-55657-6,10.42.0.211,55657,172.217.2.174,443,6,20/06/2017 12:38:54,22416,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1026.052819414704,133.83297644539616,11208.0,15785.451783208488,22370.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,44.610992148465385,89.22198429693077,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-38814-443-6,31.13.71.37,443,10.42.0.211,38814,6,20/06/2017 12:38:57,48,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,875000.0,41666.666666666664,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,0,1,0,0,0,64,0,41666.666666666664,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,136,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-38814-443-6,10.42.0.211,38814,31.13.71.37,443,6,20/06/2017 12:38:57,553,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,75949.3670886076,5424.9547920434,276.5,20.506096654409877,291.0,262.0,553.0,276.5,20.506096654409877,291.0,262.0,0,0,0,0,0,0,0,0,0,96,0,5424.9547920434,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.211-443-34645-6,10.42.0.211,34645,172.217.0.234,443,6,20/06/2017 12:39:05,22351,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.48145496845778,22351.0,0.0,22351.0,22351.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.74072748422889,44.74072748422889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.211-443-51140-6,10.42.0.211,51140,172.217.0.234,443,6,20/06/2017 12:39:16,22679,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.18730984611314,22679.0,0.0,22679.0,22679.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.09365492305657,44.09365492305657,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4305,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.97-10.42.0.211-443-45659-6,10.42.0.211,45659,172.217.2.97,443,6,20/06/2017 12:39:22,22731,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.9855703664599,22731.0,0.0,22731.0,22731.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,43.99278518322995,43.99278518322995,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.100-10.42.0.211-443-48906-6,10.42.0.211,48906,172.217.2.100,443,6,20/06/2017 12:39:22,22484,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.95214374666429,22484.0,0.0,22484.0,22484.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.476071873332145,44.476071873332145,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.211-443-34089-6,10.42.0.211,34089,172.217.0.234,443,6,20/06/2017 12:39:22,22433,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.15437079302812,22433.0,0.0,22433.0,22433.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.57718539651406,44.57718539651406,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
182.22.25.124-10.42.0.211-80-53042-6,10.42.0.211,53042,182.22.25.124,80,6,20/06/2017 12:39:23,10835906,5,8,370.0,7102.0,370.0,0.0,74.0,165.46903033498444,1448.0,0.0,887.75,736.605680518029,689.5593224968914,1.1997150953505873,902992.1666666667,3006807.9352784446,1.0448317E7,18.0,387589.0,96897.25,111702.8460227551,197025.0,123.0,1.0652652E7,1521807.4285714284,3942732.2182218535,1.0461646E7,18.0,0,0,0,0,168,264,0.46142888282714895,0.7382862125234383,0.0,1448.0,533.7142857142858,693.4807887718335,480915.6043956044,0,0,0,1,0,0,0,0,1.0,574.7692307692307,74.0,887.75,168,0,0,0,0,0,0,5,370,8,7102,65535,32,1,32,0,0,0,0,0,0,0,0,BENIGN
182.22.25.124-10.42.0.211-443-59555-6,10.42.0.211,59555,182.22.25.124,443,6,20/06/2017 12:39:24,11354548,8,10,738.0,6083.0,399.0,0.0,92.25,147.53474167124162,1448.0,0.0,608.3000000000001,617.282224306228,600.728448195384,1.5852678591873495,667914.5882352941,2544624.257629775,1.0539648E7,15.0,814885.0,116412.14285714286,97275.99303944176,226955.0,150.0,1.1180806E7,1242311.7777777778,3503159.5776250614,1.0579996E7,15.0,0,0,0,0,264,328,0.7045634929721554,0.8807043662151942,0.0,1448.0,358.99999999999994,521.8201052299751,272296.22222222225,0,0,0,1,0,0,0,0,1.0,378.94444444444446,92.25,608.3,264,0,0,0,0,0,0,8,738,10,6083,65535,32,3,32,814885.0,0.0,814885.0,814885.0,1.0539648E7,0.0,1.0539648E7,1.0539648E7,BENIGN
